Timestep,Iteration,Total Reward,Suboptimal Arms,Regret,Zeros Count,Ones Count
2,1,2,1,0.1,0,2
3,1,2,1,0.1,1,2
100,1,82,50,5.0,18,82
200,1,170,68,6.8,30,170
2000,1,1770,396,39.6,230,1770
10000,1,8925,512,51.2,1075,8925
20000,1,17891,660,66.0,2109,17891
40000,1,35889,1342,134.2,4111,35889
60000,1,53725,1565,156.5,6275,53725
80000,1,71813,2383,238.3,8187,71813
100000,1,89810,2060,206.0,10190,89810
2,2,2,1,0.1,0,2
3,2,3,1,0.1,0,3
100,2,83,37,3.7,17,83
200,2,178,78,7.8,22,178
2000,2,1759,282,28.2,241,1759
10000,2,8947,840,84.0,1053,8947
20000,2,17873,1368,136.8,2127,17873
40000,2,35811,1903,190.3,4189,35811
60000,2,53852,1331,133.1,6148,53852
80000,2,71864,1339,133.9,8136,71864
100000,2,89695,2101,210.1,10305,89695
2,3,2,1,0.1,0,2
3,3,3,1,0.1,0,3
100,3,88,52,5.2,12,88
200,3,176,59,5.9,24,176
2000,3,1757,432,43.2,243,1757
10000,3,8925,977,97.7,1075,8925
20000,3,18008,1041,104.1,1992,18008
40000,3,35913,1308,130.8,4087,35913
60000,3,53866,1312,131.2,6134,53866
80000,3,71916,1827,182.7,8084,71916
100000,3,89823,1368,136.8,10177,89823
2,4,1,1,0.1,1,1
3,4,2,1,0.1,1,2
100,4,86,35,3.5,14,86
200,4,178,60,6.0,22,178
2000,4,1765,381,38.1,235,1765
10000,4,8927,941,94.1,1073,8927
20000,4,17906,1015,101.5,2094,17906
40000,4,35940,1533,153.3,4060,35940
60000,4,53709,1747,174.7,6291,53709
80000,4,71783,1741,174.1,8217,71783
100000,4,89830,2009,200.9,10170,89830
2,5,2,1,0.1,0,2
3,5,3,1,0.1,0,3
100,5,90,30,3.0,10,90
200,5,172,79,7.9,28,172
2000,5,1723,484,48.4,277,1723
10000,5,8947,955,95.5,1053,8947
20000,5,17883,1250,125.0,2117,17883
40000,5,35904,1261,126.1,4096,35904
60000,5,53775,2046,204.6,6225,53775
80000,5,71930,1559,155.9,8070,71930
100000,5,89946,1449,144.9,10054,89946
2,6,2,1,0.1,0,2
3,6,2,1,0.1,1,2
100,6,91,39,3.9,9,91
200,6,178,54,5.4,22,178
2000,6,1750,393,39.3,250,1750
10000,6,8938,752,75.2,1062,8938
20000,6,17938,868,86.8,2062,17938
40000,6,35892,1165,116.5,4108,35892
60000,6,53847,1509,150.9,6153,53847
80000,6,71762,1721,172.1,8238,71762
100000,6,89590,1845,184.5,10410,89590
2,7,2,1,0.1,0,2
3,7,2,2,0.2,1,2
100,7,89,34,3.4,11,89
200,7,170,83,8.3,30,170
2000,7,1747,430,43.0,253,1747
10000,7,8950,793,79.3,1050,8950
20000,7,17923,854,85.4,2077,17923
40000,7,35833,1030,103.0,4167,35833
60000,7,53811,1571,157.1,6189,53811
80000,7,71844,1699,169.9,8156,71844
100000,7,89799,1704,170.4,10201,89799
2,8,2,1,0.1,0,2
3,8,2,1,0.1,1,2
100,8,82,29,2.9,18,82
200,8,172,74,7.4,28,172
2000,8,1752,419,41.9,248,1752
10000,8,8913,1123,112.3,1087,8913
20000,8,17921,1206,120.6,2079,17921
40000,8,35873,1657,165.7,4127,35873
60000,8,53861,1249,124.9,6139,53861
80000,8,71616,1586,158.6,8384,71616
100000,8,89884,1735,173.5,10116,89884
2,9,2,1,0.1,0,2
3,9,2,1,0.1,1,2
100,9,85,51,5.1,15,85
200,9,175,61,6.1,25,175
2000,9,1763,364,36.4,237,1763
10000,9,8904,851,85.1,1096,8904
20000,9,17836,1272,127.2,2164,17836
40000,9,35912,1206,120.6,4088,35912
60000,9,53758,2176,217.6,6242,53758
80000,9,71729,1823,182.3,8271,71729
100000,9,89598,1797,179.7,10402,89598
2,10,2,1,0.1,0,2
3,10,3,1,0.1,0,3
100,10,84,26,2.6,16,84
200,10,163,65,6.5,37,163
2000,10,1793,336,33.6,207,1793
10000,10,8863,1031,103.1,1137,8863
20000,10,17880,956,95.6,2120,17880
40000,10,35883,1541,154.1,4117,35883
60000,10,53904,2441,244.1,6096,53904
80000,10,71829,1753,175.3,8171,71829
100000,10,89759,1888,188.8,10241,89759
2,11,2,1,0.1,0,2
3,11,2,2,0.2,1,2
100,11,85,38,3.8,15,85
200,11,173,75,7.5,27,173
2000,11,1738,606,60.6,262,1738
10000,11,8935,904,90.4,1065,8935
20000,11,17844,1083,108.3,2156,17844
40000,11,35938,1326,132.6,4062,35938
60000,11,53918,1340,134.0,6082,53918
80000,11,71846,1776,177.6,8154,71846
100000,11,89920,1506,150.6,10080,89920
2,12,2,1,0.1,0,2
3,12,2,1,0.1,1,2
100,12,89,29,2.9,11,89
200,12,180,82,8.2,20,180
2000,12,1771,399,39.9,229,1771
10000,12,8937,1078,107.8,1063,8937
20000,12,17908,1589,158.9,2092,17908
40000,12,35863,1489,148.9,4137,35863
60000,12,53770,1744,174.4,6230,53770
80000,12,71858,1667,166.7,8142,71858
100000,12,89786,1834,183.4,10214,89786
2,13,1,1,0.1,1,1
3,13,2,2,0.2,1,2
100,13,86,50,5.0,14,86
200,13,175,59,5.9,25,175
2000,13,1757,395,39.5,243,1757
10000,13,8888,1107,110.7,1112,8888
20000,13,17890,1211,121.1,2110,17890
40000,13,35880,1274,127.4,4120,35880
60000,13,53847,1278,127.8,6153,53847
80000,13,71810,1289,128.9,8190,71810
100000,13,89637,1451,145.1,10363,89637
2,14,2,1,0.1,0,2
3,14,3,1,0.1,0,3
100,14,91,46,4.6,9,91
200,14,177,67,6.7,23,177
2000,14,1789,387,38.7,211,1789
10000,14,8937,1271,127.1,1063,8937
20000,14,17901,1199,119.9,2099,17901
40000,14,35934,1635,163.5,4066,35934
60000,14,53766,1250,125.0,6234,53766
80000,14,71707,1496,149.6,8293,71707
100000,14,89842,1815,181.5,10158,89842
2,15,2,1,0.1,0,2
3,15,3,1,0.1,0,3
100,15,82,38,3.8,18,82
200,15,172,91,9.1,28,172
2000,15,1769,341,34.1,231,1769
10000,15,8897,1138,113.8,1103,8897
20000,15,17878,1019,101.9,2122,17878
40000,15,35888,1313,131.3,4112,35888
60000,15,53816,1553,155.3,6184,53816
80000,15,71841,1800,180.0,8159,71841
100000,15,89764,1390,139.0,10236,89764
2,16,2,1,0.1,0,2
3,16,2,1,0.1,1,2
100,16,86,38,3.8,14,86
200,16,173,80,8.0,27,173
2000,16,1756,422,42.2,244,1756
10000,16,8903,633,63.3,1097,8903
20000,16,17969,1223,122.3,2031,17969
40000,16,35861,1171,117.1,4139,35861
60000,16,53874,1446,144.6,6126,53874
80000,16,71848,1683,168.3,8152,71848
100000,16,89664,2333,233.3,10336,89664
2,17,2,1,0.1,0,2
3,17,3,1,0.1,0,3
100,17,88,39,3.9,12,88
200,17,175,52,5.2,25,175
2000,17,1755,295,29.5,245,1755
10000,17,8968,723,72.3,1032,8968
20000,17,17982,1060,106.0,2018,17982
40000,17,35943,1062,106.2,4057,35943
60000,17,53776,1676,167.6,6224,53776
80000,17,71941,1519,151.9,8059,71941
100000,17,89775,1255,125.5,10225,89775
2,18,1,1,0.1,1,1
3,18,3,1,0.1,0,3
100,18,87,37,3.7,13,87
200,18,176,101,10.1,24,176
2000,18,1767,267,26.7,233,1767
10000,18,8857,932,93.2,1143,8857
20000,18,17911,1255,125.5,2089,17911
40000,18,35878,1496,149.6,4122,35878
60000,18,53688,1874,187.4,6312,53688
80000,18,71772,1570,157.0,8228,71772
100000,18,89718,1813,181.3,10282,89718
2,19,2,1,0.1,0,2
3,19,3,1,0.1,0,3
100,19,87,38,3.8,13,87
200,19,171,97,9.7,29,171
2000,19,1761,288,28.8,239,1761
10000,19,8926,945,94.5,1074,8926
20000,19,17891,1229,122.9,2109,17891
40000,19,35781,1647,164.7,4219,35781
60000,19,53820,1576,157.6,6180,53820
80000,19,71934,1778,177.8,8066,71934
100000,19,89918,1562,156.2,10082,89918
2,20,1,1,0.1,1,1
3,20,2,1,0.1,1,2
100,20,89,35,3.5,11,89
200,20,176,71,7.1,24,176
2000,20,1765,307,30.7,235,1765
10000,20,8915,879,87.9,1085,8915
20000,20,17734,1092,109.2,2266,17734
40000,20,35798,1210,121.0,4202,35798
60000,20,53834,1507,150.7,6166,53834
80000,20,71794,1851,185.1,8206,71794
100000,20,89773,2070,207.0,10227,89773
2,21,2,1,0.1,0,2
3,21,3,1,0.1,0,3
100,21,88,24,2.4,12,88
200,21,177,57,5.7,23,177
2000,21,1759,479,47.9,241,1759
10000,21,8917,1134,113.4,1083,8917
20000,21,17913,1343,134.3,2087,17913
40000,21,35871,830,83.0,4129,35871
60000,21,53808,1318,131.8,6192,53808
80000,21,72068,1489,148.9,7932,72068
100000,21,89729,2302,230.2,10271,89729
2,22,2,1,0.1,0,2
3,22,3,1,0.1,0,3
100,22,83,33,3.3,17,83
200,22,176,100,10.0,24,176
2000,22,1741,423,42.3,259,1741
10000,22,8920,552,55.2,1080,8920
20000,22,17896,959,95.9,2104,17896
40000,22,35904,1210,121.0,4096,35904
60000,22,53879,1309,130.9,6121,53879
80000,22,71820,1462,146.2,8180,71820
100000,22,89871,1690,169.0,10129,89871
2,23,2,1,0.1,0,2
3,23,2,1,0.1,1,2
100,23,84,41,4.1,16,84
200,23,171,64,6.4,29,171
2000,23,1779,329,32.9,221,1779
10000,23,8911,921,92.1,1089,8911
20000,23,17876,1268,126.8,2124,17876
40000,23,35893,1424,142.4,4107,35893
60000,23,53799,1288,128.8,6201,53799
80000,23,71902,2142,214.2,8098,71902
100000,23,89643,1811,181.1,10357,89643
2,24,2,1,0.1,0,2
3,24,3,1,0.1,0,3
100,24,85,42,4.2,15,85
200,24,179,76,7.6,21,179
2000,24,1763,344,34.4,237,1763
10000,24,8895,856,85.6,1105,8895
20000,24,17930,903,90.3,2070,17930
40000,24,35919,1246,124.6,4081,35919
60000,24,53894,1439,143.9,6106,53894
80000,24,71785,1613,161.3,8215,71785
100000,24,89663,2216,221.6,10337,89663
2,25,2,1,0.1,0,2
3,25,2,1,0.1,1,2
100,25,89,35,3.5,11,89
200,25,165,59,5.9,35,165
2000,25,1776,328,32.8,224,1776
10000,25,8906,953,95.3,1094,8906
20000,25,17862,1269,126.9,2138,17862
40000,25,35875,1541,154.1,4125,35875
60000,25,53943,1455,145.5,6057,53943
80000,25,71782,1885,188.5,8218,71782
100000,25,89657,2032,203.2,10343,89657
2,26,2,1,0.1,0,2
3,26,3,1,0.1,0,3
100,26,88,31,3.1,12,88
200,26,175,86,8.6,25,175
2000,26,1750,299,29.9,250,1750
10000,26,8896,792,79.2,1104,8896
20000,26,17894,1280,128.0,2106,17894
40000,26,35770,1147,114.7,4230,35770
60000,26,53989,1220,122.0,6011,53989
80000,26,71894,1214,121.4,8106,71894
100000,26,89854,2049,204.9,10146,89854
2,27,1,1,0.1,1,1
3,27,3,1,0.1,0,3
100,27,88,42,4.2,12,88
200,27,174,77,7.7,26,174
2000,27,1759,361,36.1,241,1759
10000,27,8876,765,76.5,1124,8876
20000,27,17932,950,95.0,2068,17932
40000,27,35858,1313,131.3,4142,35858
60000,27,53849,1609,160.9,6151,53849
80000,27,71775,1705,170.5,8225,71775
100000,27,89704,1478,147.8,10296,89704
2,28,1,1,0.1,1,1
