Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.78,1.0,0.09999999999999981,0.22,1.78
3,2.59,1.0,0.09999999999999981,0.41,2.59
100,89.93,1.0,0.09999999999999981,10.07,89.93
200,179.73,1.0,0.09999999999999981,20.27,179.73
2000,1800.12,1.0,0.09999999999999981,199.88,1800.12
10000,9003.14,1.0,0.09999999999999981,996.86,9003.14
20000,17997.6,1.0,0.09999999999999981,2002.4,17997.6
40000,35999.48,1.0,0.09999999999999981,4000.52,35999.48
60000,54001.93,1.0,0.09999999999999981,5998.07,54001.93
80000,72002.18,1.0,0.09999999999999981,7997.82,72002.18
100000,89998.98,1.0,0.09999999999999981,10001.02,89998.98
