Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.1,1.0,1.0
3,1,3,1,0.1,0.0,3.0
100,1,91,1,0.1,9.0,91.0
200,1,181,1,0.1,19.0,181.0
2000,1,1790,1,0.1,210.0,1790.0
10000,1,9018,1,0.1,982.0,9018.0
20000,1,17977,1,0.1,2023.0,17977.0
40000,1,36047,1,0.1,3953.0,36047.0
60000,1,53922,1,0.1,6078.0,53922.0
80000,1,72069,1,0.1,7931.0,72069.0
100000,1,90121,1,0.1,9879.0,90121.0
2,2,1,1,0.1,1.0,1.0
3,2,3,1,0.1,0.0,3.0
100,2,97,1,0.1,3.0,97.0
200,2,174,1,0.1,26.0,174.0
2000,2,1805,1,0.1,195.0,1805.0
10000,2,8959,1,0.1,1041.0,8959.0
20000,2,17993,1,0.1,2007.0,17993.0
40000,2,35948,1,0.1,4052.0,35948.0
60000,2,53933,1,0.1,6067.0,53933.0
80000,2,71983,1,0.1,8017.0,71983.0
100000,2,89959,1,0.1,10041.0,89959.0
2,3,2,1,0.1,0.0,2.0
3,3,3,1,0.1,0.0,3.0
100,3,90,1,0.1,10.0,90.0
200,3,174,1,0.1,26.0,174.0
2000,3,1803,1,0.1,197.0,1803.0
10000,3,9020,1,0.1,980.0,9020.0
20000,3,17977,1,0.1,2023.0,17977.0
40000,3,36009,1,0.1,3991.0,36009.0
60000,3,54010,1,0.1,5990.0,54010.0
80000,3,71894,1,0.1,8106.0,71894.0
100000,3,90038,1,0.1,9962.0,90038.0
2,4,2,1,0.1,0.0,2.0
3,4,3,1,0.1,0.0,3.0
100,4,90,1,0.1,10.0,90.0
200,4,171,1,0.1,29.0,171.0
2000,4,1822,1,0.1,178.0,1822.0
10000,4,8977,1,0.1,1023.0,8977.0
20000,4,18003,1,0.1,1997.0,18003.0
40000,4,36011,1,0.1,3989.0,36011.0
60000,4,53876,1,0.1,6124.0,53876.0
80000,4,72025,1,0.1,7975.0,72025.0
100000,4,90018,1,0.1,9982.0,90018.0
2,5,2,1,0.1,0.0,2.0
3,5,3,1,0.1,0.0,3.0
100,5,88,1,0.1,12.0,88.0
200,5,185,1,0.1,15.0,185.0
2000,5,1779,1,0.1,221.0,1779.0
10000,5,9013,1,0.1,987.0,9013.0
20000,5,18009,1,0.1,1991.0,18009.0
40000,5,35953,1,0.1,4047.0,35953.0
60000,5,53974,1,0.1,6026.0,53974.0
80000,5,71988,1,0.1,8012.0,71988.0
100000,5,89772,1,0.1,10228.0,89772.0
2,6,2,1,0.1,0.0,2.0
3,6,1,1,0.1,2.0,1.0
100,6,87,1,0.1,13.0,87.0
200,6,176,1,0.1,24.0,176.0
2000,6,1805,1,0.1,195.0,1805.0
10000,6,9034,1,0.1,966.0,9034.0
20000,6,18035,1,0.1,1965.0,18035.0
40000,6,36025,1,0.1,3975.0,36025.0
60000,6,54108,1,0.1,5892.0,54108.0
80000,6,71914,1,0.1,8086.0,71914.0
100000,6,90062,1,0.1,9938.0,90062.0
2,7,1,1,0.1,1.0,1.0
3,7,2,1,0.1,1.0,2.0
100,7,91,1,0.1,9.0,91.0
200,7,179,1,0.1,21.0,179.0
2000,7,1825,1,0.1,175.0,1825.0
10000,7,8992,1,0.1,1008.0,8992.0
20000,7,17922,1,0.1,2078.0,17922.0
40000,7,35951,1,0.1,4049.0,35951.0
60000,7,53971,1,0.1,6029.0,53971.0
80000,7,72014,1,0.1,7986.0,72014.0
100000,7,90101,1,0.1,9899.0,90101.0
2,8,2,1,0.1,0.0,2.0
3,8,3,1,0.1,0.0,3.0
100,8,89,1,0.1,11.0,89.0
200,8,178,1,0.1,22.0,178.0
2000,8,1797,1,0.1,203.0,1797.0
10000,8,9005,1,0.1,995.0,9005.0
20000,8,17999,1,0.1,2001.0,17999.0
40000,8,36028,1,0.1,3972.0,36028.0
60000,8,53947,1,0.1,6053.0,53947.0
80000,8,71941,1,0.1,8059.0,71941.0
100000,8,89965,1,0.1,10035.0,89965.0
2,9,2,1,0.1,0.0,2.0
3,9,3,1,0.1,0.0,3.0
100,9,85,1,0.1,15.0,85.0
200,9,186,1,0.1,14.0,186.0
2000,9,1792,1,0.1,208.0,1792.0
10000,9,9019,1,0.1,981.0,9019.0
20000,9,18010,1,0.1,1990.0,18010.0
40000,9,35909,1,0.1,4091.0,35909.0
60000,9,53968,1,0.1,6032.0,53968.0
80000,9,72211,1,0.1,7789.0,72211.0
100000,9,89904,1,0.1,10096.0,89904.0
2,10,1,1,0.1,1.0,1.0
3,10,2,1,0.1,1.0,2.0
100,10,85,1,0.1,15.0,85.0
200,10,181,1,0.1,19.0,181.0
2000,10,1768,1,0.1,232.0,1768.0
10000,10,8994,1,0.1,1006.0,8994.0
20000,10,17986,1,0.1,2014.0,17986.0
40000,10,35973,1,0.1,4027.0,35973.0
60000,10,53940,1,0.1,6060.0,53940.0
80000,10,72002,1,0.1,7998.0,72002.0
100000,10,90089,1,0.1,9911.0,90089.0
2,11,2,1,0.1,0.0,2.0
3,11,3,1,0.1,0.0,3.0
100,11,86,1,0.1,14.0,86.0
200,11,183,1,0.1,17.0,183.0
2000,11,1791,1,0.1,209.0,1791.0
10000,11,8970,1,0.1,1030.0,8970.0
20000,11,17988,1,0.1,2012.0,17988.0
40000,11,35991,1,0.1,4009.0,35991.0
60000,11,53962,1,0.1,6038.0,53962.0
80000,11,71968,1,0.1,8032.0,71968.0
100000,11,90137,1,0.1,9863.0,90137.0
2,12,2,1,0.1,0.0,2.0
3,12,1,1,0.1,2.0,1.0
100,12,95,1,0.1,5.0,95.0
200,12,180,1,0.1,20.0,180.0
2000,12,1802,1,0.1,198.0,1802.0
10000,12,9047,1,0.1,953.0,9047.0
20000,12,18036,1,0.1,1964.0,18036.0
40000,12,36004,1,0.1,3996.0,36004.0
60000,12,54163,1,0.1,5837.0,54163.0
80000,12,71962,1,0.1,8038.0,71962.0
100000,12,90039,1,0.1,9961.0,90039.0
2,13,2,1,0.1,0.0,2.0
3,13,2,1,0.1,1.0,2.0
100,13,91,1,0.1,9.0,91.0
200,13,178,1,0.1,22.0,178.0
2000,13,1800,1,0.1,200.0,1800.0
10000,13,9014,1,0.1,986.0,9014.0
20000,13,17997,1,0.1,2003.0,17997.0
40000,13,35991,1,0.1,4009.0,35991.0
60000,13,53937,1,0.1,6063.0,53937.0
80000,13,71907,1,0.1,8093.0,71907.0
100000,13,89965,1,0.1,10035.0,89965.0
2,14,1,1,0.1,1.0,1.0
3,14,3,1,0.1,0.0,3.0
100,14,87,1,0.1,13.0,87.0
200,14,174,1,0.1,26.0,174.0
2000,14,1804,1,0.1,196.0,1804.0
10000,14,8985,1,0.1,1015.0,8985.0
20000,14,18081,1,0.1,1919.0,18081.0
40000,14,36039,1,0.1,3961.0,36039.0
60000,14,53934,1,0.1,6066.0,53934.0
80000,14,71973,1,0.1,8027.0,71973.0
100000,14,89970,1,0.1,10030.0,89970.0
2,15,1,1,0.1,1.0,1.0
3,15,3,1,0.1,0.0,3.0
100,15,94,1,0.1,6.0,94.0
200,15,183,1,0.1,17.0,183.0
2000,15,1794,1,0.1,206.0,1794.0
10000,15,8972,1,0.1,1028.0,8972.0
20000,15,18036,1,0.1,1964.0,18036.0
40000,15,36003,1,0.1,3997.0,36003.0
60000,15,54033,1,0.1,5967.0,54033.0
80000,15,71899,1,0.1,8101.0,71899.0
100000,15,90014,1,0.1,9986.0,90014.0
2,16,1,1,0.1,1.0,1.0
3,16,3,1,0.1,0.0,3.0
100,16,94,1,0.1,6.0,94.0
200,16,186,1,0.1,14.0,186.0
2000,16,1800,1,0.1,200.0,1800.0
10000,16,8981,1,0.1,1019.0,8981.0
20000,16,17963,1,0.1,2037.0,17963.0
40000,16,36003,1,0.1,3997.0,36003.0
60000,16,53958,1,0.1,6042.0,53958.0
80000,16,71925,1,0.1,8075.0,71925.0
100000,16,90089,1,0.1,9911.0,90089.0
2,17,2,1,0.1,0.0,2.0
3,17,3,1,0.1,0.0,3.0
100,17,85,1,0.1,15.0,85.0
200,17,166,1,0.1,34.0,166.0
2000,17,1799,1,0.1,201.0,1799.0
10000,17,9005,1,0.1,995.0,9005.0
20000,17,17966,1,0.1,2034.0,17966.0
40000,17,35965,1,0.1,4035.0,35965.0
60000,17,53966,1,0.1,6034.0,53966.0
80000,17,72103,1,0.1,7897.0,72103.0
100000,17,89997,1,0.1,10003.0,89997.0
2,18,1,1,0.1,1.0,1.0
3,18,3,1,0.1,0.0,3.0
100,18,89,1,0.1,11.0,89.0
200,18,180,1,0.1,20.0,180.0
2000,18,1797,1,0.1,203.0,1797.0
10000,18,9007,1,0.1,993.0,9007.0
20000,18,17968,1,0.1,2032.0,17968.0
40000,18,35906,1,0.1,4094.0,35906.0
60000,18,53885,1,0.1,6115.0,53885.0
80000,18,71994,1,0.1,8006.0,71994.0
100000,18,89930,1,0.1,10070.0,89930.0
2,19,2,1,0.1,0.0,2.0
3,19,3,1,0.1,0.0,3.0
100,19,86,1,0.1,14.0,86.0
200,19,180,1,0.1,20.0,180.0
2000,19,1776,1,0.1,224.0,1776.0
10000,19,8994,1,0.1,1006.0,8994.0
20000,19,18015,1,0.1,1985.0,18015.0
40000,19,36079,1,0.1,3921.0,36079.0
60000,19,54026,1,0.1,5974.0,54026.0
80000,19,71893,1,0.1,8107.0,71893.0
100000,19,89944,1,0.1,10056.0,89944.0
