Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.01,0,2
3,1,3,2,0.01,0,3
100,1,89,50,0.25,11,89
200,1,183,100,0.5,17,183
2000,1,1817,1000,5.0,183,1817
10000,1,9013,1000,5.0,987,9013
20000,1,18010,1000,5.0,1990,18010
40000,1,35980,1000,5.0,4020,35980
60000,1,53926,1000,5.0,6074,53926
80000,1,71962,1000,5.0,8038,71962
100000,1,89913,1000,5.0,10087,89913
2,2,2,1,0.01,0,2
3,2,2,2,0.01,1,2
100,2,92,50,0.25,8,92
200,2,186,100,0.5,14,186
2000,2,1804,1000,5.0,196,1804
10000,2,9030,1000,5.0,970,9030
20000,2,18027,1000,5.0,1973,18027
40000,2,36108,1000,5.0,3892,36108
60000,2,54111,1000,5.0,5889,54111
80000,2,72023,1000,5.0,7977,72023
100000,2,90019,1000,5.0,9981,90019
2,3,2,1,0.01,0,2
3,3,3,2,0.01,0,3
100,3,89,50,0.25,11,89
200,3,176,100,0.5,24,176
2000,3,1783,1000,5.0,217,1783
10000,3,8962,9000,45.0,1038,8962
20000,3,17903,19000,95.0,2097,17903
40000,3,35822,39000,195.0,4178,35822
60000,3,53688,59000,295.0,6312,53688
80000,3,71574,79000,395.0,8426,71574
100000,3,89473,99000,495.0,10527,89473
2,4,2,1,0.01,0,2
3,4,3,2,0.01,0,3
100,4,94,50,0.25,6,94
200,4,185,100,0.5,15,185
2000,4,1780,1000,5.0,220,1780
10000,4,8948,1000,5.0,1052,8948
20000,4,17967,1000,5.0,2033,17967
40000,4,36001,1000,5.0,3999,36001
60000,4,53964,1000,5.0,6036,53964
80000,4,71922,1000,5.0,8078,71922
100000,4,89948,1000,5.0,10052,89948
2,5,2,1,0.01,0,2
3,5,3,2,0.01,0,3
100,5,89,50,0.25,11,89
200,5,170,100,0.5,30,170
2000,5,1787,1000,5.0,213,1787
10000,5,8940,8941,44.71,1060,8940
20000,5,17905,18941,94.7,2095,17905
40000,5,35832,38941,194.7,4168,35832
60000,5,53731,58941,294.7,6269,53731
80000,5,71662,78941,394.7,8338,71662
100000,5,89524,98941,494.7,10476,89524
2,6,1,1,0.01,1,1
3,6,1,2,0.01,2,1
100,6,89,50,0.25,11,89
200,6,178,100,0.5,22,178
2000,6,1813,1000,5.0,187,1813
10000,6,8987,2967,14.84,1013,8987
20000,6,17981,2967,14.84,2019,17981
40000,6,35957,2967,14.84,4043,35957
60000,6,53970,2967,14.84,6030,53970
80000,6,71993,2967,14.84,8007,71993
100000,6,89930,2967,14.84,10070,89930
2,7,2,1,0.01,0,2
3,7,3,2,0.01,0,3
100,7,95,50,0.25,5,95
200,7,187,100,0.5,13,187
2000,7,1801,1000,5.0,199,1801
10000,7,9091,1000,5.0,909,9091
20000,7,18095,1000,5.0,1905,18095
40000,7,36069,1000,5.0,3931,36069
60000,7,54034,1000,5.0,5966,54034
80000,7,72041,1000,5.0,7959,72041
100000,7,90051,1000,5.0,9949,90051
2,8,2,1,0.01,0,2
3,8,3,2,0.01,0,3
