Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.87,0.07,0.0006000000000000001,0.13,1.87
3,2.83,0.1,0.0008,0.17,2.83
100,90.14,25.26,0.12869999999999998,9.86,90.14
200,180.16,55.57,0.28029999999999994,19.84,180.16
2000,1796.53,650.0,3.2525999999999997,203.47,1796.53
10000,8979.2,3151.27,15.758599999999996,1020.8,8979.2
20000,17965.99,5806.37,29.03449999999999,2034.01,17965.99
40000,35940.6,10427.42,52.13989999999999,4059.4,35940.6
60000,53931.59,14018.76,70.09670000000001,6068.41,53931.59
80000,71918.41,17026.46,85.13519999999998,8081.59,71918.41
100000,89904.38,19650.89,98.25670000000004,10095.62,89904.38
