Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,0.98,1.93,0.010000000000000007,1.02,0.98
3,1.39,2.91,0.019100000000000013,1.61,1.39
100,50.16,82.25,0.4135999999999997,49.84,50.16
200,99.67,156.11,0.7828999999999998,100.33,99.67
2000,994.82,1331.34,6.658999999999999,1005.18,994.82
10000,4975.22,5787.61,28.940899999999992,5024.78,4975.22
20000,9955.18,10561.63,52.81069999999999,10044.82,9955.18
40000,19909.7,19364.75,96.82609999999991,20090.3,19909.7
60000,29876.41,27079.21,135.3987,30123.59,29876.41
80000,39839.81,33798.49,168.99509999999998,40160.19,39839.81
100000,49824.7,39893.58,199.47039999999993,50175.3,49824.7
