Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.65,1.85,0.1849999999999997,0.35,1.65
3,2.49,2.74,0.27400000000000035,0.51,2.49
100,84.68,54.51,5.451000000000001,15.32,84.68
200,172.45,81.09,8.108999999999998,27.55,172.45
2000,1781.96,195.61,19.561,218.04,1781.96
10000,8961.33,399.25,39.92500000000001,1038.67,8961.33
20000,17941.7,649.18,64.91799999999998,2058.3,17941.7
40000,35886.23,1152.7,115.26999999999992,4113.77,35886.23
60000,53834.92,1652.42,165.24199999999993,6165.08,53834.92
80000,71788.75,2151.46,215.146,8211.25,71788.75
100000,89733.02,2649.1,264.91,10266.98,89733.02
