Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,3.0,0,0.0,0,3
100,1,85.0,35,3.5,15,85
200,1,174.0,39,3.9,26,174
2000,1,1781.0,89,8.9,219,1781
10000,1,8969.0,287,28.7,1031,8969
20000,1,17920.0,521,52.1,2080,17920
40000,1,35874.0,991,99.1,4126,35874
60000,1,53795.0,1507,150.7,6205,53795
80000,1,71738.0,1998,199.8,8262,71738
100000,1,89785.0,2501,250.1,10215,89785
2,2,1.0,0,0.0,1,1
3,2,2.0,0,0.0,1,2
100,2,84.0,2,0.2,16,84
200,2,172.0,3,0.3,28,172
2000,2,1786.0,49,4.9,214,1786
10000,2,8931.0,281,28.1,1069,8931
20000,2,17915.0,547,54.7,2085,17915
40000,2,35873.0,1029,102.9,4127,35873
60000,2,53850.0,1560,156.0,6150,53850
80000,2,71867.0,2074,207.4,8133,71867
100000,2,89823.0,2576,257.6,10177,89823
2,3,2.0,0,0.0,0,2
3,3,2.0,0,0.0,1,2
100,3,88.0,4,0.4,12,88
200,3,176.0,5,0.5,24,176
2000,3,1790.0,61,6.1,210,1790
10000,3,8990.0,251,25.1,1010,8990
20000,3,17973.0,485,48.5,2027,17973
40000,3,35849.0,1007,100.7,4151,35849
60000,3,53749.0,1532,153.2,6251,53749
80000,3,71723.0,2022,202.2,8277,71723
100000,3,89638.0,2518,251.8,10362,89638
2,4,1.0,0,0.0,1,1
3,4,2.0,0,0.0,1,2
100,4,89.0,1,0.1,11,89
200,4,182.0,3,0.3,18,182
2000,4,1795.0,75,7.5,205,1795
10000,4,8981.0,275,27.5,1019,8981
20000,4,17929.0,533,53.3,2071,17929
40000,4,35796.0,1015,101.5,4204,35796
60000,4,53743.0,1543,154.3,6257,53743
80000,4,71655.0,2052,205.2,8345,71655
100000,4,89528.0,2567,256.7,10472,89528
2,5,2.0,0,0.0,0,2
3,5,3.0,0,0.0,0,3
100,5,86.0,5,0.5,14,86
200,5,176.0,6,0.6,24,176
2000,5,1785.0,50,5.0,215,1785
10000,5,8940.0,247,24.7,1060,8940
20000,5,17929.0,502,50.2,2071,17929
40000,5,35834.0,974,97.4,4166,35834
60000,5,53819.0,1502,150.2,6181,53819
80000,5,71818.0,2044,204.4,8182,71818
100000,5,89743.0,2557,255.7,10257,89743
2,6,2.0,0,0.0,0,2
3,6,3.0,0,0.0,0,3
100,6,90.0,0,0.0,10,90
200,6,177.0,2,0.2,23,177
2000,6,1802.0,67,6.7,198,1802
10000,6,9005.0,247,24.7,995,9005
20000,6,18015.0,525,52.5,1985,18015
40000,6,36025.0,1011,101.1,3975,36025
60000,6,53946.0,1541,154.1,6054,53946
80000,6,71841.0,2053,205.3,8159,71841
100000,6,89770.0,2519,251.9,10230,89770
2,7,2.0,0,0.0,0,2
3,7,3.0,0,0.0,0,3
100,7,92.0,4,0.4,8,92
200,7,183.0,4,0.4,17,183
2000,7,1787.0,47,4.7,213,1787
10000,7,8989.0,241,24.1,1011,8989
20000,7,17955.0,483,48.3,2045,17955
40000,7,35887.0,980,98.0,4113,35887
60000,7,53824.0,1452,145.2,6176,53824
80000,7,71734.0,1930,193.0,8266,71734
100000,7,89645.0,2418,241.8,10355,89645
2,8,1.0,0,0.0,1,1
3,8,1.0,0,0.0,2,1
100,8,89.0,0,0.0,11,89
200,8,180.0,11,1.1,20,180
2000,8,1799.0,54,5.4,201,1799
10000,8,9020.0,224,22.4,980,9020
20000,8,17949.0,448,44.8,2051,17949
40000,8,35856.0,966,96.6,4144,35856
60000,8,53890.0,1465,146.5,6110,53890
80000,8,71783.0,1996,199.6,8217,71783
100000,8,89790.0,2488,248.8,10210,89790
2,9,1.0,0,0.0,1,1
3,9,2.0,0,0.0,1,2
100,9,90.0,2,0.2,10,90
