Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,2,0.2,1,1
3,1,2.0,3,0.3,1,2
100,1,88.0,17,1.7,12,88
200,1,177.0,18,1.8,23,177
2000,1,1776.0,58,5.8,224,1776
10000,1,8960.0,262,26.2,1040,8960
20000,1,17929.0,515,51.5,2071,17929
40000,1,35856.0,971,97.1,4144,35856
60000,1,53838.0,1446,144.6,6162,53838
80000,1,71805.0,1971,197.1,8195,71805
100000,1,89712.0,2496,249.6,10288,89712
2,2,2.0,2,0.2,0,2
3,2,3.0,3,0.3,0,3
100,2,92.0,18,1.8,8,92
200,2,184.0,19,1.9,16,184
2000,2,1777.0,61,6.1,223,1777
10000,2,8970.0,268,26.8,1030,8970
20000,2,17935.0,528,52.8,2065,17935
40000,2,35909.0,1009,100.9,4091,35909
60000,2,53870.0,1528,152.8,6130,53870
80000,2,71776.0,2022,202.2,8224,71776
100000,2,89727.0,2543,254.3,10273,89727
2,3,1.0,2,0.2,1,1
3,3,2.0,3,0.3,1,2
100,3,82.0,46,4.6,18,82
200,3,172.0,48,4.8,28,172
2000,3,1790.0,97,9.7,210,1790
10000,3,8947.0,282,28.2,1053,8947
20000,3,17898.0,556,55.6,2102,17898
40000,3,35801.0,1057,105.7,4199,35801
60000,3,53711.0,1571,157.1,6289,53711
80000,3,71687.0,2036,203.6,8313,71687
100000,3,89635.0,2499,249.9,10365,89635
2,4,2.0,2,0.2,0,2
3,4,3.0,3,0.3,0,3
100,4,80.0,56,5.6,20,80
200,4,167.0,57,5.7,33,167
2000,4,1804.0,98,9.8,196,1804
10000,4,8937.0,291,29.1,1063,8937
20000,4,17912.0,514,51.4,2088,17912
40000,4,35837.0,997,99.7,4163,35837
60000,4,53806.0,1503,150.3,6194,53806
80000,4,71782.0,1988,198.8,8218,71782
100000,4,89698.0,2523,252.3,10302,89698
2,5,2.0,2,0.2,0,2
3,5,3.0,3,0.3,0,3
100,5,89.0,19,1.9,11,89
200,5,179.0,26,2.6,21,179
2000,5,1802.0,58,5.8,198,1802
10000,5,8997.0,266,26.6,1003,8997
20000,5,17974.0,508,50.8,2026,17974
40000,5,35937.0,995,99.5,4063,35937
60000,5,53861.0,1518,151.8,6139,53861
80000,5,71734.0,2014,201.4,8266,71734
100000,5,89736.0,2451,245.1,10264,89736
2,6,2.0,2,0.2,0,2
3,6,3.0,3,0.3,0,3
100,6,84.0,94,9.4,16,84
200,6,163.0,192,19.2,37,163
2000,6,1605.0,1953,195.3,395,1605
10000,6,8681.0,2962,296.2,1319,8681
20000,6,17685.0,3208,320.8,2315,17685
40000,6,35648.0,3723,372.3,4352,35648
60000,6,53623.0,4184,418.4,6377,53623
80000,6,71546.0,4717,471.7,8454,71546
100000,6,89426.0,5184,518.4,10574,89426
2,7,0.0,2,0.2,2,0
3,7,1.0,3,0.3,2,1
100,7,77.0,98,9.8,23,77
200,7,152.0,196,19.6,48,152
2000,7,1681.0,1120,112.0,319,1681
10000,7,8870.0,1301,130.1,1130,8870
20000,7,17872.0,1573,157.3,2128,17872
40000,7,35834.0,2066,206.6,4166,35834
60000,7,53741.0,2588,258.8,6259,53741
80000,7,71736.0,3043,304.3,8264,71736
100000,7,89675.0,3526,352.6,10325,89675
2,8,2.0,2,0.2,0,2
3,8,3.0,3,0.3,0,3
100,8,80.0,55,5.5,20,80
200,8,171.0,56,5.6,29,171
2000,8,1777.0,97,9.7,223,1777
10000,8,9005.0,289,28.9,995,9005
20000,8,17995.0,534,53.4,2005,17995
40000,8,35992.0,1040,104.0,4008,35992
60000,8,53985.0,1551,155.1,6015,53985
80000,8,71910.0,2055,205.5,8090,71910
100000,8,89814.0,2554,255.4,10186,89814
2,9,2.0,2,0.2,0,2
3,9,3.0,3,0.3,0,3
100,9,82.0,100,10.0,18,82
200,9,161.0,192,19.2,39,161
2000,9,1755.0,345,34.5,245,1755
