Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.74,1.0,0.010000000000000007,0.26,1.74
3,2.64,1.12,0.010000000000000007,0.36,2.64
100,90.09,49.29,0.2486999999999999,9.91,90.09
200,179.63,99.81,0.5010999999999999,20.37,179.63
2000,1793.6,962.73,4.815899999999997,206.4,1793.6
10000,8975.02,4628.18,23.1434,1024.98,8975.02
20000,17953.56,8955.52,44.77989999999999,2046.44,17953.56
40000,35916.93,17176.04,85.88259999999995,4083.07,35916.93
60000,53883.87,24710.96,123.5572,6116.13,53883.87
80000,71847.23,32197.7,160.99089999999995,8152.77,71847.23
100000,89808.64,39082.08,195.41299999999995,10191.36,89808.64
