Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7,1.0,0.09999999999999981,0.3,1.7
3,2.52,1.83,0.1829999999999997,0.48,2.52
100,86.65,39.63,3.9629999999999983,13.35,86.65
200,173.81,73.76,7.3759999999999994,26.19,173.81
2000,1758.48,402.65,40.26499999999999,241.52,1758.48
10000,8912.97,898.59,89.85900000000005,1087.03,8912.97
20000,17884.63,1156.45,115.64499999999997,2115.37,17884.63
40000,35866.72,1412.42,141.24200000000005,4133.28,35866.72
60000,53856.43,1566.98,156.69799999999995,6143.57,53856.43
80000,71845.48,1681.61,168.1610000000001,8154.52,71845.48
100000,89843.13,1755.63,175.563,10156.87,89843.13
