Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.72,1.0,0.09999999999999981,0.37,2.63
3,2.63,1.07,0.10699999999999982,0.74,5.26
100,86.16,39.34,3.933999999999999,722.81,4327.19
200,172.63,72.79,7.278999999999999,2794.03,17305.97
2000,1760.96,403.93,40.39299999999999,247614.36,1753385.64
10000,8911.45,911.53,91.153,5603423.68,44401576.32
20000,17881.63,1178.03,117.803,21658469.91,178351530.09
40000,35854.74,1453.68,145.368,84329931.93,715690068.07
60000,53836.16,1619.76,161.97600000000003,187416197.79,1612613802.21
80000,71819.98,1733.44,173.34399999999997,330854130.98,2869185869.02
100000,89819.59,1805.62,180.562,514442936.67,4485607063.33
