Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.1,1,1
3,1,1.0,1,0.1,2,1
100,1,89.0,33,3.3,11,89
200,1,172.0,57,5.7,28,172
2000,1,1770.0,243,24.3,230,1770
10000,1,8890.0,815,81.5,1110,8890
20000,1,17861.0,1190,119.0,2139,17861
40000,1,35804.0,1689,168.9,4196,35804
60000,1,53785.0,1898,189.8,6215,53785
80000,1,71857.0,1983,198.3,8143,71857
100000,1,89865.0,2271,227.1,10135,89865
2,2,1.0,1,0.1,1,1
3,2,2.0,1,0.1,1,2
100,2,86.0,50,5.0,14,86
200,2,173.0,84,8.4,27,173
2000,2,1758.0,528,52.8,242,1758
10000,2,8881.0,1063,106.3,1119,8881
20000,2,17851.0,1456,145.6,2149,17851
40000,2,35778.0,1780,178.0,4222,35778
60000,2,53798.0,1849,184.9,6202,53798
80000,2,71712.0,1995,199.5,8288,71712
100000,2,89709.0,2053,205.3,10291,89709
2,3,2.0,1,0.1,0,2
3,3,3.0,2,0.2,0,3
100,3,88.0,39,3.9,12,88
200,3,177.0,77,7.7,23,177
2000,3,1737.0,457,45.7,263,1737
10000,3,8891.0,942,94.2,1109,8891
20000,3,17880.0,1163,116.3,2120,17880
40000,3,35931.0,1443,144.3,4069,35931
60000,3,53893.0,1575,157.5,6107,53893
80000,3,71838.0,1631,163.1,8162,71838
100000,3,89852.0,1807,180.7,10148,89852
2,4,1.0,1,0.1,1,1
3,4,2.0,1,0.1,1,2
100,4,84.0,21,2.1,16,84
200,4,174.0,59,5.9,26,174
2000,4,1739.0,351,35.1,261,1739
10000,4,8889.0,877,87.7,1111,8889
20000,4,17851.0,1105,110.5,2149,17851
40000,4,35818.0,1637,163.7,4182,35818
60000,4,53785.0,1853,185.3,6215,53785
80000,4,71794.0,2138,213.8,8206,71794
100000,4,89789.0,2192,219.2,10211,89789
2,5,1.0,1,0.1,1,1
3,5,1.0,2,0.2,2,1
100,5,85.0,39,3.9,15,85
200,5,172.0,82,8.2,28,172
2000,5,1729.0,429,42.9,271,1729
10000,5,8894.0,782,78.2,1106,8894
20000,5,17855.0,1106,110.6,2145,17855
40000,5,35823.0,1322,132.2,4177,35823
60000,5,53751.0,1526,152.6,6249,53751
80000,5,71755.0,1572,157.2,8245,71755
100000,5,89694.0,1604,160.4,10306,89694
2,6,2.0,1,0.1,0,2
3,6,2.0,2,0.2,1,2
100,6,84.0,26,2.6,16,84
200,6,172.0,75,7.5,28,172
2000,6,1754.0,353,35.3,246,1754
10000,6,8891.0,757,75.7,1109,8891
20000,6,17907.0,942,94.2,2093,17907
40000,6,35909.0,1188,118.8,4091,35909
60000,6,53882.0,1477,147.7,6118,53882
80000,6,71905.0,1524,152.4,8095,71905
100000,6,89906.0,1610,161.0,10094,89906
2,7,2.0,1,0.1,0,2
3,7,2.0,2,0.2,1,2
100,7,89.0,34,3.4,11,89
200,7,179.0,64,6.4,21,179
2000,7,1770.0,300,30.0,230,1770
10000,7,8912.0,799,79.9,1088,8912
20000,7,17871.0,977,97.7,2129,17871
40000,7,35948.0,1153,115.3,4052,35948
60000,7,54044.0,1206,120.6,5956,54044
80000,7,71971.0,1369,136.9,8029,71971
100000,7,90017.0,1400,140.0,9983,90017
2,8,2.0,1,0.1,0,2
3,8,3.0,2,0.2,0,3
100,8,87.0,46,4.6,13,87
200,8,170.0,96,9.6,30,170
2000,8,1739.0,535,53.5,261,1739
10000,8,8886.0,1014,101.4,1114,8886
20000,8,17810.0,1280,128.0,2190,17810
40000,8,35800.0,1477,147.7,4200,35800
60000,8,53869.0,1545,154.5,6131,53869
80000,8,71813.0,1601,160.1,8187,71813
100000,8,89799.0,1641,164.1,10201,89799
2,9,1.0,1,0.1,1,1
3,9,2.0,2,0.2,1,2
100,9,83.0,36,3.6,17,83
200,9,167.0,58,5.8,33,167
2000,9,1756.0,325,32.5,244,1756
10000,9,8906.0,710,71.0,1094,8906
20000,9,17891.0,959,95.9,2109,17891
40000,9,35898.0,1323,132.3,4102,35898
60000,9,53874.0,1498,149.8,6126,53874
80000,9,71840.0,1564,156.4,8160,71840
100000,9,89757.0,1642,164.2,10243,89757
2,10,1.0,1,0.1,1,1
3,10,1.0,1,0.1,2,1
100,10,84.0,50,5.0,16,84
200,10,171.0,96,9.6,29,171
2000,10,1769.0,428,42.8,231,1769
10000,10,8925.0,1036,103.6,1075,8925
20000,10,17873.0,1243,124.3,2127,17873
40000,10,35830.0,1633,163.3,4170,35830
60000,10,53875.0,1732,173.2,6125,53875
80000,10,71927.0,1806,180.6,8073,71927
100000,10,89899.0,1893,189.3,10101,89899
2,11,2.0,1,0.1,0,2
3,11,3.0,2,0.2,0,3
100,11,86.0,29,2.9,14,86
200,11,176.0,66,6.6,24,176
2000,11,1782.0,364,36.4,218,1782
10000,11,8903.0,947,94.7,1097,8903
20000,11,17814.0,1266,126.6,2186,17814
40000,11,35807.0,1352,135.2,4193,35807
60000,11,53814.0,1454,145.4,6186,53814
80000,11,71830.0,1536,153.6,8170,71830
100000,11,89760.0,1630,163.0,10240,89760
2,12,1.0,1,0.1,1,1
3,12,2.0,2,0.2,1,2
100,12,87.0,40,4.0,13,87
200,12,175.0,88,8.8,25,175
2000,12,1743.0,450,45.0,257,1743
10000,12,8870.0,828,82.8,1130,8870
20000,12,17823.0,1131,113.1,2177,17823
40000,12,35767.0,1292,129.2,4233,35767
60000,12,53744.0,1368,136.8,6256,53744
80000,12,71773.0,1434,143.4,8227,71773
100000,12,89780.0,1453,145.3,10220,89780
2,13,2.0,1,0.1,0,2
3,13,3.0,2,0.2,0,3
100,13,87.0,47,4.7,13,87
200,13,179.0,71,7.1,21,179
2000,13,1734.0,569,56.9,266,1734
10000,13,8919.0,989,98.9,1081,8919
20000,13,17905.0,1261,126.1,2095,17905
40000,13,35904.0,1449,144.9,4096,35904
60000,13,53873.0,1554,155.4,6127,53873
80000,13,71836.0,1670,167.0,8164,71836
100000,13,89871.0,1719,171.9,10129,89871
2,14,2.0,1,0.1,0,2
3,14,2.0,2,0.2,1,2
100,14,87.0,27,2.7,13,87
200,14,172.0,58,5.8,28,172
2000,14,1739.0,256,25.6,261,1739
10000,14,8899.0,785,78.5,1101,8899
20000,14,17880.0,1053,105.3,2120,17880
40000,14,35843.0,1354,135.4,4157,35843
60000,14,53846.0,1601,160.1,6154,53846
80000,14,71876.0,1740,174.0,8124,71876
100000,14,89869.0,1812,181.2,10131,89869
2,15,2.0,1,0.1,0,2
3,15,3.0,2,0.2,0,3
100,15,89.0,38,3.8,11,89
200,15,173.0,75,7.5,27,173
2000,15,1754.0,200,20.0,246,1754
10000,15,8888.0,684,68.4,1112,8888
20000,15,17941.0,787,78.7,2059,17941
40000,15,35917.0,968,96.8,4083,35917
60000,15,53834.0,1085,108.5,6166,53834
80000,15,71781.0,1196,119.6,8219,71781
100000,15,89756.0,1284,128.4,10244,89756
2,16,2.0,1,0.1,0,2
3,16,3.0,2,0.2,0,3
100,16,90.0,42,4.2,10,90
200,16,177.0,89,8.9,23,177
2000,16,1764.0,468,46.8,236,1764
10000,16,8952.0,1126,112.6,1048,8952
20000,16,17906.0,1445,144.5,2094,17906
40000,16,35899.0,1673,167.3,4101,35899
60000,16,53894.0,1928,192.8,6106,53894
80000,16,71840.0,2027,202.7,8160,71840
100000,16,89846.0,2050,205.0,10154,89846
2,17,2.0,1,0.1,0,2
3,17,3.0,2,0.2,0,3
100,17,82.0,42,4.2,18,82
200,17,163.0,66,6.6,37,163
2000,17,1734.0,306,30.6,266,1734
10000,17,8859.0,754,75.4,1141,8859
20000,17,17826.0,958,95.8,2174,17826
40000,17,35830.0,1108,110.8,4170,35830
60000,17,53824.0,1157,115.7,6176,53824
80000,17,71902.0,1168,116.8,8098,71902
100000,17,89914.0,1194,119.4,10086,89914
2,18,1.0,1,0.1,1,1
3,18,1.0,2,0.2,2,1
100,18,86.0,36,3.6,14,86
200,18,176.0,65,6.5,24,176
2000,18,1751.0,463,46.3,249,1751
10000,18,8917.0,856,85.6,1083,8917
20000,18,17842.0,1239,123.9,2158,17842
40000,18,35887.0,1581,158.1,4113,35887
60000,18,53934.0,1708,170.8,6066,53934
80000,18,71908.0,1796,179.6,8092,71908
100000,18,89881.0,1827,182.7,10119,89881
2,19,2.0,1,0.1,0,2
3,19,2.0,2,0.2,1,2
100,19,84.0,32,3.2,16,84
200,19,170.0,64,6.4,30,170
2000,19,1756.0,409,40.9,244,1756
10000,19,8891.0,760,76.0,1109,8891
20000,19,17845.0,970,97.0,2155,17845
40000,19,35779.0,1204,120.4,4221,35779
60000,19,53893.0,1236,123.6,6107,53893
80000,19,71893.0,1340,134.0,8107,71893
100000,19,89933.0,1454,145.4,10067,89933
2,20,2.0,1,0.1,0,2
3,20,3.0,2,0.2,0,3
100,20,89.0,34,3.4,11,89
200,20,176.0,59,5.9,24,176
2000,20,1777.0,204,20.4,223,1777
10000,20,8961.0,533,53.3,1039,8961
20000,20,17947.0,1005,100.5,2053,17947
40000,20,35891.0,1159,115.9,4109,35891
60000,20,53897.0,1531,153.1,6103,53897
80000,20,71961.0,1636,163.6,8039,71961
100000,20,89963.0,1722,172.2,10037,89963
2,21,2.0,1,0.1,0,2
3,21,3.0,2,0.2,0,3
100,21,87.0,44,4.4,13,87
200,21,173.0,81,8.1,27,173
2000,21,1752.0,308,30.8,248,1752
10000,21,8914.0,917,91.7,1086,8914
20000,21,17895.0,1116,111.6,2105,17895
40000,21,35900.0,1544,154.4,4100,35900
60000,21,53914.0,1615,161.5,6086,53914
80000,21,71910.0,1751,175.1,8090,71910
100000,21,89906.0,1838,183.8,10094,89906
2,22,0.0,1,0.1,2,0
