Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7667236869452636,1.0,0.010000000000000007,0.99,1.01
3,2.7476824590226023,1.0,0.010000000000000007,1.51,1.49
100,89.45579286678887,51.02,0.25770000000000004,50.53,49.47
200,179.50073228157066,102.85,0.5168,100.45,99.55
2000,1794.4304927969204,989.42,4.944299999999999,1000.27,999.73
10000,8977.90685201675,4535.26,22.675900000000002,5001.28,4998.72
20000,17953.274184648046,8891.13,44.458099999999995,10002.59,9997.41
40000,35918.003896565795,17116.55,85.5813,19996.36,20003.64
60000,53867.99868192122,24189.71,120.94640000000003,30008.31,29991.69
80000,71849.36854916504,30223.52,151.11550000000003,39986.19,40013.81
100000,89792.69197803058,38022.61,190.11090000000004,50036.43,49963.57
