Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7564427406641014,1.0,0.010000000000000007,1.08,0.92
3,2.649805648070517,2.0,0.010000000000000007,1.54,1.46
100,89.36225538559562,50.0,0.25,50.86,49.14
200,179.33434807993436,100.42,0.5060999999999996,100.86,99.14
2000,1795.0019603404587,978.07,4.8882,998.33,1001.67
10000,8980.677654350082,4588.0,22.9391,4992.72,5007.28
20000,17961.630032257683,8925.72,44.63099999999999,9988.01,10011.99
40000,35927.07735641537,17124.84,85.62330000000006,19985.8,20014.2
60000,53893.39835176805,24252.7,121.26099999999998,29985.0,30015.0
80000,71861.46437103124,31323.63,156.61559999999997,39986.07,40013.93
100000,89822.40128851001,37919.12,189.59339999999992,49996.42,50003.58
