Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.011800887827553,1,0.1,0,2
3,1,2.458869541178248,1,0.1,1,2
100,1,81.05227873637556,50,5.0,54,46
200,1,164.20418114006148,95,9.5,105,95
2000,1,1749.2683731965394,525,52.5,985,1015
10000,1,8918.191181765542,1075,107.5,4949,5051
20000,1,17906.974558087608,1295,129.5,9947,10053
40000,1,35800.714306584836,1687,168.7,19985,20015
60000,1,53729.51820901518,1817,181.7,30144,29856
80000,1,71794.46849077527,1875,187.5,39989,40011
100000,1,89824.99815651507,1899,189.9,49987,50013
2,2,1.7585283965179233,1,0.1,1,1
3,2,2.830341008233229,1,0.1,1,2
100,2,83.10568867813218,50,5.0,49,51
200,2,175.16415377355466,95,9.5,94,106
2000,2,1726.962117679313,723,72.3,1006,994
10000,2,8831.935951047582,1474,147.4,5006,4994
20000,2,17774.064644757364,1919,191.9,9988,10012
40000,2,35736.530220198256,2219,221.9,20028,19972
60000,2,53711.24283765941,2445,244.5,29976,30024
80000,2,71646.95006422451,2865,286.5,39996,40004
100000,2,89652.61745607927,2927,292.7,49997,50003
2,3,1.3179870575011736,1,0.1,1,1
3,3,2.2744982301884766,1,0.1,1,2
100,3,84.51900450467764,50,5.0,51,49
200,3,168.6528517036818,93,9.3,100,100
2000,3,1732.6784998874246,490,49.0,1008,992
10000,3,8882.072521142032,1107,110.7,4982,5018
20000,3,17886.25065648357,1295,129.5,9979,10021
40000,3,35737.029927521784,1610,161.0,20130,19870
60000,3,53722.10933323108,1867,186.7,30137,29863
80000,3,71749.43882707701,1960,196.0,40040,39960
100000,3,89805.69136457566,1978,197.8,49905,50095
2,4,2.0780984528727946,1,0.1,1,1
3,4,3.595118518706144,1,0.1,1,2
100,4,90.03045860167357,50,5.0,48,52
200,4,176.8434786987884,104,10.4,97,103
2000,4,1754.8724608153523,613,61.3,992,1008
10000,4,8923.447825094214,1115,111.5,4918,5082
20000,4,17902.692243219506,1778,177.8,9902,10098
40000,4,35810.27942970433,2106,210.6,19958,20042
60000,4,53841.06755810288,2219,221.9,29942,30058
80000,4,71801.5400366482,2431,243.1,39954,40046
100000,4,89844.92070638938,2456,245.6,49969,50031
2,5,1.7788788813436616,1,0.1,1,1
3,5,2.9791391118523647,1,0.1,1,2
100,5,83.81453109061064,50,5.0,54,46
200,5,169.86338142282236,107,10.7,104,96
2000,5,1749.3113395974756,530,53.0,993,1007
10000,5,8836.79573905688,1163,116.3,5065,4935
20000,5,17793.56436904398,1452,145.2,10085,9915
40000,5,35663.545566413086,1850,185.0,20195,19805
60000,5,53635.85965838053,2125,212.5,30164,29836
80000,5,71618.73517860846,2256,225.6,40192,39808
100000,5,89575.63592901894,2411,241.1,50310,49690
2,6,1.3322622261328823,1,0.1,2,0
3,6,2.2217276745044057,1,0.1,3,0
100,6,90.26133240811485,50,5.0,46,54
200,6,179.3447786150088,107,10.7,93,107
2000,6,1746.0704535999566,637,63.7,979,1021
10000,6,8876.945175209492,1308,130.8,4964,5036
20000,6,17851.720860478064,1896,189.6,9942,10058
40000,6,35842.85066170303,2272,227.2,19957,20043
60000,6,53839.61945315857,2365,236.5,29934,30066
80000,6,71834.5213098489,2504,250.4,39938,40062
100000,6,89821.45690065343,2564,256.4,49949,50051
2,7,0.7217660631305467,1,0.1,2,0
3,7,1.706835410714791,1,0.1,2,1
100,7,80.06349363010789,50,5.0,55,45
200,7,159.02488104688067,93,9.3,112,88
2000,7,1724.6263283846024,515,51.5,1040,960
10000,7,8882.902368267196,906,90.6,5049,4951
20000,7,17832.65402607691,1167,116.7,10076,9924
40000,7,35816.44072625025,1408,140.8,20056,19944
60000,7,53817.59817853883,1556,155.6,30035,29965
80000,7,71816.10816669451,1621,162.1,39956,40044
100000,7,89724.59047625169,1710,171.0,50031,49969
2,8,2.097818611913549,1,0.1,1,1
3,8,2.951719743893433,1,0.1,2,1
100,8,82.3766770077795,50,5.0,55,45
200,8,168.64791047788142,105,10.5,102,98
2000,8,1715.4536120783678,641,64.1,1046,954
10000,8,8874.415776306181,1320,132.0,5010,4990
20000,8,17826.947221666847,1614,161.4,10098,9902
40000,8,35801.769291211545,1880,188.0,20107,19893
60000,8,53789.579580076286,2002,200.2,30147,29853
80000,8,71786.8013304455,2150,215.0,40082,39918
100000,8,89750.72885036102,2278,227.8,50146,49854
2,9,1.848141660639329,1,0.1,0,2
3,9,3.173498535378558,1,0.1,0,3
100,9,78.6927659757158,50,5.0,59,41
200,9,162.08898081717706,93,9.3,116,84
2000,9,1766.492153117868,526,52.6,997,1003
10000,9,8896.357188354656,1205,120.5,5005,4995
20000,9,17876.93990862623,1424,142.4,9979,10021
40000,9,35867.73099613851,1693,169.3,20005,19995
60000,9,53889.20875190294,1817,181.7,29960,30040
80000,9,71877.90803517468,1995,199.5,39967,40033
100000,9,89806.91983138013,2111,211.1,50065,49935
2,10,1.6141012804667687,1,0.1,2,0
3,10,2.478508543741956,1,0.1,3,0
100,10,81.77954356933591,50,5.0,59,41
200,10,160.86305421194967,94,9.4,118,82
2000,10,1735.7803374030457,478,47.8,1007,993
10000,10,8911.918283594992,1044,104.4,4931,5069
20000,10,17836.74721024083,1518,151.8,9942,10058
40000,10,35837.585130588275,1684,168.4,19911,20089
60000,10,53755.03839884615,2081,208.1,30025,29975
80000,10,71782.57433662472,2207,220.7,40026,39974
100000,10,89760.0173545724,2262,226.2,50030,49970
2,11,1.8314580843391026,1,0.1,1,1
3,11,3.0933151198284317,1,0.1,1,2
100,11,87.94721186620662,50,5.0,47,53
200,11,173.03244085783427,103,10.3,93,107
2000,11,1747.6521565408655,667,66.7,977,1023
10000,11,8854.30823855104,1343,134.3,4994,5006
20000,11,17860.794589159115,1580,158.0,9926,10074
40000,11,35895.09852564004,1708,170.8,19848,20152
60000,11,53987.38025291711,1844,184.4,29697,30303
80000,11,71955.25629298766,1979,197.9,39704,40296
100000,11,89972.49537872444,2110,211.0,49572,50428
2,12,1.9020097563303884,1,0.1,1,1
3,12,2.07426387613835,1,0.1,2,1
100,12,79.80854750510352,50,5.0,60,40
200,12,167.33518194835446,93,9.3,105,95
2000,12,1760.1391995435174,378,37.8,1005,995
10000,12,8925.607636812078,885,88.5,4995,5005
20000,12,17911.62767250339,1501,150.1,9957,10043
40000,12,35902.31447558305,2044,204.4,19801,20199
60000,12,53829.69364050893,2241,224.1,29795,30205
80000,12,71857.69499542691,2325,232.5,39768,40232
100000,12,89883.87341108825,2384,238.4,49657,50343
2,13,1.4405382534308044,1,0.1,1,1
3,13,2.3918672331283823,1,0.1,1,2
100,13,87.0879438507809,50,5.0,45,55
200,13,165.29274021209835,93,9.3,100,100
2000,13,1755.6862143724202,378,37.8,998,1002
10000,13,8894.50707139043,1307,130.7,4982,5018
20000,13,17880.442163871256,1547,154.7,10010,9990
40000,13,35816.557813682695,1815,181.5,20120,19880
60000,13,53791.00256592498,1930,193.0,30074,29926
80000,13,71812.24159667578,2054,205.4,40028,39972
100000,13,89750.55590235184,2126,212.6,50149,49851
2,14,2.2471210053763406,1,0.1,0,2
3,14,2.616635591159426,1,0.1,1,2
100,14,85.16296788959274,50,5.0,52,48
200,14,171.3917844732056,93,9.3,102,98
