Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,0.2130387529515208,1,0.01,2,0
3,1,1.7971380297382034,2,0.01,2,1
100,1,47.50049473112562,50,0.25,52,48
200,1,98.75158253821152,102,0.51,98,102
2000,1,984.3403517928066,987,4.93,1026,974
10000,1,4968.389784253276,4234,21.17,5018,4982
20000,1,9937.114156368985,9562,47.81,9988,10012
40000,1,19955.333620193487,19501,97.5,19957,20043
60000,1,29892.986113462262,29508,147.54,29976,30024
80000,1,39863.677659042805,35850,179.25,39981,40019
100000,1,49905.829118503665,44766,223.83,49895,50105
2,2,1.011612485226631,1,0.01,1,1
3,2,0.8769852509209963,2,0.01,2,1
100,2,56.02793764764034,50,0.25,45,55
200,2,100.96365361015657,107,0.54,98,102
2000,2,976.0006600584721,1019,5.09,987,1013
10000,2,4937.049146354839,4229,21.15,4978,5022
20000,2,9982.803037461146,8987,44.94,9897,10103
40000,2,20004.446397987183,17282,86.41,19801,20199
60000,2,29919.846294489973,24407,122.03,29867,30133
80000,2,39893.89179720793,30614,153.07,39810,40190
100000,2,49864.91456404106,38303,191.51,49821,50179
2,3,0.5549290519565901,1,0.01,2,0
3,3,0.2942423222275823,2,0.01,3,0
100,3,48.145929037192,50,0.25,54,46
200,3,92.54649526951172,93,0.47,104,96
2000,3,995.3291257357469,925,4.62,1007,993
10000,3,4956.17972130124,4592,22.96,4987,5013
20000,3,9987.180938797293,8534,42.67,9987,10013
40000,3,19827.706188095992,17461,87.3,20196,19804
60000,3,29978.074707990247,26509,132.54,30026,29974
80000,3,40082.7848284704,29314,146.57,39921,40079
100000,3,49990.97813517529,35537,177.68,49946,50054
2,4,0.4608411398202462,1,0.01,2,0
3,4,0.33672514087431993,2,0.01,3,0
100,4,50.252422602544,50,0.25,51,49
200,4,94.5002983116261,93,0.47,104,96
2000,4,994.9607043633306,655,3.27,1007,993
10000,4,5029.861759551863,4875,24.37,4957,5043
20000,4,9947.265521263042,9916,49.58,10036,9964
