Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.77,1.0,0.09999999999999981,0.23,1.77
3,2.6,1.86,0.1859999999999997,0.4,2.6
100,87.86,27.34,2.734000000000001,12.14,87.86
200,176.11,41.42,4.142000000000001,23.89,176.11
2000,1788.05,119.25,11.92500000000001,211.95,1788.05
10000,8988.42,173.76,17.375999999999994,1011.58,8988.42
20000,17985.47,200.74,20.073999999999998,2014.53,17985.47
40000,35986.54,224.01,22.400999999999996,4013.46,35986.54
60000,53979.77,236.58,23.658,6020.23,53979.77
80000,71983.2,247.51,24.751000000000005,8016.8,71983.2
100000,89986.08,253.92,25.392000000000007,10013.92,89986.08
