Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,0,2
3,1,3.0,1,0.1,0,3
100,1,88.0,15,1.5,12,88
200,1,178.0,53,5.3,22,178
2000,1,1807.0,111,11.1,193,1807
10000,1,9006.0,236,23.6,994,9006
20000,1,17999.0,245,24.5,2001,17999
40000,1,36005.0,315,31.5,3995,36005
60000,1,54009.0,316,31.6,5991,54009
80000,1,71979.0,327,32.7,8021,71979
100000,1,89993.0,330,33.0,10007,89993
2,2,2.0,1,0.1,0,2
3,2,3.0,1,0.1,0,3
100,2,88.0,49,4.9,12,88
200,2,177.0,78,7.8,23,177
2000,2,1774.0,211,21.1,226,1774
10000,2,8929.0,263,26.3,1071,8929
20000,2,17871.0,280,28.0,2129,17871
40000,2,35811.0,287,28.7,4189,35811
60000,2,53851.0,288,28.8,6149,53851
80000,2,71866.0,288,28.8,8134,71866
100000,2,89931.0,288,28.8,10069,89931
2,3,2.0,1,0.1,0,2
3,3,2.0,1,0.1,1,2
100,3,89.0,8,0.8,11,89
200,3,180.0,55,5.5,20,180
2000,3,1795.0,168,16.8,205,1795
10000,3,8981.0,216,21.6,1019,8981
20000,3,17942.0,219,21.9,2058,17942
40000,3,35865.0,235,23.5,4135,35865
60000,3,53838.0,243,24.3,6162,53838
80000,3,71773.0,248,24.8,8227,71773
100000,3,89760.0,257,25.7,10240,89760
2,4,1.0,1,0.1,1,1
3,4,2.0,2,0.2,1,2
100,4,81.0,66,6.6,19,81
200,4,175.0,66,6.6,25,175
2000,4,1780.0,102,10.2,220,1780
10000,4,8972.0,116,11.6,1028,8972
20000,4,17939.0,146,14.6,2061,17939
40000,4,35982.0,157,15.7,4018,35982
60000,4,54017.0,157,15.7,5983,54017
80000,4,71965.0,160,16.0,8035,71965
100000,4,89847.0,167,16.7,10153,89847
2,5,2.0,1,0.1,0,2
3,5,3.0,1,0.1,0,3
100,5,80.0,90,9.0,20,80
200,5,171.0,90,9.0,29,171
2000,5,1775.0,241,24.1,225,1775
10000,5,8981.0,439,43.9,1019,8981
20000,5,17961.0,457,45.7,2039,17961
40000,5,35922.0,481,48.1,4078,35922
60000,5,53873.0,486,48.6,6127,53873
80000,5,71901.0,489,48.9,8099,71901
100000,5,89825.0,500,50.0,10175,89825
2,6,2.0,1,0.1,0,2
3,6,3.0,1,0.1,0,3
100,6,85.0,41,4.1,15,85
200,6,178.0,42,4.2,22,178
2000,6,1777.0,107,10.7,223,1777
10000,6,8960.0,141,14.1,1040,8960
20000,6,17974.0,142,14.2,2026,17974
40000,6,35963.0,159,15.9,4037,35963
60000,6,53985.0,161,16.1,6015,53985
80000,6,72046.0,161,16.1,7954,72046
100000,6,90042.0,161,16.1,9958,90042
2,7,2.0,1,0.1,0,2
3,7,3.0,1,0.1,0,3
100,7,90.0,16,1.6,10,90
200,7,181.0,18,1.8,19,181
2000,7,1777.0,101,10.1,223,1777
10000,7,9031.0,273,27.3,969,9031
20000,7,18062.0,315,31.5,1938,18062
40000,7,36037.0,327,32.7,3963,36037
60000,7,54009.0,360,36.0,5991,54009
80000,7,71997.0,369,36.9,8003,71997
100000,7,90033.0,369,36.9,9967,90033
2,8,1.0,1,0.1,1,1
3,8,2.0,1,0.1,1,2
100,8,90.0,27,2.7,10,90
200,8,175.0,58,5.8,25,175
2000,8,1773.0,165,16.5,227,1773
10000,8,8994.0,184,18.4,1006,8994
20000,8,17991.0,201,20.1,2009,17991
40000,8,36004.0,205,20.5,3996,36004
60000,8,53969.0,206,20.6,6031,53969
80000,8,71865.0,207,20.7,8135,71865
100000,8,89876.0,207,20.7,10124,89876
2,9,2.0,1,0.1,0,2
3,9,3.0,1,0.1,0,3
100,9,90.0,20,2.0,10,90
200,9,183.0,21,2.1,17,183
2000,9,1795.0,51,5.1,205,1795
10000,9,9033.0,146,14.6,967,9033
20000,9,18004.0,360,36.0,1996,18004
40000,9,35910.0,377,37.7,4090,35910
60000,9,53889.0,395,39.5,6111,53889
80000,9,71827.0,396,39.6,8173,71827
100000,9,89819.0,396,39.6,10181,89819
2,10,2.0,1,0.1,0,2
3,10,3.0,1,0.1,0,3
100,10,90.0,16,1.6,10,90
200,10,177.0,17,1.7,23,177
2000,10,1800.0,145,14.5,200,1800
10000,10,8993.0,188,18.8,1007,8993
20000,10,18019.0,203,20.3,1981,18019
40000,10,35958.0,218,21.8,4042,35958
60000,10,53936.0,224,22.4,6064,53936
80000,10,71908.0,224,22.4,8092,71908
100000,10,89832.0,264,26.4,10168,89832
2,11,1.0,1,0.1,1,1
3,11,2.0,1,0.1,1,2
100,11,89.0,16,1.6,11,89
200,11,177.0,24,2.4,23,177
2000,11,1808.0,32,3.2,192,1808
10000,11,9018.0,55,5.5,982,9018
20000,11,17999.0,60,6.0,2001,17999
40000,11,35977.0,61,6.1,4023,35977
60000,11,54033.0,61,6.1,5967,54033
80000,11,72081.0,61,6.1,7919,72081
100000,11,90088.0,63,6.3,9912,90088
2,12,2.0,1,0.1,0,2
3,12,3.0,1,0.1,0,3
100,12,89.0,45,4.5,11,89
200,12,171.0,88,8.8,29,171
2000,12,1789.0,210,21.0,211,1789
10000,12,8977.0,259,25.9,1023,8977
20000,12,17997.0,271,27.1,2003,17997
40000,12,36005.0,294,29.4,3995,36005
60000,12,54052.0,296,29.6,5948,54052
80000,12,72032.0,299,29.9,7968,72032
100000,12,90052.0,358,35.8,9948,90052
2,13,1.0,1,0.1,1,1
3,13,2.0,1,0.1,1,2
100,13,91.0,7,0.7,9,91
200,13,182.0,7,0.7,18,182
2000,13,1819.0,44,4.4,181,1819
