Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,[0 0],[2 2]
3,1,2.0,1,0.1,[1 1],[2 2]
100,1,82.0,43,4.3,[18 18],[82 82]
200,1,173.0,76,7.6,[27 27],[173 173]
2000,1,1755.0,397,39.7,[245 245],[1755 1755]
10000,1,8923.0,592,59.2,[1077 1077],[8923 8923]
20000,1,17890.0,621,62.1,[2110 2110],[17890 17890]
40000,1,35856.0,656,65.6,[4144 4144],[35856 35856]
60000,1,53773.0,695,69.5,[6227 6227],[53773 53773]
80000,1,71788.0,720,72.0,[8212 8212],[71788 71788]
100000,1,89836.0,726,72.6,[10164 10164],[89836 89836]
2,2,2.0,1,0.1,[0 0],[2 2]
3,2,3.0,1,0.1,[0 0],[3 3]
100,2,83.0,43,4.3,[17 17],[83 83]
200,2,173.0,86,8.6,[27 27],[173 173]
2000,2,1768.0,415,41.5,[232 232],[1768 1768]
10000,2,8952.0,792,79.2,[1048 1048],[8952 8952]
20000,2,17963.0,825,82.5,[2037 2037],[17963 17963]
40000,2,35982.0,985,98.5,[4018 4018],[35982 35982]
60000,2,53977.0,1011,101.1,[6023 6023],[53977 53977]
80000,2,71897.0,1038,103.8,[8103 8103],[71897 71897]
100000,2,89924.0,1042,104.2,[10076 10076],[89924 89924]
2,3,2.0,1,0.1,[0 0],[2 2]
3,3,3.0,1,0.1,[0 0],[3 3]
100,3,87.0,43,4.3,[13 13],[87 87]
200,3,178.0,85,8.5,[22 22],[178 178]
2000,3,1779.0,386,38.6,[221 221],[1779 1779]
10000,3,8945.0,668,66.8,[1055 1055],[8945 8945]
20000,3,17960.0,729,72.9,[2040 2040],[17960 17960]
40000,3,35955.0,881,88.1,[4045 4045],[35955 35955]
60000,3,53960.0,931,93.1,[6040 6040],[53960 53960]
80000,3,71893.0,947,94.7,[8107 8107],[71893 71893]
100000,3,89827.0,1011,101.1,[10173 10173],[89827 89827]
2,4,2.0,1,0.1,[0 0],[2 2]
3,4,2.0,1,0.1,[1 1],[2 2]
100,4,85.0,50,5.0,[15 15],[85 85]
200,4,170.0,94,9.4,[30 30],[170 170]
2000,4,1758.0,364,36.4,[242 242],[1758 1758]
10000,4,8924.0,578,57.8,[1076 1076],[8924 8924]
20000,4,17944.0,618,61.8,[2056 2056],[17944 17944]
40000,4,35969.0,654,65.4,[4031 4031],[35969 35969]
60000,4,53971.0,684,68.4,[6029 6029],[53971 53971]
80000,4,71991.0,698,69.8,[8009 8009],[71991 71991]
100000,4,89946.0,715,71.5,[10054 10054],[89946 89946]
2,5,2.0,1,0.1,[0 0],[2 2]
3,5,3.0,1,0.1,[0 0],[3 3]
100,5,88.0,46,4.6,[12 12],[88 88]
200,5,175.0,78,7.8,[25 25],[175 175]
2000,5,1771.0,402,40.2,[229 229],[1771 1771]
10000,5,8949.0,671,67.1,[1051 1051],[8949 8949]
20000,5,17883.0,786,78.6,[2117 2117],[17883 17883]
40000,5,35915.0,844,84.4,[4085 4085],[35915 35915]
60000,5,53921.0,849,84.9,[6079 6079],[53921 53921]
80000,5,71904.0,917,91.7,[8096 8096],[71904 71904]
100000,5,89921.0,938,93.8,[10079 10079],[89921 89921]
2,6,1.0,1,0.1,[1 1],[1 1]
3,6,1.0,2,0.2,[2 2],[1 1]
100,6,86.0,46,4.6,[14 14],[86 86]
200,6,178.0,88,8.8,[22 22],[178 178]
2000,6,1792.0,326,32.6,[208 208],[1792 1792]
10000,6,8901.0,770,77.0,[1099 1099],[8901 8901]
20000,6,17910.0,818,81.8,[2090 2090],[17910 17910]
40000,6,35893.0,891,89.1,[4107 4107],[35893 35893]
60000,6,53887.0,910,91.0,[6113 6113],[53887 53887]
80000,6,71923.0,917,91.7,[8077 8077],[71923 71923]
100000,6,89909.0,926,92.6,[10091 10091],[89909 89909]
2,7,2.0,1,0.1,[0 0],[2 2]
3,7,3.0,1,0.1,[0 0],[3 3]
100,7,83.0,46,4.6,[17 17],[83 83]
200,7,166.0,79,7.9,[34 34],[166 166]
2000,7,1754.0,332,33.2,[246 246],[1754 1754]
10000,7,8906.0,504,50.4,[1094 1094],[8906 8906]
20000,7,17877.0,542,54.2,[2123 2123],[17877 17877]
40000,7,35922.0,689,68.9,[4078 4078],[35922 35922]
60000,7,53891.0,717,71.7,[6109 6109],[53891 53891]
80000,7,71903.0,769,76.9,[8097 8097],[71903 71903]
100000,7,89912.0,779,77.9,[10088 10088],[89912 89912]
2,8,1.0,1,0.1,[1 1],[1 1]
3,8,2.0,1,0.1,[1 1],[2 2]
100,8,86.0,52,5.2,[14 14],[86 86]
200,8,173.0,97,9.7,[27 27],[173 173]
2000,8,1745.0,564,56.4,[255 255],[1745 1745]
10000,8,8894.0,817,81.7,[1106 1106],[8894 8894]
20000,8,17843.0,896,89.6,[2157 2157],[17843 17843]
40000,8,35815.0,943,94.3,[4185 4185],[35815 35815]
60000,8,53867.0,953,95.3,[6133 6133],[53867 53867]
80000,8,71870.0,981,98.1,[8130 8130],[71870 71870]
100000,8,89879.0,1001,100.1,[10121 10121],[89879 89879]
2,9,1.0,1,0.1,[1 1],[1 1]
3,9,2.0,1,0.1,[1 1],[2 2]
100,9,87.0,44,4.4,[13 13],[87 87]
200,9,174.0,85,8.5,[26 26],[174 174]
2000,9,1774.0,454,45.4,[226 226],[1774 1774]
10000,9,8959.0,782,78.2,[1041 1041],[8959 8959]
20000,9,17918.0,830,83.0,[2082 2082],[17918 17918]
40000,9,35928.0,974,97.4,[4072 4072],[35928 35928]
60000,9,53919.0,1020,102.0,[6081 6081],[53919 53919]
80000,9,71858.0,1042,104.2,[8142 8142],[71858 71858]
100000,9,89898.0,1049,104.9,[10102 10102],[89898 89898]
2,10,2.0,1,0.1,[0 0],[2 2]
3,10,3.0,1,0.1,[0 0],[3 3]
100,10,80.0,38,3.8,[20 20],[80 80]
200,10,164.0,71,7.1,[36 36],[164 164]
2000,10,1734.0,346,34.6,[266 266],[1734 1734]
10000,10,8953.0,462,46.2,[1047 1047],[8953 8953]
20000,10,17937.0,524,52.4,[2063 2063],[17937 17937]
40000,10,35969.0,540,54.0,[4031 4031],[35969 35969]
60000,10,54106.0,544,54.4,[5894 5894],[54106 54106]
80000,10,72179.0,573,57.3,[7821 7821],[72179 72179]
100000,10,90138.0,608,60.8,[9862 9862],[90138 90138]
2,11,1.0,1,0.1,[1 1],[1 1]
3,11,1.0,1,0.1,[2 2],[1 1]
100,11,90.0,47,4.7,[10 10],[90 90]
200,11,173.0,82,8.2,[27 27],[173 173]
2000,11,1787.0,318,31.8,[213 213],[1787 1787]
10000,11,8977.0,647,64.7,[1023 1023],[8977 8977]
20000,11,18008.0,736,73.6,[1992 1992],[18008 18008]
40000,11,35908.0,866,86.6,[4092 4092],[35908 35908]
60000,11,53900.0,899,89.9,[6100 6100],[53900 53900]
80000,11,71899.0,911,91.1,[8101 8101],[71899 71899]
100000,11,89962.0,941,94.1,[10038 10038],[89962 89962]
2,12,2.0,1,0.1,[0 0],[2 2]
3,12,3.0,1,0.1,[0 0],[3 3]
100,12,87.0,46,4.6,[13 13],[87 87]
200,12,171.0,90,9.0,[29 29],[171 171]
2000,12,1767.0,419,41.9,[233 233],[1767 1767]
10000,12,8995.0,630,63.0,[1005 1005],[8995 8995]
20000,12,17994.0,755,75.5,[2006 2006],[17994 17994]
40000,12,36015.0,877,87.7,[3985 3985],[36015 36015]
60000,12,53975.0,927,92.7,[6025 6025],[53975 53975]
80000,12,72093.0,936,93.6,[7907 7907],[72093 72093]
100000,12,90151.0,998,99.8,[9849 9849],[90151 90151]
2,13,2.0,1,0.1,[0 0],[2 2]
3,13,3.0,1,0.1,[0 0],[3 3]
100,13,85.0,45,4.5,[15 15],[85 85]
200,13,169.0,86,8.6,[31 31],[169 169]
2000,13,1748.0,321,32.1,[252 252],[1748 1748]
10000,13,8951.0,434,43.4,[1049 1049],[8951 8951]
20000,13,17963.0,456,45.6,[2037 2037],[17963 17963]
40000,13,35917.0,644,64.4,[4083 4083],[35917 35917]
60000,13,53947.0,678,67.8,[6053 6053],[53947 53947]
80000,13,71946.0,702,70.2,[8054 8054],[71946 71946]
100000,13,89968.0,759,75.9,[10032 10032],[89968 89968]
2,14,1.0,1,0.1,[1 1],[1 1]
3,14,2.0,1,0.1,[1 1],[2 2]
100,14,94.0,52,5.2,[6 6],[94 94]
200,14,184.0,84,8.4,[16 16],[184 184]
2000,14,1779.0,426,42.6,[221 221],[1779 1779]
10000,14,8995.0,757,75.7,[1005 1005],[8995 8995]
20000,14,17995.0,910,91.0,[2005 2005],[17995 17995]
40000,14,35909.0,1156,115.6,[4091 4091],[35909 35909]
60000,14,53900.0,1176,117.6,[6100 6100],[53900 53900]
