Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.01,0,2
3,1,3,2,0.01,0,3
100,1,89,51,0.26,11,89
200,1,181,105,0.53,19,181
2000,1,1780,1328,6.64,220,1780
10000,1,8972,5465,27.32,1028,8972
20000,1,17960,7474,37.37,2040,17960
40000,1,35961,14644,73.22,4039,35961
60000,1,53840,15104,75.52,6160,53840
80000,1,71859,22163,110.81,8141,71859
100000,1,89763,23074,115.37,10237,89763
2,2,2,1,0.01,0,2
3,2,2,1,0.01,1,2
100,2,87,51,0.26,13,87
200,2,179,94,0.47,21,179
2000,2,1824,1057,5.28,176,1824
10000,2,8979,3990,19.95,1021,8979
20000,2,17976,11819,59.1,2024,17976
40000,2,35857,11748,58.74,4143,35857
60000,2,53867,18544,92.72,6133,53867
80000,2,72025,17825,89.12,7975,72025
100000,2,89878,26830,134.15,10122,89878
2,3,2,1,0.01,0,2
3,3,3,2,0.01,0,3
100,3,92,50,0.25,8,92
200,3,181,93,0.47,19,181
2000,3,1775,899,4.49,225,1775
10000,3,8962,4829,24.14,1038,8962
20000,3,17916,7665,38.33,2084,17916
40000,3,35912,9278,46.39,4088,35912
60000,3,53864,12296,61.48,6136,53864
80000,3,71932,23997,119.98,8068,71932
100000,3,89792,18736,93.68,10208,89792
2,4,2,1,0.01,0,2
3,4,2,1,0.01,1,2
100,4,88,52,0.26,12,88
200,4,181,98,0.49,19,181
2000,4,1786,809,4.04,214,1786
10000,4,9027,5334,26.67,973,9027
20000,4,18049,6258,31.29,1951,18049
40000,4,35956,22518,112.59,4044,35956
60000,4,53907,14575,72.88,6093,53907
80000,4,71859,35478,177.39,8141,71859
100000,4,89838,27379,136.89,10162,89838
2,5,2,1,0.01,0,2
3,5,3,2,0.01,0,3
100,5,87,49,0.25,13,87
200,5,182,98,0.49,18,182
2000,5,1784,753,3.76,216,1784
10000,5,8930,4136,20.68,1070,8930
20000,5,17989,10039,50.2,2011,17989
40000,5,35919,20557,102.78,4081,35919
60000,5,54022,20649,103.24,5978,54022
80000,5,71951,25353,126.76,8049,71951
100000,5,90004,25392,126.96,9996,90004
2,6,1,1,0.01,1,1
3,6,2,2,0.01,1,2
100,6,90,50,0.25,10,90
200,6,180,104,0.52,20,180
2000,6,1801,921,4.6,199,1801
10000,6,9034,6373,31.86,966,9034
20000,6,18050,7831,39.16,1950,18050
40000,6,35888,15204,76.02,4112,35888
60000,6,53869,18976,94.88,6131,53869
80000,6,71850,30255,151.27,8150,71850
100000,6,89896,35053,175.26,10104,89896
2,7,2,1,0.01,0,2
3,7,3,2,0.01,0,3
100,7,87,55,0.28,13,87
200,7,175,98,0.49,25,175
2000,7,1776,1033,5.16,224,1776
10000,7,8967,4395,21.97,1033,8967
20000,7,17972,8284,41.42,2028,17972
40000,7,35946,17916,89.58,4054,35946
60000,7,53883,11526,57.63,6117,53883
80000,7,71831,34155,170.77,8169,71831
100000,7,89818,27866,139.33,10182,89818
2,8,2,1,0.01,0,2
3,8,3,2,0.01,0,3
100,8,91,48,0.24,9,91
