Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.81,1.0,0.010000000000000007,0.19,1.81
3,2.73,1.07,0.010000000000000007,0.27,2.73
100,89.52,46.13,0.23299999999999987,10.48,89.52
200,179.43,98.27,0.4942999999999999,20.57,179.43
2000,1797.15,879.37,4.3953,202.85,1797.15
10000,8980.85,4059.31,20.2971,1019.15,8980.85
20000,17965.12,7319.78,36.5994,2034.88,17965.12
40000,35932.56,12412.68,62.06399999999999,4067.44,35932.56
60000,53910.96,16003.99,80.01950000000001,6089.04,53910.96
80000,71894.66,18717.98,93.5888,8105.34,71894.66
100000,89882.4,21221.86,106.10770000000001,10117.6,89882.4
