Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.72,1.0,0.09999999999999981,0.28,1.72
3,2.61,1.09,0.1089999999999998,0.39,2.61
100,87.69,24.01,2.401,12.31,87.69
200,176.73,37.09,3.7089999999999996,23.27,176.73
2000,1793.32,102.13,10.213000000000001,206.68,1793.32
10000,8991.71,161.59,16.159000000000006,1008.29,8991.71
20000,17985.21,184.63,18.462999999999997,2014.79,17985.21
40000,35982.3,212.84,21.28400000000001,4017.7,35982.3
60000,53975.52,224.3,22.430000000000014,6024.48,53975.52
80000,71974.39,240.68,24.068,8025.61,71974.39
100000,89974.74,249.12,24.912,10025.26,89974.74
