Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,1,0.01,0,3
100,1,86.0,46,0.23,14,86
200,1,177.0,94,0.47,23,177
2000,1,1805.0,963,4.81,195,1805
10000,1,8970.0,4501,22.5,1030,8970
20000,1,17947.0,7955,39.78,2053,17947
40000,1,35964.0,15457,77.29,4036,35964
60000,1,53953.0,18056,90.28,6047,53953
80000,1,72059.0,21270,106.35,7941,72059
100000,1,90014.0,21904,109.52,9986,90014
2,2,2.0,1,0.01,0,2
3,2,3.0,1,0.01,0,3
100,2,89.0,51,0.26,11,89
200,2,174.0,100,0.5,26,174
2000,2,1793.0,858,4.29,207,1793
10000,2,8948.0,3273,16.37,1052,8948
20000,2,17947.0,8111,40.56,2053,17947
40000,2,35946.0,13128,65.64,4054,35946
60000,2,53933.0,17825,89.12,6067,53933
80000,2,71912.0,21270,106.35,8088,71912
100000,2,89932.0,27463,137.31,10068,89932
2,3,2.0,1,0.01,0,2
3,3,2.0,1,0.01,1,2
100,3,91.0,50,0.25,9,91
200,3,179.0,101,0.51,21,179
2000,3,1793.0,897,4.48,207,1793
10000,3,8975.0,3941,19.71,1025,8975
20000,3,17889.0,8061,40.31,2111,17889
40000,3,35830.0,20948,104.74,4170,35830
60000,3,53758.0,24931,124.65,6242,53758
80000,3,71758.0,27540,137.7,8242,71758
100000,3,89702.0,27699,138.49,10298,89702
2,4,2.0,1,0.01,0,2
3,4,3.0,1,0.01,0,3
100,4,93.0,50,0.25,7,93
200,4,185.0,99,0.5,15,185
2000,4,1792.0,1011,5.05,208,1792
10000,4,8975.0,5897,29.48,1025,8975
20000,4,17965.0,10758,53.79,2035,17965
40000,4,35958.0,20438,102.19,4042,35958
60000,4,53959.0,32911,164.55,6041,53959
80000,4,71951.0,36731,183.65,8049,71951
100000,4,89961.0,41038,205.19,10039,89961
2,5,2.0,1,0.01,0,2
3,5,3.0,1,0.01,0,3
100,5,92.0,48,0.24,8,92
200,5,183.0,94,0.47,17,183
2000,5,1820.0,907,4.53,180,1820
10000,5,9028.0,3379,16.9,972,9028
20000,5,18052.0,4764,23.82,1948,18052
40000,5,35970.0,12716,63.58,4030,35970
60000,5,53889.0,17198,85.99,6111,53889
80000,5,71920.0,18758,93.79,8080,71920
100000,5,89845.0,23344,116.72,10155,89845
2,6,2.0,1,0.01,0,2
3,6,3.0,1,0.01,0,3
100,6,86.0,52,0.26,14,86
200,6,180.0,105,0.53,20,180
2000,6,1784.0,1167,5.83,216,1784
10000,6,8973.0,4368,21.84,1027,8973
20000,6,17940.0,7664,38.32,2060,17940
40000,6,35855.0,15090,75.45,4145,35855
60000,6,53787.0,21698,108.49,6213,53787
80000,6,71846.0,22493,112.46,8154,71846
100000,6,89867.0,22493,112.46,10133,89867
2,7,1.0,1,0.01,1,1
3,7,2.0,1,0.01,1,2
100,7,79.0,45,0.23,21,79
200,7,168.0,81,0.41,32,168
2000,7,1782.0,713,3.56,218,1782
10000,7,8976.0,4375,21.87,1024,8976
20000,7,17975.0,7796,38.98,2025,17975
40000,7,35954.0,10547,52.74,4046,35954
60000,7,54032.0,12022,60.11,5968,54032
80000,7,72081.0,13862,69.31,7919,72081
100000,7,90081.0,15709,78.55,9919,90081
2,8,2.0,1,0.01,0,2
3,8,3.0,1,0.01,0,3
100,8,91.0,48,0.24,9,91
200,8,178.0,100,0.5,22,178
2000,8,1794.0,892,4.46,206,1794
10000,8,9005.0,2475,12.38,995,9005
20000,8,17944.0,6946,34.73,2056,17944
40000,8,35943.0,9965,49.83,4057,35943
60000,8,53929.0,15285,76.43,6071,53929
80000,8,71934.0,15929,79.65,8066,71934
100000,8,89990.0,18275,91.37,10010,89990
2,9,1.0,1,0.01,1,1
3,9,1.0,1,0.01,2,1
100,9,88.0,52,0.26,12,88
200,9,172.0,111,0.56,28,172
2000,9,1791.0,1035,5.17,209,1791
10000,9,9017.0,3716,18.58,983,9017
20000,9,18005.0,8386,41.93,1995,18005
40000,9,35913.0,16588,82.94,4087,35913
60000,9,53892.0,19339,96.69,6108,53892
80000,9,72006.0,19471,97.35,7994,72006
100000,9,89987.0,20645,103.22,10013,89987
2,10,1.0,1,0.01,1,1
3,10,2.0,2,0.01,1,2
100,10,92.0,50,0.25,8,92
200,10,178.0,96,0.48,22,178
2000,10,1784.0,905,4.52,216,1784
10000,10,8970.0,3786,18.93,1030,8970
20000,10,17941.0,8090,40.45,2059,17941
40000,10,35897.0,12736,63.68,4103,35897
60000,10,53948.0,16143,80.71,6052,53948
80000,10,71960.0,16180,80.9,8040,71960
100000,10,89962.0,22982,114.91,10038,89962
2,11,2.0,1,0.01,0,2
3,11,3.0,1,0.01,0,3
100,11,93.0,50,0.25,7,93
200,11,185.0,101,0.51,15,185
2000,11,1791.0,829,4.14,209,1791
10000,11,9004.0,3711,18.56,996,9004
20000,11,18032.0,6146,30.73,1968,18032
40000,11,35973.0,12052,60.26,4027,35973
60000,11,53939.0,13763,68.82,6061,53939
80000,11,71898.0,16272,81.36,8102,71898
100000,11,89887.0,18764,93.82,10113,89887
2,12,2.0,1,0.01,0,2
3,12,3.0,1,0.01,0,3
100,12,94.0,49,0.25,6,94
200,12,180.0,95,0.48,20,180
2000,12,1792.0,874,4.37,208,1792
10000,12,9018.0,4974,24.87,982,9018
20000,12,17999.0,9560,47.8,2001,17999
40000,12,35929.0,17682,88.41,4071,35929
60000,12,53900.0,23393,116.96,6100,53900
80000,12,71891.0,30725,153.62,8109,71891
100000,12,89846.0,36799,183.99,10154,89846
2,13,2.0,1,0.01,0,2
3,13,3.0,1,0.01,0,3
100,13,84.0,47,0.24,16,84
200,13,171.0,89,0.45,29,171
2000,13,1767.0,859,4.29,233,1767
10000,13,8982.0,2982,14.91,1018,8982
20000,13,17928.0,6899,34.49,2072,17928
40000,13,35961.0,7729,38.65,4039,35961
60000,13,54002.0,12128,60.64,5998,54002
80000,13,71919.0,14936,74.68,8081,71919
100000,13,90051.0,15599,78.0,9949,90051
2,14,1.0,1,0.01,1,1
3,14,2.0,1,0.01,1,2
100,14,87.0,47,0.24,13,87
200,14,173.0,97,0.49,27,173
2000,14,1778.0,878,4.39,222,1778
10000,14,8975.0,3240,16.2,1025,8975
20000,14,17954.0,5931,29.65,2046,17954
40000,14,35947.0,9378,46.89,4053,35947
60000,14,53952.0,10063,50.32,6048,53952
80000,14,71912.0,14104,70.52,8088,71912
100000,14,89949.0,16832,84.16,10051,89949
2,15,2.0,1,0.01,0,2
3,15,3.0,1,0.01,0,3
100,15,84.0,45,0.23,16,84
200,15,176.0,96,0.48,24,176
2000,15,1799.0,842,4.21,201,1799
10000,15,8994.0,5328,26.64,1006,8994
20000,15,17955.0,8728,43.64,2045,17955
40000,15,35934.0,18939,94.69,4066,35934
60000,15,53814.0,25004,125.02,6186,53814
80000,15,71751.0,33867,169.33,8249,71751
100000,15,89666.0,44422,222.11,10334,89666
2,16,2.0,1,0.01,0,2
3,16,3.0,1,0.01,0,3
100,16,85.0,51,0.26,15,85
200,16,170.0,101,0.51,30,170
2000,16,1793.0,998,4.99,207,1793
10000,16,8976.0,4344,21.72,1024,8976
20000,16,17957.0,6738,33.69,2043,17957
40000,16,35940.0,12692,63.46,4060,35940
60000,16,53901.0,15049,75.25,6099,53901
80000,16,71871.0,19326,96.63,8129,71871
100000,16,89914.0,21700,108.5,10086,89914
2,17,2.0,1,0.01,0,2
3,17,3.0,1,0.01,0,3
100,17,88.0,48,0.24,12,88
200,17,177.0,92,0.46,23,177
2000,17,1790.0,939,4.69,210,1790
10000,17,8999.0,4317,21.58,1001,8999
20000,17,17994.0,9257,46.29,2006,17994
40000,17,35968.0,14134,70.67,4032,35968
60000,17,53981.0,16086,80.43,6019,53981
80000,17,71946.0,20637,103.18,8054,71946
100000,17,89980.0,21979,109.89,10020,89980
2,18,2.0,1,0.01,0,2
3,18,3.0,1,0.01,0,3
100,18,86.0,52,0.26,14,86
200,18,174.0,105,0.53,26,174
2000,18,1774.0,1049,5.24,226,1774
10000,18,8997.0,3827,19.14,1003,8997
20000,18,17973.0,8494,42.47,2027,17973
40000,18,35995.0,12354,61.77,4005,35995
