Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.78,1.0,0.09999999999999981,0.22,1.78
3,2.58,1.82,0.18199999999999972,0.42,2.58
100,84.76,48.28,4.8279999999999985,15.24,84.76
200,170.29,91.61,9.160999999999998,29.71,170.29
2000,1752.82,459.82,45.98199999999999,247.18,1752.82
10000,8927.43,723.12,72.31200000000003,1072.57,8927.43
20000,17926.31,797.32,79.73199999999999,2073.69,17926.31
40000,35914.96,854.61,85.46099999999998,4085.04,35914.96
60000,53906.9,881.97,88.19700000000003,6093.1,53906.9
80000,71906.07,892.94,89.29399999999995,8093.93,71906.07
100000,89908.09,902.22,90.22200000000001,10091.91,89908.09
