Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,0,0,0,2
3,1,3,0,0,0,3
100,1,88,0,0,12,88
200,1,179,0,0,21,179
2000,1,1812,0,0,188,1812
10000,1,9026,0,0,974,9026
20000,1,17988,0,0,2012,17988
40000,1,36007,0,0,3993,36007
60000,1,54040,0,0,5960,54040
80000,1,71989,0,0,8011,71989
100000,1,90029,0,0,9971,90029
2,2,2,0,0,0,2
3,2,2,0,0,1,2
100,2,89,0,0,11,89
200,2,179,0,0,21,179
2000,2,1810,0,0,190,1810
10000,2,8986,0,0,1014,8986
20000,2,17943,0,0,2057,17943
40000,2,36081,0,0,3919,36081
60000,2,53982,0,0,6018,53982
80000,2,71965,0,0,8035,71965
100000,2,89950,0,0,10050,89950
2,3,2,0,0,0,2
3,3,1,0,0,2,1
100,3,88,0,0,12,88
200,3,177,0,0,23,177
2000,3,1805,0,0,195,1805
10000,3,8956,0,0,1044,8956
20000,3,17995,0,0,2005,17995
40000,3,35976,0,0,4024,35976
60000,3,54081,0,0,5919,54081
80000,3,71985,0,0,8015,71985
100000,3,90095,0,0,9905,90095
2,4,1,0,0,1,1
3,4,3,0,0,0,3
100,4,85,0,0,15,85
200,4,183,0,0,17,183
2000,4,1790,0,0,210,1790
10000,4,9013,0,0,987,9013
20000,4,18042,0,0,1958,18042
40000,4,35904,0,0,4096,35904
60000,4,53847,0,0,6153,53847
80000,4,72103,0,0,7897,72103
100000,4,90129,0,0,9871,90129
2,5,2,0,0,0,2
3,5,3,0,0,0,3
100,5,96,0,0,4,96
200,5,182,0,0,18,182
2000,5,1791,0,0,209,1791
10000,5,8996,0,0,1004,8996
20000,5,17929,0,0,2071,17929
40000,5,35941,0,0,4059,35941
60000,5,54017,0,0,5983,54017
80000,5,72192,0,0,7808,72192
100000,5,89937,0,0,10063,89937
2,6,1,0,0,1,1
3,6,3,0,0,0,3
100,6,92,0,0,8,92
200,6,175,0,0,25,175
2000,6,1784,0,0,216,1784
10000,6,8983,0,0,1017,8983
20000,6,18058,0,0,1942,18058
40000,6,35959,0,0,4041,35959
60000,6,53942,0,0,6058,53942
80000,6,71957,0,0,8043,71957
100000,6,90185,0,0,9815,90185
2,7,2,0,0,0,2
3,7,3,0,0,0,3
100,7,91,0,0,9,91
200,7,182,0,0,18,182
2000,7,1800,0,0,200,1800
10000,7,8990,0,0,1010,8990
20000,7,18007,0,0,1993,18007
40000,7,35904,0,0,4096,35904
60000,7,54043,0,0,5957,54043
80000,7,72128,0,0,7872,72128
100000,7,90189,0,0,9811,90189
2,8,1,0,0,1,1
3,8,3,0,0,0,3
100,8,88,0,0,12,88
200,8,184,0,0,16,184
2000,8,1824,0,0,176,1824
10000,8,8996,0,0,1004,8996
20000,8,18045,0,0,1955,18045
40000,8,36012,0,0,3988,36012
60000,8,54026,0,0,5974,54026
80000,8,72005,0,0,7995,72005
100000,8,90059,0,0,9941,90059
2,9,2,0,0,0,2
3,9,3,0,0,0,3
100,9,83,0,0,17,83
200,9,177,0,0,23,177
