Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,0,2
3,1,3.0,2,0.2,0,3
100,1,91.0,50,5.0,9,91
200,1,176.0,94,9.4,24,176
2000,1,1767.0,400,40.0,233,1767
10000,1,8957.0,600,60.0,1043,8957
20000,1,18022.0,723,72.3,1978,18022
40000,1,36018.0,841,84.1,3982,36018
60000,1,53991.0,873,87.3,6009,53991
80000,1,71935.0,880,88.0,8065,71935
100000,1,89919.0,888,88.8,10081,89919
2,2,2.0,1,0.1,0,2
3,2,3.0,2,0.2,0,3
100,2,81.0,48,4.8,19,81
200,2,164.0,84,8.4,36,164
2000,2,1736.0,501,50.1,264,1736
10000,2,8865.0,787,78.7,1135,8865
20000,2,17822.0,839,83.9,2178,17822
40000,2,35817.0,883,88.3,4183,35817
60000,2,53777.0,901,90.1,6223,53777
80000,2,71808.0,904,90.4,8192,71808
100000,2,89847.0,904,90.4,10153,89847
2,3,2.0,1,0.1,0,2
3,3,3.0,2,0.2,0,3
100,3,87.0,49,4.9,13,87
200,3,172.0,93,9.3,28,172
2000,3,1772.0,446,44.6,228,1772
10000,3,8948.0,697,69.7,1052,8948
20000,3,17957.0,762,76.2,2043,17957
40000,3,35990.0,819,81.9,4010,35990
60000,3,53969.0,1012,101.2,6031,53969
80000,3,72028.0,1084,108.4,7972,72028
100000,3,90095.0,1084,108.4,9905,90095
2,4,2.0,1,0.1,0,2
3,4,2.0,2,0.2,1,2
100,4,86.0,48,4.8,14,86
200,4,175.0,93,9.3,25,175
2000,4,1744.0,441,44.1,256,1744
10000,4,8888.0,691,69.1,1112,8888
20000,4,17909.0,738,73.8,2091,17909
40000,4,35913.0,747,74.7,4087,35913
60000,4,53945.0,763,76.3,6055,53945
80000,4,71922.0,777,77.7,8078,71922
100000,4,89961.0,780,78.0,10039,89961
2,5,2.0,1,0.1,0,2
3,5,3.0,2,0.2,0,3
100,5,82.0,47,4.7,18,82
200,5,166.0,93,9.3,34,166
2000,5,1748.0,457,45.7,252,1748
10000,5,8908.0,788,78.8,1092,8908
20000,5,17859.0,862,86.2,2141,17859
40000,5,35835.0,900,90.0,4165,35835
60000,5,53880.0,900,90.0,6120,53880
80000,5,71795.0,911,91.1,8205,71795
100000,5,89749.0,930,93.0,10251,89749
2,6,2.0,1,0.1,0,2
3,6,3.0,2,0.2,0,3
100,6,86.0,48,4.8,14,86
200,6,176.0,92,9.2,24,176
2000,6,1756.0,489,48.9,244,1756
10000,6,8909.0,662,66.2,1091,8909
20000,6,17890.0,700,70.0,2110,17890
40000,6,35942.0,712,71.2,4058,35942
60000,6,53934.0,719,71.9,6066,53934
80000,6,71951.0,720,72.0,8049,71951
100000,6,89961.0,723,72.3,10039,89961
2,7,2.0,1,0.1,0,2
3,7,3.0,2,0.2,0,3
100,7,88.0,49,4.9,12,88
200,7,171.0,90,9.0,29,171
2000,7,1757.0,416,41.6,243,1757
10000,7,8893.0,655,65.5,1107,8893
20000,7,17920.0,665,66.5,2080,17920
40000,7,35920.0,746,74.6,4080,35920
60000,7,53973.0,750,75.0,6027,53973
80000,7,71965.0,758,75.8,8035,71965
100000,7,89945.0,762,76.2,10055,89945
2,8,2.0,1,0.1,0,2
3,8,2.0,2,0.2,1,2
100,8,79.0,48,4.8,21,79
200,8,165.0,93,9.3,35,165
2000,8,1745.0,529,52.9,255,1745
10000,8,8942.0,766,76.6,1058,8942
20000,8,17968.0,837,83.7,2032,17968
40000,8,35968.0,871,87.1,4032,35968
60000,8,53940.0,880,88.0,6060,53940
80000,8,71944.0,889,88.9,8056,71944
100000,8,89885.0,911,91.1,10115,89885
2,9,2.0,1,0.1,0,2
3,9,3.0,2,0.2,0,3
100,9,86.0,48,4.8,14,86
200,9,174.0,92,9.2,26,174
2000,9,1753.0,507,50.7,247,1753
10000,9,8948.0,657,65.7,1052,8948
20000,9,17930.0,721,72.1,2070,17930
40000,9,35939.0,744,74.4,4061,35939
60000,9,53995.0,767,76.7,6005,53995
80000,9,72004.0,768,76.8,7996,72004
100000,9,90006.0,801,80.1,9994,90006
2,10,2.0,1,0.1,0,2
3,10,3.0,2,0.2,0,3
100,10,89.0,49,4.9,11,89
200,10,172.0,91,9.1,28,172
2000,10,1733.0,436,43.6,267,1733
10000,10,8910.0,662,66.2,1090,8910
20000,10,17924.0,733,73.3,2076,17924
40000,10,35982.0,744,74.4,4018,35982
60000,10,53829.0,780,78.0,6171,53829
80000,10,71773.0,786,78.6,8227,71773
100000,10,89762.0,787,78.7,10238,89762
2,11,2.0,1,0.1,0,2
3,11,2.0,2,0.2,1,2
100,11,82.0,48,4.8,18,82
200,11,174.0,96,9.6,26,174
2000,11,1739.0,534,53.4,261,1739
10000,11,8893.0,722,72.2,1107,8893
20000,11,17968.0,748,74.8,2032,17968
40000,11,35964.0,841,84.1,4036,35964
60000,11,53956.0,844,84.4,6044,53956
80000,11,71877.0,850,85.0,8123,71877
100000,11,89888.0,852,85.2,10112,89888
2,12,2.0,1,0.1,0,2
3,12,3.0,2,0.2,0,3
100,12,83.0,47,4.7,17,83
200,12,172.0,94,9.4,28,172
2000,12,1746.0,446,44.6,254,1746
10000,12,8908.0,721,72.1,1092,8908
20000,12,17932.0,743,74.3,2068,17932
40000,12,35956.0,778,77.8,4044,35956
60000,12,53949.0,806,80.6,6051,53949
80000,12,71965.0,843,84.3,8035,71965
100000,12,89934.0,844,84.4,10066,89934
2,13,2.0,1,0.1,0,2
3,13,3.0,2,0.2,0,3
100,13,81.0,47,4.7,19,81
200,13,169.0,91,9.1,31,169
2000,13,1745.0,443,44.3,255,1745
10000,13,8910.0,602,60.2,1090,8910
20000,13,17868.0,674,67.4,2132,17868
40000,13,35799.0,927,92.7,4201,35799
60000,13,53799.0,928,92.8,6201,53799
80000,13,71758.0,953,95.3,8242,71758
100000,13,89803.0,954,95.4,10197,89803
2,14,2.0,1,0.1,0,2
3,14,3.0,2,0.2,0,3
100,14,84.0,49,4.9,16,84
200,14,167.0,92,9.2,33,167
2000,14,1743.0,527,52.7,257,1743
10000,14,8920.0,828,82.8,1080,8920
20000,14,17974.0,866,86.6,2026,17974
40000,14,35927.0,1058,105.8,4073,35927
60000,14,53960.0,1070,107.0,6040,53960
80000,14,71975.0,1074,107.4,8025,71975
100000,14,89957.0,1076,107.6,10043,89957
2,15,2.0,1,0.1,0,2
3,15,2.0,2,0.2,1,2
100,15,88.0,49,4.9,12,88
200,15,177.0,95,9.5,23,177
2000,15,1757.0,462,46.2,243,1757
10000,15,8935.0,711,71.1,1065,8935
20000,15,17959.0,759,75.9,2041,17959
40000,15,36041.0,764,76.4,3959,36041
60000,15,54137.0,778,77.8,5863,54137
80000,15,72137.0,809,80.9,7863,72137
100000,15,90157.0,812,81.2,9843,90157
2,16,2.0,1,0.1,0,2
3,16,3.0,2,0.2,0,3
100,16,81.0,51,5.1,19,81
200,16,170.0,100,10.0,30,170
2000,16,1738.0,585,58.5,262,1738
10000,16,8889.0,830,83.0,1111,8889
20000,16,17897.0,845,84.5,2103,17897
40000,16,35867.0,868,86.8,4133,35867
60000,16,53787.0,911,91.1,6213,53787
80000,16,71755.0,916,91.6,8245,71755
100000,16,89793.0,916,91.6,10207,89793
2,17,2.0,1,0.1,0,2
3,17,3.0,2,0.2,0,3
100,17,84.0,49,4.9,16,84
200,17,170.0,90,9.0,30,170
2000,17,1760.0,409,40.9,240,1760
10000,17,8959.0,628,62.8,1041,8959
20000,17,17968.0,708,70.8,2032,17968
40000,17,35846.0,819,81.9,4154,35846
60000,17,53834.0,917,91.7,6166,53834
80000,17,71862.0,919,91.9,8138,71862
100000,17,89936.0,919,91.9,10064,89936
2,18,2.0,1,0.1,0,2
3,18,2.0,2,0.2,1,2
100,18,81.0,49,4.9,19,81
200,18,164.0,91,9.1,36,164
2000,18,1746.0,487,48.7,254,1746
10000,18,8914.0,889,88.9,1086,8914
20000,18,17878.0,983,98.3,2122,17878
40000,18,35918.0,1006,100.6,4082,35918
60000,18,53937.0,1013,101.3,6063,53937
80000,18,71957.0,1016,101.6,8043,71957
100000,18,89989.0,1016,101.6,10011,89989
2,19,2.0,1,0.1,0,2
3,19,3.0,2,0.2,0,3
100,19,91.0,50,5.0,9,91
200,19,176.0,87,8.7,24,176
2000,19,1762.0,428,42.8,238,1762
10000,19,8933.0,707,70.7,1067,8933
20000,19,17922.0,730,73.0,2078,17922
40000,19,35874.0,760,76.0,4126,35874
60000,19,53869.0,790,79.0,6131,53869
80000,19,71866.0,801,80.1,8134,71866
100000,19,89817.0,807,80.7,10183,89817
2,20,1.0,1,0.1,1,1
3,20,2.0,1,0.1,1,2
100,20,89.0,49,4.9,11,89
200,20,172.0,92,9.2,28,172
2000,20,1751.0,392,39.2,249,1751
10000,20,8969.0,566,56.6,1031,8969
20000,20,17997.0,620,62.0,2003,17997
40000,20,35939.0,751,75.1,4061,35939
60000,20,53920.0,798,79.8,6080,53920
80000,20,71996.0,798,79.8,8004,71996
100000,20,90069.0,798,79.8,9931,90069
2,21,2.0,1,0.1,0,2
3,21,2.0,2,0.2,1,2
100,21,86.0,48,4.8,14,86
200,21,164.0,93,9.3,36,164
2000,21,1748.0,479,47.9,252,1748
10000,21,8934.0,632,63.2,1066,8934
20000,21,17960.0,687,68.7,2040,17960
40000,21,35995.0,747,74.7,4005,35995
60000,21,53999.0,762,76.2,6001,53999
80000,21,71977.0,767,76.7,8023,71977
100000,21,89894.0,798,79.8,10106,89894
2,22,1.0,1,0.1,1,1
3,22,2.0,1,0.1,1,2
100,22,83.0,45,4.5,17,83
200,22,167.0,79,7.9,33,167
2000,22,1736.0,295,29.5,264,1736
10000,22,8905.0,566,56.6,1095,8905
20000,22,17895.0,663,66.3,2105,17895
40000,22,35858.0,669,66.9,4142,35858
60000,22,53866.0,690,69.0,6134,53866
80000,22,71811.0,691,69.1,8189,71811
100000,22,89870.0,724,72.4,10130,89870
2,23,1.0,1,0.1,1,1
3,23,2.0,2,0.2,1,2
100,23,87.0,51,5.1,13,87
200,23,171.0,99,9.9,29,171
2000,23,1748.0,446,44.6,252,1748
10000,23,8878.0,742,74.2,1122,8878
20000,23,17964.0,744,74.4,2036,17964
40000,23,35938.0,771,77.1,4062,35938
60000,23,54008.0,774,77.4,5992,54008
