Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,2,0.01,0,3
100,1,85.0,50,0.25,15,85
200,1,178.0,100,0.5,22,178
2000,1,1799.0,913,4.56,201,1799
10000,1,8988.0,4076,20.38,1012,8988
20000,1,17983.0,9362,46.81,2017,17983
40000,1,35960.0,15025,75.13,4040,35960
60000,1,53930.0,23070,115.35,6070,53930
80000,1,71978.0,27080,135.4,8022,71978
100000,1,89960.0,31332,156.66,10040,89960
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.01,0,3
100,2,96.0,51,0.26,4,96
200,2,188.0,99,0.5,12,188
2000,2,1778.0,1030,5.15,222,1778
10000,2,8937.0,3960,19.8,1063,8937
20000,2,17927.0,7208,36.04,2073,17927
40000,2,35905.0,10721,53.61,4095,35905
60000,2,53836.0,19021,95.1,6164,53836
80000,2,71743.0,28493,142.46,8257,71743
100000,2,89612.0,33017,165.08,10388,89612
2,3,2.0,1,0.01,0,2
3,3,3.0,2,0.01,0,3
100,3,88.0,50,0.25,12,88
200,3,178.0,97,0.49,22,178
2000,3,1788.0,962,4.81,212,1788
10000,3,8985.0,4199,21.0,1015,8985
20000,3,17994.0,6871,34.35,2006,17994
40000,3,35971.0,10749,53.75,4029,35971
60000,3,53893.0,17074,85.37,6107,53893
80000,3,71771.0,21458,107.29,8229,71771
100000,3,89725.0,24914,124.57,10275,89725
2,4,2.0,1,0.01,0,2
3,4,3.0,2,0.01,0,3
100,4,95.0,50,0.25,5,95
200,4,188.0,101,0.51,12,188
2000,4,1794.0,956,4.78,206,1794
10000,4,8941.0,4724,23.62,1059,8941
20000,4,17936.0,10927,54.64,2064,17936
40000,4,35949.0,17281,86.4,4051,35949
60000,4,53892.0,22875,114.37,6108,53892
80000,4,71897.0,28449,142.24,8103,71897
100000,4,89838.0,35250,176.25,10162,89838
2,5,2.0,1,0.01,0,2
3,5,3.0,2,0.01,0,3
100,5,87.0,51,0.26,13,87
200,5,174.0,102,0.51,26,174
2000,5,1801.0,1001,5.0,199,1801
10000,5,8961.0,4651,23.25,1039,8961
20000,5,17925.0,7876,39.38,2075,17925
40000,5,35867.0,15158,75.79,4133,35867
60000,5,53766.0,23592,117.96,6234,53766
80000,5,71708.0,34101,170.5,8292,71708
100000,5,89666.0,39389,196.94,10334,89666
2,6,2.0,1,0.01,0,2
3,6,3.0,2,0.01,0,3
100,6,90.0,50,0.25,10,90
200,6,179.0,99,0.5,21,179
2000,6,1805.0,1023,5.11,195,1805
10000,6,8968.0,4680,23.4,1032,8968
20000,6,17966.0,8160,40.8,2034,17966
40000,6,35927.0,13502,67.51,4073,35927
60000,6,53789.0,22194,110.97,6211,53789
80000,6,71835.0,22350,111.75,8165,71835
100000,6,89831.0,22935,114.67,10169,89831
2,7,2.0,1,0.01,0,2
3,7,3.0,2,0.01,0,3
100,7,95.0,50,0.25,5,95
200,7,187.0,100,0.5,13,187
2000,7,1810.0,815,4.07,190,1810
10000,7,8982.0,3324,16.62,1018,8982
20000,7,17953.0,8606,43.03,2047,17953
40000,7,35892.0,13981,69.91,4108,35892
60000,7,53818.0,19767,98.83,6182,53818
80000,7,71796.0,22853,114.26,8204,71796
100000,7,89839.0,24925,124.62,10161,89839
2,8,2.0,1,0.01,0,2
3,8,3.0,2,0.01,0,3
100,8,88.0,48,0.24,12,88
200,8,178.0,92,0.46,22,178
2000,8,1778.0,973,4.86,222,1778
10000,8,8985.0,4092,20.46,1015,8985
20000,8,18006.0,8491,42.46,1994,18006
40000,8,36050.0,17525,87.62,3950,36050
60000,8,53927.0,23809,119.04,6073,53927
80000,8,71809.0,29853,149.26,8191,71809
100000,8,89868.0,31145,155.72,10132,89868
2,9,2.0,1,0.01,0,2
3,9,3.0,2,0.01,0,3
100,9,90.0,50,0.25,10,90
200,9,180.0,98,0.49,20,180
2000,9,1826.0,851,4.25,174,1826
10000,9,8984.0,3830,19.15,1016,8984
20000,9,17983.0,6906,34.53,2017,17983
40000,9,35962.0,12005,60.03,4038,35962
60000,9,53998.0,16337,81.68,6002,53998
80000,9,71985.0,17677,88.38,8015,71985
100000,9,89956.0,23927,119.63,10044,89956
2,10,2.0,1,0.01,0,2
3,10,3.0,2,0.01,0,3
100,10,88.0,51,0.26,12,88
200,10,181.0,101,0.51,19,181
2000,10,1807.0,1126,5.63,193,1807
10000,10,8986.0,5367,26.83,1014,8986
20000,10,17968.0,9488,47.44,2032,17968
40000,10,35847.0,18667,93.33,4153,35847
60000,10,53810.0,25924,129.62,6190,53810
80000,10,71790.0,32707,163.53,8210,71790
100000,10,89718.0,42243,211.21,10282,89718
2,11,1.0,1,0.01,1,1
3,11,2.0,2,0.01,1,2
100,11,91.0,50,0.25,9,91
200,11,180.0,100,0.5,20,180
2000,11,1789.0,1048,5.24,211,1789
10000,11,8941.0,4106,20.53,1059,8941
20000,11,17868.0,7436,37.18,2132,17868
40000,11,35894.0,14541,72.71,4106,35894
60000,11,53825.0,22902,114.51,6175,53825
80000,11,71754.0,32819,164.09,8246,71754
100000,11,89823.0,34938,174.69,10177,89823
2,12,2.0,1,0.01,0,2
3,12,3.0,2,0.01,0,3
100,12,91.0,50,0.25,9,91
200,12,179.0,103,0.52,21,179
2000,12,1813.0,1055,5.27,187,1813
10000,12,8992.0,4731,23.65,1008,8992
20000,12,17989.0,8843,44.22,2011,17989
40000,12,36019.0,14569,72.85,3981,36019
60000,12,53984.0,19952,99.76,6016,53984
80000,12,71943.0,25339,126.69,8057,71943
100000,12,89873.0,31892,159.46,10127,89873
2,13,2.0,1,0.01,0,2
3,13,3.0,2,0.01,0,3
100,13,88.0,48,0.24,12,88
200,13,177.0,92,0.46,23,177
2000,13,1795.0,1097,5.48,205,1795
10000,13,9004.0,4931,24.65,996,9004
20000,13,17943.0,9181,45.91,2057,17943
40000,13,35902.0,16949,84.74,4098,35902
60000,13,53879.0,22389,111.94,6121,53879
80000,13,71870.0,24554,122.77,8130,71870
100000,13,89797.0,29769,148.84,10203,89797
2,14,2.0,1,0.01,0,2
3,14,3.0,2,0.01,0,3
100,14,88.0,49,0.25,12,88
200,14,178.0,98,0.49,22,178
2000,14,1800.0,1038,5.19,200,1800
10000,14,8971.0,4233,21.17,1029,8971
20000,14,17946.0,7587,37.94,2054,17946
40000,14,35884.0,13245,66.23,4116,35884
60000,14,53821.0,18409,92.04,6179,53821
80000,14,71818.0,19286,96.43,8182,71818
100000,14,89801.0,22543,112.71,10199,89801
2,15,2.0,1,0.01,0,2
3,15,2.0,2,0.01,1,2
100,15,87.0,50,0.25,13,87
200,15,182.0,96,0.48,18,182
2000,15,1791.0,771,3.85,209,1791
10000,15,9013.0,2277,11.39,987,9013
20000,15,17975.0,5942,29.71,2025,17975
40000,15,35928.0,11360,56.8,4072,35928
60000,15,53922.0,16539,82.69,6078,53922
80000,15,71915.0,18555,92.77,8085,71915
100000,15,89909.0,22206,111.03,10091,89909
2,16,2.0,1,0.01,0,2
3,16,3.0,2,0.01,0,3
100,16,90.0,50,0.25,10,90
200,16,177.0,103,0.52,23,177
2000,16,1803.0,1045,5.22,197,1803
10000,16,9028.0,5689,28.44,972,9028
20000,16,17961.0,10601,53.01,2039,17961
40000,16,35994.0,18415,92.07,4006,35994
60000,16,53909.0,23893,119.46,6091,53909
80000,16,71866.0,34058,170.29,8134,71866
100000,16,89783.0,45947,229.73,10217,89783
2,17,2.0,1,0.01,0,2
3,17,3.0,2,0.01,0,3
100,17,92.0,50,0.25,8,92
200,17,184.0,100,0.5,16,184
2000,17,1825.0,1211,6.05,175,1825
10000,17,9025.0,5575,27.87,975,9025
20000,17,17953.0,10781,53.91,2047,17953
40000,17,35899.0,16678,83.39,4101,35899
60000,17,53900.0,25731,128.65,6100,53900
80000,17,71915.0,28132,140.66,8085,71915
100000,17,89858.0,34401,172.0,10142,89858
2,18,2.0,1,0.01,0,2
3,18,3.0,2,0.01,0,3
100,18,83.0,51,0.26,17,83
200,18,178.0,98,0.49,22,178
2000,18,1807.0,888,4.44,193,1807
10000,18,9002.0,4192,20.96,998,9002
20000,18,17994.0,7841,39.21,2006,17994
40000,18,35984.0,12288,61.44,4016,35984
60000,18,53940.0,16523,82.61,6060,53940
80000,18,71897.0,19874,99.37,8103,71897
100000,18,89841.0,23551,117.75,10159,89841
2,19,2.0,1,0.01,0,2
3,19,3.0,2,0.01,0,3
100,19,92.0,50,0.25,8,92
200,19,178.0,98,0.49,22,178
2000,19,1787.0,880,4.4,213,1787
10000,19,8982.0,4041,20.21,1018,8982
20000,19,17962.0,6936,34.68,2038,17962
40000,19,35899.0,11549,57.75,4101,35899
60000,19,53869.0,16362,81.81,6131,53869
80000,19,71910.0,17732,88.66,8090,71910
100000,19,89818.0,20394,101.97,10182,89818
2,20,2.0,1,0.01,0,2
3,20,3.0,2,0.01,0,3
100,20,92.0,50,0.25,8,92
200,20,176.0,106,0.53,24,176
2000,20,1770.0,978,4.89,230,1770
10000,20,8894.0,4826,24.13,1106,8894
20000,20,17889.0,10387,51.94,2111,17889
40000,20,35794.0,17398,86.99,4206,35794
60000,20,53860.0,19082,95.41,6140,53860
80000,20,71816.0,25570,127.85,8184,71816
100000,20,89768.0,33709,168.54,10232,89768
2,21,1.0,1,0.01,1,1
3,21,2.0,1,0.01,1,2
100,21,82.0,49,0.25,18,82
200,21,169.0,96,0.48,31,169
2000,21,1789.0,875,4.37,211,1789
10000,21,8988.0,5217,26.08,1012,8988
20000,21,18024.0,6962,34.81,1976,18024
40000,21,36024.0,13477,67.39,3976,36024
60000,21,53958.0,22759,113.79,6042,53958
80000,21,71927.0,29820,149.1,8073,71927
100000,21,89904.0,36108,180.54,10096,89904
2,22,2.0,1,0.01,0,2
3,22,2.0,2,0.01,1,2
100,22,96.0,50,0.25,4,96
200,22,183.0,103,0.52,17,183
2000,22,1790.0,1122,5.61,210,1790
10000,22,8964.0,4788,23.94,1036,8964
20000,22,17989.0,6675,33.37,2011,17989
40000,22,35950.0,15244,76.22,4050,35950
60000,22,54013.0,17298,86.49,5987,54013
80000,22,71997.0,23513,117.56,8003,71997
100000,22,90016.0,26952,134.76,9984,90016
2,23,2.0,1,0.01,0,2
3,23,3.0,2,0.01,0,3
100,23,93.0,50,0.25,7,93
200,23,181.0,101,0.51,19,181
2000,23,1822.0,947,4.73,178,1822
10000,23,9014.0,4042,20.21,986,9014
20000,23,17974.0,7345,36.73,2026,17974
40000,23,35998.0,16475,82.37,4002,35998
60000,23,53998.0,23390,116.95,6002,53998
80000,23,71969.0,27020,135.1,8031,71969
100000,23,89919.0,30233,151.16,10081,89919
2,24,2.0,1,0.01,0,2
3,24,3.0,2,0.01,0,3
100,24,92.0,50,0.25,8,92
200,24,178.0,98,0.49,22,178
2000,24,1813.0,1003,5.01,187,1813
10000,24,8953.0,5336,26.68,1047,8953
20000,24,17920.0,9585,47.93,2080,17920
40000,24,35877.0,13473,67.37,4123,35877
60000,24,53795.0,19630,98.15,6205,53795
80000,24,71812.0,21327,106.63,8188,71812
100000,24,89821.0,25007,125.03,10179,89821
2,25,2.0,1,0.01,0,2
3,25,3.0,2,0.01,0,3
100,25,90.0,50,0.25,10,90
200,25,175.0,101,0.51,25,175
2000,25,1807.0,875,4.37,193,1807
10000,25,8949.0,3826,19.13,1051,8949
20000,25,17887.0,5485,27.42,2113,17887
40000,25,35929.0,10819,54.1,4071,35929
60000,25,53864.0,16778,83.89,6136,53864
80000,25,71888.0,18130,90.65,8112,71888
100000,25,90034.0,18130,90.65,9966,90034
2,26,1.0,1,0.01,1,1
3,26,2.0,1,0.01,1,2
100,26,90.0,49,0.25,10,90
200,26,180.0,94,0.47,20,180
2000,26,1820.0,670,3.35,180,1820
10000,26,9032.0,3903,19.52,968,9032
20000,26,18043.0,9720,48.6,1957,18043
40000,26,35968.0,17864,89.32,4032,35968
60000,26,53942.0,25222,126.11,6058,53942
80000,26,71819.0,31415,157.07,8181,71819
100000,26,89724.0,34379,171.89,10276,89724
2,27,2.0,1,0.01,0,2
3,27,3.0,2,0.01,0,3
100,27,87.0,50,0.25,13,87
200,27,172.0,101,0.51,28,172
2000,27,1778.0,1038,5.19,222,1778
10000,27,9007.0,4527,22.63,993,9007
20000,27,18011.0,9287,46.44,1989,18011
40000,27,35953.0,17256,86.28,4047,35953
60000,27,53911.0,27684,138.42,6089,53911
80000,27,71937.0,30989,154.94,8063,71937
100000,27,89943.0,38719,193.59,10057,89943
2,28,2.0,1,0.01,0,2
3,28,3.0,2,0.01,0,3
100,28,90.0,51,0.26,10,90
200,28,182.0,101,0.51,18,182
2000,28,1798.0,1156,5.78,202,1798
10000,28,8967.0,4877,24.38,1033,8967
20000,28,17974.0,7819,39.1,2026,17974
40000,28,35997.0,14943,74.72,4003,35997
60000,28,53949.0,25046,125.23,6051,53949
80000,28,71901.0,30531,152.65,8099,71901
100000,28,89939.0,35885,179.42,10061,89939
2,29,2.0,1,0.01,0,2
3,29,3.0,2,0.01,0,3
100,29,84.0,51,0.26,16,84
200,29,173.0,103,0.52,27,173
2000,29,1809.0,808,4.04,191,1809
10000,29,9007.0,3323,16.62,993,9007
20000,29,17972.0,6436,32.18,2028,17972
40000,29,35974.0,9143,45.72,4026,35974
60000,29,53974.0,13970,69.85,6026,53974
80000,29,71958.0,21309,106.54,8042,71958
100000,29,89884.0,25752,128.76,10116,89884
2,30,2.0,1,0.01,0,2
3,30,3.0,2,0.01,0,3
100,30,90.0,49,0.25,10,90
200,30,174.0,98,0.49,26,174
2000,30,1807.0,893,4.46,193,1807
10000,30,9024.0,4176,20.88,976,9024
20000,30,18028.0,10079,50.4,1972,18028
40000,30,36052.0,12763,63.82,3948,36052
60000,30,54057.0,19583,97.91,5943,54057
80000,30,72040.0,22712,113.56,7960,72040
100000,30,89979.0,26126,130.63,10021,89979
2,31,2.0,1,0.01,0,2
3,31,3.0,2,0.01,0,3
100,31,91.0,50,0.25,9,91
200,31,180.0,99,0.5,20,180
2000,31,1800.0,923,4.61,200,1800
10000,31,9004.0,3971,19.86,996,9004
20000,31,17992.0,8426,42.13,2008,17992
40000,31,35930.0,12486,62.43,4070,35930
60000,31,53813.0,19416,97.08,6187,53813
80000,31,71805.0,23510,117.55,8195,71805
100000,31,89766.0,24834,124.17,10234,89766
2,32,2.0,1,0.01,0,2
3,32,3.0,2,0.01,0,3
100,32,89.0,50,0.25,11,89
200,32,183.0,102,0.51,17,183
2000,32,1805.0,961,4.8,195,1805
10000,32,8994.0,4617,23.08,1006,8994
20000,32,17931.0,9332,46.66,2069,17931
40000,32,35858.0,16325,81.62,4142,35858
60000,32,53933.0,16910,84.55,6067,53933
80000,32,71904.0,19033,95.16,8096,71904
100000,32,89875.0,20474,102.37,10125,89875
2,33,2.0,1,0.01,0,2
3,33,3.0,2,0.01,0,3
100,33,94.0,50,0.25,6,94
200,33,188.0,98,0.49,12,188
2000,33,1810.0,990,4.95,190,1810
10000,33,9013.0,3703,18.52,987,9013
20000,33,17996.0,6603,33.01,2004,17996
40000,33,36002.0,10275,51.38,3998,36002
60000,33,53967.0,12450,62.25,6033,53967
80000,33,71961.0,17005,85.02,8039,71961
100000,33,89969.0,18780,93.9,10031,89969
2,34,2.0,1,0.01,0,2
3,34,3.0,2,0.01,0,3
100,34,88.0,50,0.25,12,88
200,34,179.0,100,0.5,21,179
2000,34,1803.0,916,4.58,197,1803
10000,34,8938.0,4360,21.8,1062,8938
20000,34,17936.0,9897,49.49,2064,17936
40000,34,35921.0,18440,92.2,4079,35921
60000,34,53855.0,23835,119.17,6145,53855
80000,34,71801.0,30717,153.58,8199,71801
100000,34,89752.0,35625,178.12,10248,89752
2,35,2.0,1,0.01,0,2
3,35,2.0,2,0.01,1,2
100,35,92.0,50,0.25,8,92
200,35,184.0,98,0.49,16,184
2000,35,1805.0,995,4.97,195,1805
10000,35,9008.0,4320,21.6,992,9008
20000,35,18006.0,7317,36.59,1994,18006
40000,35,35972.0,11658,58.29,4028,35972
60000,35,53888.0,16587,82.93,6112,53888
80000,35,71971.0,19561,97.8,8029,71971
100000,35,89924.0,27139,135.69,10076,89924
2,36,2.0,1,0.01,0,2
3,36,2.0,2,0.01,1,2
100,36,89.0,50,0.25,11,89
200,36,175.0,99,0.5,25,175
2000,36,1802.0,985,4.92,198,1802
10000,36,8996.0,4103,20.52,1004,8996
20000,36,18009.0,8192,40.96,1991,18009
40000,36,35967.0,13537,67.69,4033,35967
60000,36,53996.0,15173,75.87,6004,53996
80000,36,72048.0,21490,107.45,7952,72048
100000,36,90035.0,26007,130.03,9965,90035
2,37,1.0,1,0.01,1,1
3,37,2.0,1,0.01,1,2
100,37,87.0,48,0.24,13,87
200,37,177.0,95,0.48,23,177
2000,37,1782.0,804,4.02,218,1782
10000,37,8965.0,3617,18.09,1035,8965
20000,37,17992.0,7604,38.02,2008,17992
40000,37,36028.0,10979,54.9,3972,36028
60000,37,54047.0,13803,69.02,5953,54047
80000,37,72024.0,20194,100.97,7976,72024
100000,37,89942.0,28326,141.63,10058,89942
2,38,2.0,1,0.01,0,2
3,38,3.0,2,0.01,0,3
100,38,92.0,50,0.25,8,92
200,38,181.0,101,0.51,19,181
2000,38,1798.0,934,4.67,202,1798
10000,38,8975.0,4926,24.63,1025,8975
20000,38,18036.0,6718,33.59,1964,18036
40000,38,35964.0,12059,60.3,4036,35964
60000,38,53897.0,18184,90.92,6103,53897
80000,38,71909.0,23801,119.0,8091,71909
100000,38,89892.0,27023,135.11,10108,89892
2,39,2.0,1,0.01,0,2
3,39,3.0,2,0.01,0,3
100,39,82.0,51,0.26,18,82
200,39,171.0,106,0.53,29,171
2000,39,1798.0,1101,5.5,202,1798
10000,39,8981.0,6176,30.88,1019,8981
20000,39,18026.0,9579,47.9,1974,18026
40000,39,35916.0,17624,88.12,4084,35916
60000,39,53887.0,24364,121.82,6113,53887
80000,39,71939.0,25866,129.33,8061,71939
100000,39,90000.0,29776,148.88,10000,90000
2,40,2.0,1,0.01,0,2
3,40,3.0,2,0.01,0,3
100,40,88.0,49,0.25,12,88
200,40,181.0,95,0.48,19,181
2000,40,1787.0,1025,5.12,213,1787
10000,40,9013.0,3851,19.26,987,9013
20000,40,18047.0,7825,39.13,1953,18047
40000,40,36009.0,16665,83.32,3991,36009
60000,40,53973.0,24542,122.71,6027,53973
80000,40,71880.0,32441,162.2,8120,71880
100000,40,89873.0,35888,179.44,10127,89873
2,41,2.0,1,0.01,0,2
3,41,3.0,2,0.01,0,3
100,41,89.0,50,0.25,11,89
200,41,186.0,100,0.5,14,186
2000,41,1805.0,836,4.18,195,1805
10000,41,8974.0,4602,23.01,1026,8974
20000,41,17978.0,7280,36.4,2022,17978
40000,41,35963.0,11953,59.77,4037,35963
60000,41,53919.0,17839,89.19,6081,53919
80000,41,71849.0,20092,100.46,8151,71849
100000,41,89901.0,21074,105.37,10099,89901
2,42,2.0,1,0.01,0,2
3,42,3.0,2,0.01,0,3
100,42,89.0,50,0.25,11,89
200,42,183.0,99,0.5,17,183
2000,42,1803.0,1064,5.32,197,1803
10000,42,8939.0,5132,25.66,1061,8939
20000,42,17930.0,8070,40.35,2070,17930
40000,42,35885.0,12001,60.01,4115,35885
60000,42,53814.0,15897,79.49,6186,53814
80000,42,71788.0,20039,100.19,8212,71788
100000,42,89823.0,20290,101.45,10177,89823
2,43,2.0,1,0.01,0,2
3,43,3.0,2,0.01,0,3
100,43,88.0,49,0.25,12,88
200,43,178.0,98,0.49,22,178
2000,43,1812.0,984,4.92,188,1812
10000,43,8999.0,4401,22.0,1001,8999
20000,43,17980.0,8459,42.3,2020,17980
40000,43,36014.0,19081,95.4,3986,36014
60000,43,53976.0,24580,122.9,6024,53976
80000,43,72015.0,25875,129.37,7985,72015
100000,43,89968.0,29798,148.99,10032,89968
2,44,2.0,1,0.01,0,2
3,44,2.0,2,0.01,1,2
100,44,83.0,48,0.24,17,83
200,44,173.0,97,0.49,27,173
2000,44,1806.0,836,4.18,194,1806
10000,44,8971.0,4907,24.53,1029,8971
20000,44,17930.0,7939,39.7,2070,17930
40000,44,36020.0,13445,67.23,3980,36020
60000,44,53981.0,18370,91.85,6019,53981
80000,44,71908.0,24015,120.07,8092,71908
100000,44,89930.0,26913,134.56,10070,89930
2,45,2.0,1,0.01,0,2
3,45,3.0,2,0.01,0,3
100,45,90.0,51,0.26,10,90
200,45,181.0,105,0.53,19,181
2000,45,1820.0,993,4.96,180,1820
10000,45,9028.0,4140,20.7,972,9028
20000,45,17943.0,8437,42.19,2057,17943
40000,45,35893.0,13671,68.36,4107,35893
60000,45,53961.0,14844,74.22,6039,53961
80000,45,71897.0,19139,95.69,8103,71897
100000,45,89901.0,26545,132.72,10099,89901
2,46,1.0,1,0.01,1,1
3,46,2.0,2,0.01,1,2
100,46,89.0,50,0.25,11,89
200,46,177.0,97,0.49,23,177
2000,46,1791.0,830,4.15,209,1791
10000,46,8978.0,4598,22.99,1022,8978
20000,46,18024.0,6570,32.85,1976,18024
40000,46,35989.0,14231,71.16,4011,35989
60000,46,53960.0,16732,83.66,6040,53960
80000,46,71967.0,18992,94.96,8033,71967
100000,46,90019.0,19408,97.04,9981,90019
2,47,1.0,1,0.01,1,1
3,47,2.0,2,0.01,1,2
100,47,93.0,50,0.25,7,93
200,47,178.0,102,0.51,22,178
2000,47,1794.0,842,4.21,206,1794
10000,47,8976.0,3500,17.5,1024,8976
20000,47,17953.0,7450,37.25,2047,17953
40000,47,35965.0,12489,62.45,4035,35965
60000,47,53930.0,18535,92.67,6070,53930
80000,47,71897.0,21807,109.03,8103,71897
100000,47,89915.0,22727,113.63,10085,89915
2,48,2.0,1,0.01,0,2
3,48,3.0,2,0.01,0,3
100,48,89.0,51,0.26,11,89
200,48,179.0,106,0.53,21,179
2000,48,1792.0,1013,5.06,208,1792
10000,48,8973.0,4662,23.31,1027,8973
20000,48,17947.0,8692,43.46,2053,17947
40000,48,35933.0,12352,61.76,4067,35933
60000,48,54053.0,12687,63.44,5947,54053
80000,48,72002.0,16731,83.65,7998,72002
100000,48,89993.0,17793,88.96,10007,89993
2,49,1.0,1,0.01,1,1
3,49,2.0,2,0.01,1,2
100,49,89.0,49,0.25,11,89
200,49,175.0,103,0.52,25,175
2000,49,1804.0,1063,5.31,196,1804
10000,49,9018.0,3644,18.22,982,9018
20000,49,17928.0,6704,33.52,2072,17928
40000,49,35896.0,11236,56.18,4104,35896
60000,49,53888.0,14666,73.33,6112,53888
80000,49,71923.0,19761,98.8,8077,71923
