Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,0.86,1.0,0.010000000000000007,1.14,0.86
3,1.41,1.32,0.010000000000000007,1.59,1.41
100,49.47,54.79,0.2775,50.53,49.47
200,99.28,109.79,0.5525000000000001,100.72,99.28
2000,997.5,1099.79,5.502499999999999,1002.5,997.5
10000,4972.39,5499.79,27.502500000000005,5027.61,4972.39
20000,9951.92,10999.79,54.9982,10048.08,9951.92
40000,19899.36,21999.79,109.9982,20100.64,19899.36
60000,29847.96,32999.79,164.9982,30152.04,29847.96
80000,39784.73,43999.79,219.99820000000008,40215.27,39784.73
100000,49727.97,54999.79,274.99820000000005,50272.03,49727.97
