Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.83,1.0,0.010000000000000007,0.17,1.83
3,2.71,1.95,0.010000000000000007,0.29,2.71
100,89.08,55.44,0.27940000000000004,10.92,89.08
200,179.43,111.44,0.5594,20.57,179.43
2000,1796.69,1119.44,5.599399999999998,203.31,1796.69
10000,8973.83,5599.44,27.99939999999999,1026.17,8973.83
20000,17946.22,11199.44,55.99669999999999,2053.78,17946.22
40000,35885.58,22399.44,111.9967,4114.42,35885.58
60000,53826.4,33599.44,167.99670000000003,6173.6,53826.4
80000,71774.35,44799.44,223.99670000000006,8225.65,71774.35
100000,89716.07,55999.44,279.99670000000003,10283.93,89716.07
