Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.76,1.0,0.010000000000000007,0.24,1.76
3,2.61,1.11,0.010000000000000007,0.39,2.61
100,90.15,51.75,0.2615999999999999,9.85,90.15
200,180.09,92.29,0.4641000000000002,19.91,180.09
2000,1795.57,940.37,4.6994,204.43,1795.57
10000,8979.91,4032.02,20.160500000000003,1020.09,8979.91
20000,17962.15,7651.69,38.25879999999997,2037.85,17962.15
40000,35933.89,12921.72,64.60970000000002,4066.11,35933.89
60000,53896.78,18007.24,90.03529999999996,6103.22,53896.78
80000,71884.24,22976.12,114.87870000000001,8115.76,71884.24
100000,89868.16,27276.43,136.38060000000002,10131.84,89868.16
