Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.65,1.0,0.09999999999999981,0.35,1.65
3,2.43,1.79,0.17899999999999971,0.57,2.43
100,86.39,34.78,3.478000000000001,13.61,86.39
200,173.78,60.15,6.0150000000000015,26.22,173.78
2000,1781.7,187.43,18.743,218.3,1781.7
10000,8979.42,262.74,26.273999999999997,1020.58,8979.42
20000,17979.56,294.97,29.497000000000003,2020.44,17979.56
40000,35974.07,315.64,31.564,4025.93,35974.07
60000,53970.3,326.93,32.693000000000005,6029.7,53970.3
80000,71973.18,334.44,33.443999999999996,8026.82,71973.18
100000,89973.7,338.78,33.878000000000014,10026.3,89973.7
