Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.01,1,1
3,1,1.0,2,0.01,2,1
100,1,49.0,52,0.26,51,49
200,1,91.0,82,0.41,109,91
2000,1,1004.0,1151,5.75,996,1004
10000,1,4992.0,3678,18.39,5008,4992
20000,1,9978.0,8687,43.44,10022,9978
40000,1,19813.0,18879,94.39,20187,19813
60000,1,29789.0,20690,103.45,30211,29789
80000,1,39837.0,36518,182.59,40163,39837
100000,1,49802.0,38574,192.87,50198,49802
2,2,2.0,1,0.01,0,2
3,2,2.0,1,0.01,1,2
100,2,47.0,71,0.36,53,47
200,2,91.0,158,0.79,109,91
2000,2,1013.0,871,4.35,987,1013
10000,2,5004.0,3443,17.22,4996,5004
20000,2,9994.0,5083,25.41,10006,9994
40000,2,20065.0,7719,38.6,19935,20065
60000,2,30036.0,9312,46.56,29964,30036
80000,2,40013.0,9868,49.34,39987,40013
100000,2,50093.0,9892,49.46,49907,50093
2,3,1.0,1,0.01,1,1
3,3,1.0,1,0.01,2,1
100,3,42.0,26,0.13,58,42
200,3,90.0,34,0.17,110,90
2000,3,956.0,1126,5.63,1044,956
10000,3,4867.0,2509,12.55,5133,4867
20000,3,9816.0,7327,36.64,10184,9816
40000,3,19713.0,9657,48.29,20287,19713
60000,3,29703.0,9664,48.32,30297,29703
80000,3,39632.0,15077,75.39,40368,39632
100000,3,49628.0,15077,75.39,50372,49628
2,4,2.0,1,0.01,0,2
3,4,3.0,1,0.01,0,3
100,4,53.0,37,0.19,47,53
200,4,102.0,58,0.29,98,102
2000,4,1002.0,812,4.06,998,1002
10000,4,4996.0,5723,28.61,5004,4996
20000,4,9889.0,10716,53.58,10111,9889
40000,4,19786.0,18018,90.09,20214,19786
60000,4,29606.0,29034,145.17,30394,29606
80000,4,39716.0,29091,145.45,40284,39716
100000,4,49705.0,29091,145.45,50295,49705
2,5,1.0,1,0.01,1,1
3,5,1.0,1,0.01,2,1
100,5,48.0,80,0.4,52,48
200,5,90.0,156,0.78,110,90
2000,5,976.0,1044,5.22,1024,976
10000,5,4936.0,3866,19.33,5064,4936
20000,5,9986.0,4912,24.56,10014,9986
40000,5,19969.0,6349,31.74,20031,19969
60000,5,29988.0,9639,48.2,30012,29988
80000,5,40010.0,15387,76.94,39990,40010
100000,5,50041.0,21998,109.99,49959,50041
2,6,1.0,1,0.01,1,1
3,6,1.0,1,0.01,2,1
100,6,42.0,43,0.22,58,42
200,6,98.0,136,0.68,102,98
