Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.1,0,2
3,1,3,2,0.2,0,3
100,1,84,52,5.2,16,84
200,1,167,53,5.3,33,167
2000,1,1782,234,23.4,218,1782
10000,1,9035,201,20.1,965,9035
20000,1,17999,292,29.2,2001,17999
40000,1,36008,261,26.1,3992,36008
60000,1,53981,572,57.2,6019,53981
80000,1,71931,522,52.2,8069,71931
100000,1,89854,444,44.4,10146,89854
2,2,1,1,0.1,1,1
3,2,3,2,0.2,0,3
100,2,92,18,1.8,8,92
200,2,178,53,5.3,22,178
2000,2,1777,255,25.5,223,1777
10000,2,8992,217,21.7,1008,8992
20000,2,18027,267,26.7,1973,18027
40000,2,36141,226,22.6,3859,36141
60000,2,53802,303,30.3,6198,53802
80000,2,71996,362,36.2,8004,71996
100000,2,89919,200,20.0,10081,89919
2,3,1,1,0.1,1,1
3,3,2,2,0.2,1,2
100,3,86,2,0.2,14,86
200,3,170,59,5.9,30,170
2000,3,1792,42,4.2,208,1792
10000,3,8932,267,26.7,1068,8932
20000,3,17998,397,39.7,2002,17998
40000,3,36029,316,31.6,3971,36029
60000,3,53991,335,33.5,6009,53991
80000,3,72078,337,33.7,7922,72078
100000,3,90183,476,47.6,9817,90183
2,4,1,1,0.1,1,1
3,4,3,2,0.2,0,3
100,4,89,10,1.0,11,89
200,4,179,12,1.2,21,179
2000,4,1769,102,10.2,231,1769
10000,4,8902,435,43.5,1098,8902
20000,4,17993,150,15.0,2007,17993
40000,4,35868,268,26.8,4132,35868
60000,4,53944,301,30.1,6056,53944
80000,4,71942,627,62.7,8058,71942
100000,4,89976,533,53.3,10024,89976
2,5,2,1,0.1,0,2
3,5,2,2,0.2,1,2
100,5,87,30,3.0,13,87
200,5,177,67,6.7,23,177
2000,5,1802,159,15.9,198,1802
10000,5,8960,276,27.6,1040,8960
20000,5,18040,120,12.0,1960,18040
40000,5,36025,431,43.1,3975,36025
