Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.1,1,1
3,1,3,1,0.1,0,3
100,1,82,39,3.9,18,82
200,1,173,60,6.0,27,173
2000,1,1772,311,31.1,228,1772
10000,1,8906,946,94.6,1094,8906
20000,1,17821,1350,135.0,2179,17821
40000,1,35939,1777,177.7,4061,35939
60000,1,53758,1673,167.3,6242,53758
80000,1,71910,1557,155.7,8090,71910
100000,1,89910,1427,142.7,10090,89910
2,2,1,1,0.1,1,1
3,2,3,1,0.1,0,3
100,2,84,42,4.2,16,84
200,2,175,57,5.7,25,175
2000,2,1759,415,41.5,241,1759
10000,2,8941,617,61.7,1059,8941
20000,2,17857,997,99.7,2143,17857
40000,2,35836,1389,138.9,4164,35836
60000,2,54013,1748,174.8,5987,54013
80000,2,71759,1347,134.7,8241,71759
100000,2,89829,1819,181.9,10171,89829
2,3,2,1,0.1,0,2
3,3,3,1,0.1,0,3
100,3,90,44,4.4,10,90
200,3,175,36,3.6,25,175
2000,3,1770,262,26.2,230,1770
10000,3,8856,764,76.4,1144,8856
20000,3,17898,956,95.6,2102,17898
40000,3,35790,1494,149.4,4210,35790
60000,3,53807,1766,176.6,6193,53807
80000,3,71801,1399,139.9,8199,71801
100000,3,89768,1636,163.6,10232,89768
2,4,2,1,0.1,0,2
3,4,1,1,0.1,2,1
100,4,89,48,4.8,11,89
200,4,183,65,6.5,17,183
2000,4,1765,274,27.4,235,1765
10000,4,8875,999,99.9,1125,8875
20000,4,17999,1130,113.0,2001,17999
40000,4,35746,1337,133.7,4254,35746
60000,4,53899,1722,172.2,6101,53899
80000,4,71788,1621,162.1,8212,71788
100000,4,89790,1497,149.7,10210,89790
2,5,2,1,0.1,0,2
3,5,0,1,0.1,3,0
100,5,82,39,3.9,18,82
200,5,167,80,8.0,33,167
2000,5,1758,437,43.7,242,1758
10000,5,8936,664,66.4,1064,8936
20000,5,17919,1026,102.6,2081,17919
40000,5,35821,994,99.4,4179,35821
60000,5,53720,1219,121.9,6280,53720
80000,5,71818,1944,194.4,8182,71818
100000,5,89823,1274,127.4,10177,89823
2,6,1,1,0.1,1,1
3,6,3,1,0.1,0,3
100,6,77,25,2.5,23,77
200,6,170,66,6.6,30,170
2000,6,1756,296,29.6,244,1756
10000,6,8897,984,98.4,1103,8897
20000,6,17857,783,78.3,2143,17857
40000,6,35875,1334,133.4,4125,35875
60000,6,53815,1618,161.8,6185,53815
80000,6,71816,2092,209.2,8184,71816
100000,6,89836,1506,150.6,10164,89836
2,7,2,1,0.1,0,2
3,7,1,1,0.1,2,1
100,7,86,36,3.6,14,86
200,7,173,59,5.9,27,173
2000,7,1747,451,45.1,253,1747
10000,7,8879,937,93.7,1121,8879
20000,7,17950,1232,123.2,2050,17950
40000,7,35950,1306,130.6,4050,35950
60000,7,53888,1476,147.6,6112,53888
80000,7,71874,1327,132.7,8126,71874
100000,7,89977,1809,180.9,10023,89977
2,8,1,1,0.1,1,1
3,8,3,1,0.1,0,3
100,8,90,48,4.8,10,90
200,8,172,64,6.4,28,172
2000,8,1755,342,34.2,245,1755
10000,8,8925,769,76.9,1075,8925
20000,8,17873,1077,107.7,2127,17873
40000,8,35933,1572,157.2,4067,35933
60000,8,53904,1154,115.4,6096,53904
80000,8,71947,1875,187.5,8053,71947
100000,8,89769,1536,153.6,10231,89769
2,9,2,1,0.1,0,2
3,9,3,1,0.1,0,3
100,9,86,50,5.0,14,86
200,9,178,90,9.0,22,178
2000,9,1720,311,31.1,280,1720
10000,9,8946,695,69.5,1054,8946
20000,9,17907,1260,126.0,2093,17907
40000,9,35905,1236,123.6,4095,35905
60000,9,53734,1726,172.6,6266,53734
80000,9,71687,1839,183.9,8313,71687
100000,9,89783,1569,156.9,10217,89783
2,10,2,1,0.1,0,2
3,10,3,1,0.1,0,3
100,10,90,41,4.1,10,90
200,10,173,54,5.4,27,173
2000,10,1745,455,45.5,255,1745
10000,10,8878,968,96.8,1122,8878
20000,10,17859,1143,114.3,2141,17859
40000,10,35865,1671,167.1,4135,35865
60000,10,53836,1585,158.5,6164,53836
80000,10,71914,1852,185.2,8086,71914
100000,10,89894,1295,129.5,10106,89894
2,11,1,1,0.1,1,1
3,11,3,1,0.1,0,3
100,11,87,34,3.4,13,87
200,11,175,68,6.8,25,175
2000,11,1770,463,46.3,230,1770
10000,11,8922,813,81.3,1078,8922
20000,11,17902,1200,120.0,2098,17902
40000,11,35826,1177,117.7,4174,35826
60000,11,53746,1273,127.3,6254,53746
80000,11,71886,1253,125.3,8114,71886
100000,11,89929,1770,177.0,10071,89929
2,12,2,1,0.1,0,2
3,12,2,1,0.1,1,2
100,12,88,34,3.4,12,88
200,12,172,60,6.0,28,172
2000,12,1755,416,41.6,245,1755
10000,12,8888,761,76.1,1112,8888
20000,12,17869,1453,145.3,2131,17869
