Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,4,2,0.2,1,4
3,1,7,4,0.4,0,7
100,1,178,100,10.0,23,178
200,1,351,200,20.0,50,351
2000,1,3353,2000,200.0,648,3353
10000,1,16982,10000,1000.0,3019,16982
20000,1,33993,20000,2000.0,6008,33993
40000,1,68142,40000,4000.0,11859,68142
60000,1,102260,60000,6000.0,17741,102260
80000,1,136059,80000,8000.0,23942,136059
100000,1,169854,100000,10000.0,30147,169854
2,2,3,3,0.3,2,3
3,2,7,4,0.4,0,7
100,2,167,100,10.0,34,167
200,2,334,200,20.0,67,334
2000,2,3412,2000,200.0,589,3412
10000,2,16910,10000,1000.0,3091,16910
20000,2,33912,20000,2000.0,6089,33912
40000,2,67996,40000,4000.0,12005,67996
60000,2,102145,60000,6000.0,17856,102145
80000,2,135913,80000,8000.0,24088,135913
100000,2,170143,100000,10000.0,29858,170143
2,3,4,2,0.2,1,4
3,3,6,4,0.4,1,6
100,3,173,100,10.0,28,173
200,3,337,200,20.0,64,337
2000,3,3394,2000,200.0,607,3394
10000,3,17011,10000,1000.0,2990,17011
20000,3,34114,20000,2000.0,5887,34114
40000,3,67960,40000,4000.0,12041,67960
60000,3,102176,60000,6000.0,17825,102176
80000,3,136049,80000,8000.0,23952,136049
100000,3,169894,100000,10000.0,30107,169894
2,4,5,3,0.3,0,5
3,4,6,3,0.3,1,6
100,4,165,100,10.0,36,165
200,4,338,200,20.0,63,338
2000,4,3389,2000,200.0,612,3389
10000,4,16963,10000,1000.0,3038,16963
20000,4,33974,20000,2000.0,6027,33974
40000,4,67951,40000,4000.0,12050,67951
60000,4,101971,60000,6000.0,18030,101971
80000,4,135880,80000,8000.0,24121,135880
100000,4,170078,100000,10000.0,29923,170078
2,5,4,3,0.3,1,4
3,5,5,4,0.4,2,5
100,5,171,100,10.0,30,171
200,5,330,200,20.0,71,330
2000,5,3422,2000,200.0,579,3422
10000,5,16915,10000,1000.0,3086,16915
20000,5,34094,20000,2000.0,5907,34094
40000,5,68055,40000,4000.0,11946,68055
60000,5,102283,60000,6000.0,17718,102283
80000,5,135936,80000,8000.0,24065,135936
100000,5,170221,100000,10000.0,29780,170221
2,6,5,3,0.3,0,5
3,6,5,3,0.3,2,5
100,6,177,100,10.0,24,177
200,6,343,200,20.0,58,343
2000,6,3408,2000,200.0,593,3408
10000,6,16978,10000,1000.0,3023,16978
20000,6,33894,20000,2000.0,6107,33894
40000,6,68206,40000,4000.0,11795,68206
60000,6,102006,60000,6000.0,17995,102006
80000,6,135924,80000,8000.0,24077,135924
100000,6,169997,100000,10000.0,30004,169997
2,7,4,3,0.3,1,4
3,7,7,4,0.4,0,7
100,7,170,100,10.0,31,170
200,7,347,200,20.0,54,347
2000,7,3344,2000,200.0,657,3344
10000,7,16989,10000,1000.0,3012,16989
20000,7,34011,20000,2000.0,5990,34011
40000,7,68102,40000,4000.0,11899,68102
60000,7,101940,60000,6000.0,18061,101940
80000,7,135905,80000,8000.0,24096,135905
100000,7,170144,100000,10000.0,29857,170144
2,8,5,3,0.3,0,5
3,8,6,4,0.4,1,6
100,8,167,100,10.0,34,167
200,8,337,200,20.0,64,337
2000,8,3383,2000,200.0,618,3383
10000,8,17070,10000,1000.0,2931,17070
20000,8,33982,20000,2000.0,6019,33982
40000,8,67911,40000,4000.0,12090,67911
60000,8,102022,60000,6000.0,17979,102022
80000,8,135783,80000,8000.0,24218,135783
100000,8,169998,100000,10000.0,30003,169998
2,9,4,2,0.2,1,4
3,9,7,4,0.4,0,7
100,9,165,100,10.0,36,165
200,9,346,200,20.0,55,346
2000,9,3381,2000,200.0,620,3381
10000,9,17031,10000,1000.0,2970,17031
20000,9,33923,20000,2000.0,6078,33923
40000,9,68041,40000,4000.0,11960,68041
60000,9,101950,60000,6000.0,18051,101950
80000,9,135908,80000,8000.0,24093,135908
100000,9,169942,100000,10000.0,30059,169942
2,10,4,3,0.3,1,4
3,10,6,4,0.4,1,6
100,10,168,100,10.0,33,168
200,10,325,200,20.0,76,325
2000,10,3428,2000,200.0,573,3428
10000,10,17002,10000,1000.0,2999,17002
20000,10,34123,20000,2000.0,5878,34123
40000,10,67984,40000,4000.0,12017,67984
60000,10,102027,60000,6000.0,17974,102027
80000,10,135927,80000,8000.0,24074,135927
100000,10,170112,100000,10000.0,29889,170112
2,11,5,3,0.3,0,5
3,11,5,4,0.4,2,5
100,11,168,100,10.0,33,168
200,11,338,200,20.0,63,338
2000,11,3368,2000,200.0,633,3368
10000,11,17086,10000,1000.0,2915,17086
20000,11,34034,20000,2000.0,5967,34034
40000,11,68071,40000,4000.0,11930,68071
60000,11,101944,60000,6000.0,18057,101944
80000,11,136183,80000,8000.0,23818,136183
100000,11,169796,100000,10000.0,30205,169796
2,12,4,2,0.2,1,4
3,12,6,3,0.3,1,6
100,12,170,100,10.0,31,170
200,12,332,200,20.0,69,332
2000,12,3372,2000,200.0,629,3372
10000,12,17003,10000,1000.0,2998,17003
20000,12,34006,20000,2000.0,5995,34006
40000,12,67825,40000,4000.0,12176,67825
60000,12,102038,60000,6000.0,17963,102038
80000,12,135864,80000,8000.0,24137,135864
100000,12,170060,100000,10000.0,29941,170060
2,13,5,3,0.3,0,5
3,13,6,3,0.3,1,6
100,13,166,100,10.0,35,166
200,13,335,200,20.0,66,335
2000,13,3421,2000,200.0,580,3421
10000,13,16954,10000,1000.0,3047,16954
20000,13,33991,20000,2000.0,6010,33991
