Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.01,1.0,1.0
3,1,0,1,0.01,3.0,0.0
100,1,47,1,0.01,53.0,47.0
200,1,100,1,0.01,100.0,100.0
2000,1,1023,1,0.01,977.0,1023.0
10000,1,5102,1,0.01,4898.0,5102.0
20000,1,9936,1,0.01,10064.0,9936.0
40000,1,19920,1,0.01,20080.0,19920.0
60000,1,30242,1,0.01,29758.0,30242.0
80000,1,40056,1,0.01,39944.0,40056.0
100000,1,50067,1,0.01,49933.0,50067.0
2,2,0,1,0.01,2.0,0.0
3,2,1,1,0.01,2.0,1.0
100,2,43,1,0.01,57.0,43.0
200,2,106,1,0.01,94.0,106.0
2000,2,1031,1,0.01,969.0,1031.0
10000,2,4989,1,0.01,5011.0,4989.0
20000,2,9963,1,0.01,10037.0,9963.0
40000,2,20132,1,0.01,19868.0,20132.0
60000,2,30164,1,0.01,29836.0,30164.0
80000,2,40007,1,0.01,39993.0,40007.0
100000,2,49934,1,0.01,50066.0,49934.0
2,3,1,1,0.01,1.0,1.0
3,3,2,1,0.01,1.0,2.0
100,3,45,1,0.01,55.0,45.0
200,3,102,1,0.01,98.0,102.0
2000,3,983,1,0.01,1017.0,983.0
10000,3,4959,1,0.01,5041.0,4959.0
20000,3,10040,1,0.01,9960.0,10040.0
40000,3,20015,1,0.01,19985.0,20015.0
60000,3,30248,1,0.01,29752.0,30248.0
80000,3,39966,1,0.01,40034.0,39966.0
100000,3,50015,1,0.01,49985.0,50015.0
2,4,2,1,0.01,0.0,2.0
3,4,3,1,0.01,0.0,3.0
100,4,50,1,0.01,50.0,50.0
200,4,104,1,0.01,96.0,104.0
2000,4,1004,1,0.01,996.0,1004.0
10000,4,4991,1,0.01,5009.0,4991.0
20000,4,9897,1,0.01,10103.0,9897.0
40000,4,19911,1,0.01,20089.0,19911.0
60000,4,29817,1,0.01,30183.0,29817.0
80000,4,40149,1,0.01,39851.0,40149.0
100000,4,50291,1,0.01,49709.0,50291.0
2,5,2,1,0.01,0.0,2.0
3,5,1,1,0.01,2.0,1.0
100,5,57,1,0.01,43.0,57.0
200,5,108,1,0.01,92.0,108.0
2000,5,961,1,0.01,1039.0,961.0
10000,5,5032,1,0.01,4968.0,5032.0
20000,5,10039,1,0.01,9961.0,10039.0
40000,5,20085,1,0.01,19915.0,20085.0
60000,5,29992,1,0.01,30008.0,29992.0
80000,5,40290,1,0.01,39710.0,40290.0
100000,5,50131,1,0.01,49869.0,50131.0
2,6,1,1,0.01,1.0,1.0
3,6,1,1,0.01,2.0,1.0
100,6,49,1,0.01,51.0,49.0
200,6,104,1,0.01,96.0,104.0
2000,6,1020,1,0.01,980.0,1020.0
10000,6,5028,1,0.01,4972.0,5028.0
20000,6,10042,1,0.01,9958.0,10042.0
40000,6,19813,1,0.01,20187.0,19813.0
60000,6,29818,1,0.01,30182.0,29818.0
80000,6,40016,1,0.01,39984.0,40016.0
100000,6,50051,1,0.01,49949.0,50051.0
2,7,1,1,0.01,1.0,1.0
3,7,1,1,0.01,2.0,1.0
100,7,56,1,0.01,44.0,56.0
200,7,103,1,0.01,97.0,103.0
2000,7,1012,1,0.01,988.0,1012.0
10000,7,4926,1,0.01,5074.0,4926.0
20000,7,9999,1,0.01,10001.0,9999.0
40000,7,19967,1,0.01,20033.0,19967.0
60000,7,29994,1,0.01,30006.0,29994.0
80000,7,39995,1,0.01,40005.0,39995.0
100000,7,49946,1,0.01,50054.0,49946.0
2,8,1,1,0.01,1.0,1.0
3,8,3,1,0.01,0.0,3.0
100,8,53,1,0.01,47.0,53.0
200,8,101,1,0.01,99.0,101.0
2000,8,978,1,0.01,1022.0,978.0
10000,8,4969,1,0.01,5031.0,4969.0
20000,8,9914,1,0.01,10086.0,9914.0
40000,8,20046,1,0.01,19954.0,20046.0
60000,8,29899,1,0.01,30101.0,29899.0
80000,8,40091,1,0.01,39909.0,40091.0
100000,8,49968,1,0.01,50032.0,49968.0
2,9,1,1,0.01,1.0,1.0
3,9,2,1,0.01,1.0,2.0
100,9,50,1,0.01,50.0,50.0
200,9,102,1,0.01,98.0,102.0
2000,9,1009,1,0.01,991.0,1009.0
10000,9,4955,1,0.01,5045.0,4955.0
20000,9,10082,1,0.01,9918.0,10082.0
40000,9,20061,1,0.01,19939.0,20061.0
60000,9,30085,1,0.01,29915.0,30085.0
80000,9,39963,1,0.01,40037.0,39963.0
100000,9,50372,1,0.01,49628.0,50372.0
2,10,2,1,0.01,0.0,2.0
3,10,3,1,0.01,0.0,3.0
100,10,49,1,0.01,51.0,49.0
200,10,104,1,0.01,96.0,104.0
2000,10,1030,1,0.01,970.0,1030.0
10000,10,5054,1,0.01,4946.0,5054.0
20000,10,10008,1,0.01,9992.0,10008.0
40000,10,20092,1,0.01,19908.0,20092.0
60000,10,30078,1,0.01,29922.0,30078.0
80000,10,40127,1,0.01,39873.0,40127.0
100000,10,49925,1,0.01,50075.0,49925.0
2,11,2,1,0.01,0.0,2.0
3,11,2,1,0.01,1.0,2.0
100,11,51,1,0.01,49.0,51.0
200,11,98,1,0.01,102.0,98.0
2000,11,963,1,0.01,1037.0,963.0
10000,11,4968,1,0.01,5032.0,4968.0
20000,11,10029,1,0.01,9971.0,10029.0
40000,11,20008,1,0.01,19992.0,20008.0
60000,11,29951,1,0.01,30049.0,29951.0
80000,11,39889,1,0.01,40111.0,39889.0
100000,11,49876,1,0.01,50124.0,49876.0
2,12,2,1,0.01,0.0,2.0
3,12,1,1,0.01,2.0,1.0
100,12,41,1,0.01,59.0,41.0
200,12,94,1,0.01,106.0,94.0
2000,12,1024,1,0.01,976.0,1024.0
10000,12,4999,1,0.01,5001.0,4999.0
20000,12,10055,1,0.01,9945.0,10055.0
40000,12,20039,1,0.01,19961.0,20039.0
60000,12,29974,1,0.01,30026.0,29974.0
80000,12,39992,1,0.01,40008.0,39992.0
100000,12,50298,1,0.01,49702.0,50298.0
2,13,1,1,0.01,1.0,1.0
3,13,2,1,0.01,1.0,2.0
100,13,43,1,0.01,57.0,43.0
200,13,105,1,0.01,95.0,105.0
2000,13,999,1,0.01,1001.0,999.0
10000,13,5063,1,0.01,4937.0,5063.0
20000,13,9976,1,0.01,10024.0,9976.0
40000,13,19994,1,0.01,20006.0,19994.0
60000,13,29935,1,0.01,30065.0,29935.0
80000,13,40278,1,0.01,39722.0,40278.0
100000,13,50176,1,0.01,49824.0,50176.0
2,14,2,1,0.01,0.0,2.0
3,14,3,1,0.01,0.0,3.0
100,14,43,1,0.01,57.0,43.0
200,14,92,1,0.01,108.0,92.0
2000,14,1011,1,0.01,989.0,1011.0
10000,14,5007,1,0.01,4993.0,5007.0
20000,14,10092,1,0.01,9908.0,10092.0
40000,14,20078,1,0.01,19922.0,20078.0
60000,14,30068,1,0.01,29932.0,30068.0
80000,14,40113,1,0.01,39887.0,40113.0
100000,14,49936,1,0.01,50064.0,49936.0
2,15,2,1,0.01,0.0,2.0
3,15,3,1,0.01,0.0,3.0
100,15,51,1,0.01,49.0,51.0
200,15,111,1,0.01,89.0,111.0
2000,15,1012,1,0.01,988.0,1012.0
10000,15,5008,1,0.01,4992.0,5008.0
20000,15,10070,1,0.01,9930.0,10070.0
40000,15,19873,1,0.01,20127.0,19873.0
60000,15,30022,1,0.01,29978.0,30022.0
80000,15,39887,1,0.01,40113.0,39887.0
100000,15,49851,1,0.01,50149.0,49851.0
2,16,2,1,0.01,0.0,2.0
3,16,2,1,0.01,1.0,2.0
100,16,51,1,0.01,49.0,51.0
200,16,107,1,0.01,93.0,107.0
2000,16,971,1,0.01,1029.0,971.0
10000,16,4988,1,0.01,5012.0,4988.0
20000,16,10093,1,0.01,9907.0,10093.0
40000,16,19922,1,0.01,20078.0,19922.0
60000,16,30143,1,0.01,29857.0,30143.0
80000,16,39992,1,0.01,40008.0,39992.0
100000,16,50039,1,0.01,49961.0,50039.0
2,17,0,1,0.01,2.0,0.0
3,17,1,1,0.01,2.0,1.0
100,17,46,1,0.01,54.0,46.0
200,17,96,1,0.01,104.0,96.0
2000,17,1007,1,0.01,993.0,1007.0
10000,17,5068,1,0.01,4932.0,5068.0
20000,17,9918,1,0.01,10082.0,9918.0
40000,17,20004,1,0.01,19996.0,20004.0
60000,17,29829,1,0.01,30171.0,29829.0
80000,17,40257,1,0.01,39743.0,40257.0
100000,17,49745,1,0.01,50255.0,49745.0
2,18,1,1,0.01,1.0,1.0
3,18,2,1,0.01,1.0,2.0
100,18,51,1,0.01,49.0,51.0
200,18,94,1,0.01,106.0,94.0
2000,18,958,1,0.01,1042.0,958.0
10000,18,4874,1,0.01,5126.0,4874.0
20000,18,10123,1,0.01,9877.0,10123.0
40000,18,19934,1,0.01,20066.0,19934.0
60000,18,30057,1,0.01,29943.0,30057.0
80000,18,39921,1,0.01,40079.0,39921.0
100000,18,50151,1,0.01,49849.0,50151.0
2,19,0,1,0.01,2.0,0.0
3,19,0,1,0.01,3.0,0.0
100,19,46,1,0.01,54.0,46.0
200,19,103,1,0.01,97.0,103.0
2000,19,935,1,0.01,1065.0,935.0
10000,19,4937,1,0.01,5063.0,4937.0
20000,19,10049,1,0.01,9951.0,10049.0
40000,19,19991,1,0.01,20009.0,19991.0
60000,19,29883,1,0.01,30117.0,29883.0
80000,19,40153,1,0.01,39847.0,40153.0
100000,19,50229,1,0.01,49771.0,50229.0
2,20,1,1,0.01,1.0,1.0
3,20,2,1,0.01,1.0,2.0
100,20,46,1,0.01,54.0,46.0
200,20,99,1,0.01,101.0,99.0
2000,20,989,1,0.01,1011.0,989.0
10000,20,4877,1,0.01,5123.0,4877.0
20000,20,9981,1,0.01,10019.0,9981.0
40000,20,19973,1,0.01,20027.0,19973.0
60000,20,30061,1,0.01,29939.0,30061.0
80000,20,40098,1,0.01,39902.0,40098.0
