Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.79,1.0,0.0,0.21,1.79
3,2.73,1.04,0.0,0.27,2.73
100,89.2,48.96,0.251,10.8,89.2
200,180.02,98.02,0.4930000000000001,19.98,180.02
2000,1795.18,961.52,4.803999999999999,204.82,1795.18
10000,8980.06,4664.07,23.32099999999999,1019.94,8980.06
20000,17953.0,8831.22,44.16,2047.0,17953.0
40000,35916.7,17126.38,85.62999999999998,4083.3,35916.7
60000,53877.68,24700.24,123.502,6122.32,53877.68
80000,71834.22,32248.1,161.23499999999999,8165.78,71834.22
100000,89786.36,39581.89,197.90499999999992,10213.64,89786.36
