Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.01,0,2
3,1,3,1,0.01,0,3
100,1,92,50,0.25,8,92
200,1,176,85,0.43,24,176
2000,1,1790,778,3.89,210,1790
10000,1,8982,2832,14.16,1018,8982
20000,1,17954,8652,43.26,2046,17954
40000,1,35949,10747,53.74,4051,35949
60000,1,53889,19857,99.28,6111,53889
80000,1,71932,26674,133.37,8068,71932
100000,1,89936,26471,132.35,10064,89936
2,2,0,1,0.01,2,0
3,2,3,1,0.01,0,3
100,2,86,50,0.25,14,86
200,2,185,107,0.54,15,185
2000,2,1808,993,4.96,192,1808
10000,2,8930,4519,22.59,1070,8930
20000,2,17909,6780,33.9,2091,17909
40000,2,35942,20590,102.95,4058,35942
60000,2,53922,17624,88.12,6078,53922
80000,2,71876,12103,60.52,8124,71876
100000,2,89796,39517,197.58,10204,89796
2,3,1,1,0.01,1,1
3,3,3,1,0.01,0,3
100,3,94,51,0.26,6,94
200,3,178,92,0.46,22,178
2000,3,1815,954,4.77,185,1815
10000,3,8979,5536,27.68,1021,8979
20000,3,18000,6255,31.27,2000,18000
40000,3,35845,15634,78.17,4155,35845
60000,3,53985,28564,142.82,6015,53985
80000,3,71952,23796,118.98,8048,71952
100000,3,90018,30448,152.24,9982,90018
2,4,2,1,0.01,0,2
3,4,2,2,0.01,1,2
100,4,96,50,0.25,4,96
200,4,180,104,0.52,20,180
2000,4,1812,943,4.71,188,1812
10000,4,9014,3440,17.2,986,9014
20000,4,17925,7929,39.65,2075,17925
40000,4,35959,11083,55.42,4041,35959
60000,4,53932,20566,102.83,6068,53932
80000,4,71873,16166,80.83,8127,71873
100000,4,89798,22790,113.95,10202,89798
2,5,2,1,0.01,0,2
3,5,2,2,0.01,1,2
100,5,91,52,0.26,9,91
200,5,186,95,0.48,14,186
2000,5,1773,879,4.39,227,1773
10000,5,8988,4392,21.96,1012,8988
20000,5,17979,10775,53.88,2021,17979
40000,5,35923,12042,60.21,4077,35923
60000,5,53934,17485,87.42,6066,53934
80000,5,71913,18531,92.65,8087,71913
100000,5,89654,23736,118.68,10346,89654
2,6,2,1,0.01,0,2
3,6,2,2,0.01,1,2
100,6,88,48,0.24,12,88
200,6,179,89,0.45,21,179
2000,6,1801,884,4.42,199,1801
10000,6,8979,3190,15.95,1021,8979
20000,6,17946,8124,40.62,2054,17946
40000,6,35863,14802,74.01,4137,35863
60000,6,53865,19085,95.42,6135,53865
80000,6,71775,26020,130.1,8225,71775
100000,6,89736,31303,156.51,10264,89736
2,7,2,1,0.01,0,2
3,7,3,1,0.01,0,3
100,7,92,49,0.25,8,92
200,7,186,95,0.48,14,186
2000,7,1795,984,4.92,205,1795
10000,7,9013,5089,25.44,987,9013
20000,7,18012,6472,32.36,1988,18012
40000,7,35989,13115,65.58,4011,35989
60000,7,53857,25396,126.98,6143,53857
80000,7,72010,22617,113.08,7990,72010
100000,7,89904,18895,94.47,10096,89904
2,8,2,1,0.01,0,2
3,8,3,1,0.01,0,3
100,8,93,49,0.25,7,93
200,8,180,93,0.47,20,180
2000,8,1805,954,4.77,195,1805
10000,8,8992,5652,28.26,1008,8992
20000,8,17983,8822,44.11,2017,17983
40000,8,35878,12123,60.62,4122,35878
60000,8,53870,20244,101.22,6130,53870
80000,8,71807,23337,116.68,8193,71807
100000,8,89826,18473,92.36,10174,89826
2,9,2,1,0.01,0,2
3,9,3,1,0.01,0,3
100,9,90,51,0.26,10,90
200,9,175,107,0.54,25,175
2000,9,1807,1396,6.98,193,1807
10000,9,8981,4753,23.76,1019,8981
20000,9,17954,7213,36.06,2046,17954
40000,9,35886,9933,49.67,4114,35886
60000,9,53891,17378,86.89,6109,53891
80000,9,71907,18555,92.77,8093,71907
100000,9,89769,35394,176.97,10231,89769
2,10,2,1,0.01,0,2
3,10,3,1,0.01,0,3
100,10,95,50,0.25,5,95
200,10,175,102,0.51,25,175
2000,10,1798,909,4.54,202,1798
10000,10,8995,4247,21.24,1005,8995
20000,10,17953,10318,51.59,2047,17953
40000,10,35832,16899,84.49,4168,35832
60000,10,53978,20284,101.42,6022,53978
80000,10,71776,26194,130.97,8224,71776
100000,10,89844,32529,162.64,10156,89844
2,11,1,1,0.01,1,1
3,11,3,1,0.01,0,3
100,11,91,49,0.25,9,91
200,11,180,90,0.45,20,180
2000,11,1783,1114,5.57,217,1783
10000,11,8981,3993,19.97,1019,8981
20000,11,17932,7094,35.47,2068,17932
40000,11,35879,17233,86.16,4121,35879
60000,11,54066,15897,79.49,5934,54066
80000,11,71879,18449,92.24,8121,71879
100000,11,89876,25472,127.36,10124,89876
2,12,2,1,0.01,0,2
3,12,3,1,0.01,0,3
100,12,93,49,0.25,7,93
200,12,177,89,0.45,23,177
2000,12,1766,1132,5.66,234,1766
10000,12,8979,3809,19.05,1021,8979
20000,12,17932,8140,40.7,2068,17932
40000,12,35910,15452,77.26,4090,35910
60000,12,53940,15726,78.63,6060,53940
80000,12,72009,21918,109.59,7991,72009
100000,12,89975,32334,161.67,10025,89975
2,13,2,1,0.01,0,2
3,13,3,1,0.01,0,3
100,13,88,51,0.26,12,88
200,13,176,108,0.54,24,176
2000,13,1813,916,4.58,187,1813
10000,13,8978,3989,19.95,1022,8978
20000,13,17902,6237,31.18,2098,17902
40000,13,35864,14591,72.96,4136,35864
60000,13,53946,17445,87.22,6054,53946
80000,13,71795,27001,135.0,8205,71795
100000,13,89975,20020,100.1,10025,89975
2,14,2,1,0.01,0,2
