Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.01,1,1
3,1,1,2,0.01,2,1
100,1,43,5,0.03,57,43
200,1,93,117,0.59,107,93
2000,1,989,1622,8.11,1011,989
10000,1,5026,1585,7.92,4974,5026
20000,1,10036,895,4.47,9964,10036
40000,1,19918,17758,88.79,20082,19918
60000,1,29689,20374,101.87,30311,29689
80000,1,39831,38738,193.69,40169,39831
100000,1,49995,23872,119.36,50005,49995
2,2,1,1,0.01,1,1
3,2,1,2,0.01,2,1
100,2,47,80,0.4,53,47
200,2,96,51,0.26,104,96
2000,2,982,164,0.82,1018,982
10000,2,5009,9914,49.57,4991,5009
20000,2,10013,2137,10.69,9987,10013
40000,2,19968,23913,119.56,20032,19968
60000,2,29902,10502,52.51,30098,29902
80000,2,40014,12663,63.32,39986,40014
100000,2,49757,20172,100.86,50243,49757
2,3,1,1,0.01,1,1
3,3,1,1,0.01,2,1
100,3,53,65,0.33,47,53
200,3,101,88,0.44,99,101
2000,3,1020,1770,8.85,980,1020
10000,3,4944,5787,28.93,5056,4944
20000,3,10042,5062,25.31,9958,10042
40000,3,19880,21743,108.71,20120,19880
60000,3,30058,24992,124.96,29942,30058
80000,3,40042,10099,50.5,39958,40042
100000,3,49836,10966,54.83,50164,49836
2,4,2,1,0.01,0,2
3,4,0,2,0.01,3,0
100,4,55,36,0.18,45,55
200,4,83,114,0.57,117,83
2000,4,992,941,4.7,1008,992
10000,4,4932,5855,29.27,5068,4932
20000,4,9981,2393,11.97,10019,9981
40000,4,19860,9659,48.3,20140,19860
60000,4,29436,54781,273.9,30564,29436
80000,4,39826,57775,288.87,40174,39826
100000,4,49949,22601,113.0,50051,49949
2,5,0,1,0.01,2,0
3,5,1,2,0.01,2,1
100,5,56,3,0.02,44,56
200,5,106,80,0.4,94,106
2000,5,964,473,2.36,1036,964
10000,5,4993,1105,5.52,5007,4993
20000,5,9912,7509,37.55,10088,9912
40000,5,20018,9659,48.3,19982,20018
60000,5,29958,19037,95.18,30042,29958
80000,5,39841,32588,162.94,40159,39841
100000,5,49873,22665,113.32,50127,49873
2,6,0,1,0.01,2,0
3,6,1,1,0.01,2,1
100,6,43,60,0.3,57,43
200,6,95,55,0.28,105,95
2000,6,1016,892,4.46,984,1016
10000,6,4975,316,1.58,5025,4975
20000,6,10076,12931,64.66,9924,10076
40000,6,19858,7874,39.37,20142,19858
60000,6,29719,23137,115.68,30281,29719
80000,6,39726,33960,169.8,40274,39726
100000,6,50198,31,0.16,49802,50198
2,7,2,1,0.01,0,2
3,7,2,2,0.01,1,2
100,7,50,87,0.44,50,50
200,7,95,126,0.63,105,95
2000,7,997,1638,8.19,1003,997
10000,7,5022,3155,15.78,4978,5022
20000,7,9956,10103,50.52,10044,9956
40000,7,19755,10112,50.56,20245,19755
60000,7,29728,48784,243.92,30272,29728
80000,7,40014,16594,82.97,39986,40014
100000,7,50020,3349,16.75,49980,50020
2,8,1,1,0.01,1,1
3,8,0,2,0.01,3,0
100,8,51,97,0.49,49,51
200,8,96,185,0.93,104,96
2000,8,990,1708,8.54,1010,990
10000,8,4939,5789,28.94,5061,4939
20000,8,9982,7254,36.27,10018,9982
40000,8,19855,26657,133.28,20145,19855
60000,8,29757,44327,221.63,30243,29757
80000,8,39934,20970,104.85,40066,39934
100000,8,49781,54625,273.12,50219,49781
2,9,2,1,0.01,0,2
3,9,1,2,0.01,2,1
100,9,47,15,0.08,53,47
200,9,104,184,0.92,96,104
2000,9,989,1083,5.41,1011,989
10000,9,4989,3244,16.22,5011,4989
20000,9,9993,4367,21.83,10007,9993
40000,9,19876,5238,26.19,20124,19876
60000,9,30060,14478,72.39,29940,30060
80000,9,39503,55787,278.93,40497,39503
100000,9,49863,21157,105.78,50137,49863
2,10,2,1,0.01,0,2
3,10,2,2,0.01,1,2
100,10,54,45,0.23,46,54
200,10,87,29,0.15,113,87
2000,10,1001,1603,8.01,999,1001
10000,10,5004,1501,7.5,4996,5004
20000,10,9980,5260,26.3,10020,9980
40000,10,19815,16332,81.66,20185,19815
60000,10,29827,5254,26.27,30173,29827
80000,10,39800,24641,123.2,40200,39800
100000,10,50145,1992,9.96,49855,50145
2,11,0,1,0.01,2,0
3,11,2,2,0.01,1,2
100,11,51,59,0.3,49,51
200,11,84,81,0.41,116,84
2000,11,1008,218,1.09,992,1008
10000,11,4937,6910,34.55,5063,4937
20000,11,9971,12193,60.97,10029,9971
40000,11,19905,3985,19.93,20095,19905
60000,11,30050,13133,65.67,29950,30050
80000,11,39974,2554,12.77,40026,39974
100000,11,49959,34101,170.5,50041,49959
2,12,2,1,0.01,0,2
3,12,3,2,0.01,0,3
100,12,50,46,0.23,50,50
200,12,99,143,0.72,101,99
2000,12,996,1608,8.04,1004,996
10000,12,5004,696,3.48,4996,5004
20000,12,9827,4300,21.5,10173,9827
40000,12,19908,20117,100.58,20092,19908
60000,12,29892,11965,59.83,30108,29892
80000,12,39766,12342,61.71,40234,39766
100000,12,50043,5107,25.53,49957,50043
2,13,0,1,0.01,2,0
3,13,0,2,0.01,3,0
100,13,47,79,0.4,53,47
200,13,100,85,0.43,100,100
2000,13,988,80,0.4,1012,988
10000,13,4949,2353,11.77,5051,4949
20000,13,9894,8779,43.9,10106,9894
40000,13,19873,7773,38.87,20127,19873
60000,13,29985,4229,21.15,30015,29985
80000,13,39729,22984,114.92,40271,39729
100000,13,50145,4966,24.83,49855,50145
2,14,2,1,0.01,0,2
3,14,1,2,0.01,2,1
100,14,51,3,0.02,49,51
200,14,98,109,0.55,102,98
2000,14,1038,293,1.46,962,1038
10000,14,4964,1866,9.33,5036,4964
20000,14,9901,6155,30.77,10099,9901
40000,14,20107,14559,72.8,19893,20107
60000,14,29875,8853,44.27,30125,29875
80000,14,40012,22637,113.18,39988,40012
100000,14,50087,18037,90.18,49913,50087
2,15,1,1,0.01,1,1
3,15,1,2,0.01,2,1
100,15,46,71,0.36,54,46
200,15,106,157,0.79,94,106
2000,15,1003,175,0.88,997,1003
10000,15,4942,4143,20.72,5058,4942
20000,15,9939,12544,62.72,10061,9939
40000,15,19946,10402,52.01,20054,19946
60000,15,29918,17993,89.96,30082,29918
80000,15,39773,28706,143.53,40227,39773
100000,15,49544,52023,260.11,50456,49544
2,16,2,1,0.01,0,2
3,16,2,2,0.01,1,2
100,16,48,6,0.03,52,48
200,16,103,76,0.38,97,103
2000,16,985,1469,7.34,1015,985
10000,16,5003,3308,16.54,4997,5003
