Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,0,2,0.2,2,0
3,1,2,3,0.3,1,2
100,1,77,100,10.0,23,77
200,1,164,200,20.0,36,164
2000,1,1599,2000,200.0,401,1599
10000,1,8028,10000,1000.0,1972,8028
20000,1,15962,20000,2000.0,4038,15962
40000,1,32178,40000,4000.0,7822,32178
60000,1,48082,60000,6000.0,11918,48082
80000,1,63970,80000,8000.0,16030,63970
100000,1,80028,100000,10000.0,19972,80028
2,2,1,2,0.2,1,1
3,2,2,3,0.3,1,2
100,2,84,100,10.0,16,84
200,2,160,200,20.0,40,160
2000,2,1570,2000,200.0,430,1570
10000,2,7991,10000,1000.0,2009,7991
20000,2,15992,20000,2000.0,4008,15992
40000,2,32032,40000,4000.0,7968,32032
60000,2,48170,60000,6000.0,11830,48170
80000,2,64035,80000,8000.0,15965,64035
100000,2,80004,100000,10000.0,19996,80004
2,3,2,2,0.2,0,2
3,3,2,3,0.3,1,2
100,3,81,100,10.0,19,81
200,3,170,200,20.0,30,170
2000,3,1597,2000,200.0,403,1597
10000,3,8050,10000,1000.0,1950,8050
20000,3,16029,20000,2000.0,3971,16029
40000,3,31928,40000,4000.0,8072,31928
60000,3,47943,60000,6000.0,12057,47943
80000,3,63963,80000,8000.0,16037,63963
100000,3,79944,100000,10000.0,20056,79944
2,4,1,2,0.2,1,1
3,4,3,3,0.3,0,3
100,4,84,100,10.0,16,84
200,4,160,200,20.0,40,160
2000,4,1617,2000,200.0,383,1617
10000,4,8009,10000,1000.0,1991,8009
20000,4,15986,20000,2000.0,4014,15986
40000,4,32003,40000,4000.0,7997,32003
60000,4,47915,60000,6000.0,12085,47915
80000,4,63995,80000,8000.0,16005,63995
100000,4,79794,100000,10000.0,20206,79794
2,5,1,2,0.2,1,1
3,5,3,3,0.3,0,3
100,5,77,100,10.0,23,77
200,5,163,200,20.0,37,163
2000,5,1599,2000,200.0,401,1599
10000,5,8021,10000,1000.0,1979,8021
20000,5,16039,20000,2000.0,3961,16039
40000,5,31984,40000,4000.0,8016,31984
