Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.63,2.0,0.19999999999999962,0.37,1.63
3,2.28,3.0,0.3000000000000005,0.72,2.28
100,85.96,43.15,4.315000000000003,14.04,85.96
200,172.29,73.48,7.348000000000002,27.71,172.29
2000,1726.07,730.63,73.06300000000002,273.93,1726.07
10000,8642.91,3600.74,360.07399999999996,1357.09,8642.91
20000,17298.39,7000.86,700.0859999999999,2701.61,17298.39
40000,34630.62,13800.69,1380.0690000000009,5369.38,34630.62
60000,52186.33,18301.06,1830.106000000001,7813.67,52186.33
80000,69355.55,26400.99,2640.0989999999997,10644.45,69355.55
100000,86390.09,36001.02,3600.1020000000003,13609.91,86390.09
