Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2,0,0.0,0.0,2.0
3,1,3,0,0.0,0.0,3.0
100,1,94,88,0.4,6.0,94.0
200,1,182,6,0.0,18.0,182.0
2000,1,1806,151,0.8,194.0,1806.0
10000,1,8961,430,2.1,1039.0,8961.0
20000,1,17982,532,2.7,2018.0,17982.0
40000,1,36071,966,4.8,3929.0,36071.0
60000,1,54055,1460,7.3,5945.0,54055.0
80000,1,71968,3585,17.9,8032.0,71968.0
100000,1,90070,6042,30.2,9930.0,90070.0
2,2,2,0,0.0,0.0,2.0
3,2,3,0,0.0,0.0,3.0
100,2,92,10,0.1,8.0,92.0
200,2,183,13,0.1,17.0,183.0
2000,2,1788,57,0.3,212.0,1788.0
10000,2,8950,285,1.4,1050.0,8950.0
20000,2,17924,451,2.3,2076.0,17924.0
40000,2,36003,1493,7.5,3997.0,36003.0
60000,2,53913,1795,9.0,6087.0,53913.0
80000,2,71933,2508,12.5,8067.0,71933.0
100000,2,89476,93432,467.2,10524.0,89476.0
2,3,1,0,0.0,1.0,1.0
3,3,2,3,0.0,1.0,2.0
100,3,92,8,0.0,8.0,92.0
200,3,173,16,0.1,27.0,173.0
2000,3,1779,95,0.5,221.0,1779.0
10000,3,8986,252,1.3,1014.0,8986.0
20000,3,17929,5335,26.7,2071.0,17929.0
40000,3,36057,1076,5.4,3943.0,36057.0
60000,3,53929,1477,7.4,6071.0,53929.0
80000,3,71839,9858,49.3,8161.0,71839.0
100000,3,90109,5874,29.4,9891.0,90109.0
2,4,2,0,0.0,0.0,2.0
3,4,3,0,0.0,0.0,3.0
100,4,90,35,0.2,10.0,90.0
200,4,181,18,0.1,19.0,181.0
2000,4,1790,78,0.4,210.0,1790.0
10000,4,8943,9503,47.5,1057.0,8943.0
20000,4,18009,2434,12.2,1991.0,18009.0
40000,4,35888,34335,171.7,4112.0,35888.0
60000,4,53962,5722,28.6,6038.0,53962.0
80000,4,71896,4345,21.7,8104.0,71896.0
100000,4,89882,25695,128.5,10118.0,89882.0
2,5,2,0,0.0,0.0,2.0
3,5,3,0,0.0,0.0,3.0
100,5,92,5,0.0,8.0,92.0
200,5,173,40,0.2,27.0,173.0
2000,5,1778,1867,9.3,222.0,1778.0
10000,5,8920,9696,48.5,1080.0,8920.0
20000,5,17913,1862,9.3,2087.0,17913.0
40000,5,36055,1538,7.7,3945.0,36055.0
60000,5,53984,1495,7.5,6016.0,53984.0
80000,5,72038,3139,15.7,7962.0,72038.0
100000,5,89925,6820,34.1,10075.0,89925.0
2,6,2,0,0.0,0.0,2.0
3,6,3,3,0.0,0.0,3.0
100,6,96,3,0.0,4.0,96.0
200,6,179,57,0.3,21.0,179.0
2000,6,1790,69,0.3,210.0,1790.0
10000,6,8946,1510,7.5,1054.0,8946.0
20000,6,17969,19477,97.4,2031.0,17969.0
40000,6,35949,1183,5.9,4051.0,35949.0
60000,6,53803,58138,290.7,6197.0,53803.0
80000,6,72074,2161,10.8,7926.0,72074.0
100000,6,90042,5690,28.4,9958.0,90042.0
2,7,2,0,0.0,0.0,2.0
3,7,3,0,0.0,0.0,3.0
100,7,89,3,0.0,11.0,89.0
200,7,182,194,1.0,18.0,182.0
2000,7,1820,363,1.8,180.0,1820.0
10000,7,8980,2423,12.1,1020.0,8980.0
20000,7,17934,19326,96.6,2066.0,17934.0
40000,7,36024,1302,6.5,3976.0,36024.0
60000,7,54016,26715,133.6,5984.0,54016.0
80000,7,71940,2180,10.9,8060.0,71940.0
100000,7,90134,2573,12.9,9866.0,90134.0
2,8,2,0,0.0,0.0,2.0
3,8,2,0,0.0,1.0,2.0
100,8,91,5,0.0,9.0,91.0
200,8,177,108,0.5,23.0,177.0
2000,8,1819,1275,6.4,181.0,1819.0
10000,8,8985,387,1.9,1015.0,8985.0
20000,8,18000,546,2.7,2000.0,18000.0
40000,8,35943,10883,54.4,4057.0,35943.0
