Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1,2,0.0,1.0,1.0
3,1,1,3,0.0,2.0,1.0
100,1,46,98,0.5,54.0,46.0
200,1,102,193,1.0,98.0,102.0
2000,1,1011,1939,9.7,989.0,1011.0
10000,1,4845,9569,47.8,5155.0,4845.0
20000,1,9914,17561,87.8,10086.0,9914.0
40000,1,19770,24428,122.1,20230.0,19770.0
60000,1,29936,16335,81.7,30064.0,29936.0
80000,1,40023,2284,11.4,39977.0,40023.0
100000,1,49901,5095,25.5,50099.0,49901.0
2,2,0,2,0.0,2.0,0.0
3,2,3,3,0.0,0.0,3.0
100,2,51,24,0.1,49.0,51.0
200,2,108,114,0.6,92.0,108.0
2000,2,999,1823,9.1,1001.0,999.0
10000,2,5000,269,1.3,5000.0,5000.0
20000,2,9889,19414,97.1,10111.0,9889.0
40000,2,19936,7890,39.5,20064.0,19936.0
60000,2,29555,58398,292.0,30445.0,29555.0
80000,2,39889,3922,19.6,40111.0,39889.0
100000,2,49253,97563,487.8,50747.0,49253.0
2,3,2,2,0.0,0.0,2.0
3,3,2,3,0.0,1.0,2.0
100,3,49,11,0.1,51.0,49.0
200,3,83,73,0.4,117.0,83.0
2000,3,994,1012,5.1,1006.0,994.0
10000,3,4965,1328,6.6,5035.0,4965.0
20000,3,10003,716,3.6,9997.0,10003.0
40000,3,19939,38564,192.8,20061.0,19939.0
60000,3,30151,1529,7.6,29849.0,30151.0
80000,3,39744,75680,378.4,40256.0,39744.0
100000,3,49703,97347,486.7,50297.0,49703.0
2,4,1,2,0.0,1.0,1.0
3,4,2,3,0.0,1.0,2.0
100,4,58,99,0.5,42.0,58.0
200,4,106,195,1.0,94.0,106.0
2000,4,1022,1825,9.1,978.0,1022.0
10000,4,4997,423,2.1,5003.0,4997.0
20000,4,10182,618,3.1,9818.0,10182.0
40000,4,19895,20262,101.3,20105.0,19895.0
60000,4,29738,58375,291.9,30262.0,29738.0
80000,4,39561,69318,346.6,40439.0,39561.0
100000,4,49883,23562,117.8,50117.0,49883.0
2,5,0,2,0.0,2.0,0.0
3,5,1,3,0.0,2.0,1.0
100,5,45,87,0.4,55.0,45.0
200,5,89,21,0.1,111.0,89.0
2000,5,970,1947,9.7,1030.0,970.0
10000,5,4984,9224,46.1,5016.0,4984.0
20000,5,9794,13953,69.8,10206.0,9794.0
40000,5,20035,6124,30.6,19965.0,20035.0
60000,5,29838,1612,8.1,30162.0,29838.0
80000,5,39908,9376,46.9,40092.0,39908.0
100000,5,49551,97018,485.1,50449.0,49551.0
2,6,0,2,0.0,2.0,0.0
3,6,2,3,0.0,1.0,2.0
100,6,50,99,0.5,50.0,50.0
200,6,94,187,0.9,106.0,94.0
2000,6,978,1955,9.8,1022.0,978.0
10000,6,4996,255,1.3,5004.0,4996.0
20000,6,10055,17853,89.3,9945.0,10055.0
40000,6,19929,16147,80.7,20071.0,19929.0
60000,6,29621,58473,292.4,30379.0,29621.0
80000,6,39424,58285,291.4,40576.0,39424.0
100000,6,49501,82736,413.7,50499.0,49501.0
2,7,0,2,0.0,2.0,0.0
3,7,2,3,0.0,1.0,2.0
100,7,45,92,0.5,55.0,45.0
200,7,96,195,1.0,104.0,96.0
2000,7,1002,69,0.3,998.0,1002.0
10000,7,4955,347,1.7,5045.0,4955.0
20000,7,9840,19409,97.0,10160.0,9840.0
40000,7,19625,38438,192.2,20375.0,19625.0
60000,7,30035,1637,8.2,29965.0,30035.0
80000,7,39926,2850,14.3,40074.0,39926.0
100000,7,49598,96711,483.6,50402.0,49598.0
2,8,1,2,0.0,1.0,1.0
3,8,1,3,0.0,2.0,1.0
100,8,52,98,0.5,48.0,52.0
200,8,93,194,1.0,107.0,93.0
2000,8,977,259,1.3,1023.0,977.0
10000,8,4932,9513,47.6,5068.0,4932.0
20000,8,9937,19502,97.5,10063.0,9937.0
40000,8,19966,5435,27.2,20034.0,19966.0
60000,8,29928,1718,8.6,30072.0,29928.0
80000,8,40123,2039,10.2,39877.0,40123.0
100000,8,50164,2920,14.6,49836.0,50164.0
2,9,1,2,0.0,1.0,1.0
3,9,0,3,0.0,3.0,0.0
100,9,49,17,0.1,51.0,49.0
200,9,103,196,1.0,97.0,103.0
2000,9,999,1951,9.8,1001.0,999.0
10000,9,4924,9651,48.3,5076.0,4924.0
20000,9,9772,19203,96.0,10228.0,9772.0
40000,9,19788,38480,192.4,20212.0,19788.0
60000,9,30010,2147,10.7,29990.0,30010.0
80000,9,39553,77281,386.4,40447.0,39553.0
100000,9,49631,97030,485.1,50369.0,49631.0
2,10,1,2,0.0,1.0,1.0
3,10,2,3,0.0,1.0,2.0
100,10,47,99,0.5,53.0,47.0
200,10,96,186,0.9,104.0,96.0
2000,10,948,1916,9.6,1052.0,948.0
10000,10,4909,9714,48.6,5091.0,4909.0
20000,10,10090,735,3.7,9910.0,10090.0
40000,10,19750,29513,147.6,20250.0,19750.0
60000,10,29742,58528,292.6,30258.0,29742.0
80000,10,39666,66152,330.8,40334.0,39666.0
100000,10,49848,97516,487.6,50152.0,49848.0
2,11,0,1,0.0,2.0,0.0
3,11,2,3,0.0,1.0,2.0
100,11,45,73,0.4,55.0,45.0
200,11,95,11,0.1,105.0,95.0
2000,11,976,702,3.5,1024.0,976.0
10000,11,4942,9716,48.6,5058.0,4942.0
20000,11,9950,8825,44.1,10050.0,9950.0
40000,11,19752,38881,194.4,20248.0,19752.0
60000,11,29954,29504,147.5,30046.0,29954.0
80000,11,39472,74163,370.8,40528.0,39472.0
100000,11,50152,4048,20.2,49848.0,50152.0
2,12,0,2,0.0,2.0,0.0
3,12,2,3,0.0,1.0,2.0
100,12,47,97,0.5,53.0,47.0
200,12,126,193,1.0,74.0,126.0
2000,12,1016,1952,9.8,984.0,1016.0
10000,12,4917,9725,48.6,5083.0,4917.0
20000,12,10023,16818,84.1,9977.0,10023.0
40000,12,19586,38985,194.9,20414.0,19586.0
60000,12,30005,2772,13.9,29995.0,30005.0
80000,12,39863,6489,32.4,40137.0,39863.0
100000,12,49400,94749,473.7,50600.0,49400.0
2,13,0,2,0.0,2.0,0.0
3,13,0,3,0.0,3.0,0.0
100,13,51,54,0.3,49.0,51.0
200,13,103,198,1.0,97.0,103.0
2000,13,953,1887,9.4,1047.0,953.0
10000,13,4989,347,1.7,5011.0,4989.0
20000,13,9884,725,3.6,10116.0,9884.0
40000,13,20148,1195,6.0,19852.0,20148.0
60000,13,30151,11678,58.4,29849.0,30151.0
80000,13,39649,74859,374.3,40351.0,39649.0
100000,13,49935,10641,53.2,50065.0,49935.0
2,14,0,2,0.0,2.0,0.0
3,14,3,3,0.0,0.0,3.0
100,14,53,95,0.5,47.0,53.0
200,14,99,9,0.0,101.0,99.0
2000,14,977,318,1.6,1023.0,977.0
10000,14,5032,9633,48.2,4968.0,5032.0
20000,14,10041,1756,8.8,9959.0,10041.0
40000,14,19836,25929,129.6,20164.0,19836.0
60000,14,30009,35949,179.7,29991.0,30009.0
80000,14,40087,16836,84.2,39913.0,40087.0
100000,14,49952,2636,13.2,50048.0,49952.0
2,15,1,2,0.0,1.0,1.0
3,15,1,3,0.0,2.0,1.0
100,15,43,10,0.1,57.0,43.0
200,15,85,197,1.0,115.0,85.0
2000,15,983,116,0.6,1017.0,983.0
10000,15,4950,321,1.6,5050.0,4950.0
20000,15,10041,790,3.9,9959.0,10041.0
40000,15,19799,38334,191.7,20201.0,19799.0
60000,15,29824,33651,168.3,30176.0,29824.0
80000,15,40043,24167,120.8,39957.0,40043.0
100000,15,50143,9009,45.0,49857.0,50143.0
2,16,1,2,0.0,1.0,1.0
3,16,1,3,0.0,2.0,1.0
100,16,57,93,0.5,43.0,57.0
200,16,106,195,1.0,94.0,106.0
2000,16,931,331,1.7,1069.0,931.0
10000,16,4985,613,3.1,5015.0,4985.0
20000,16,9885,19196,96.0,10115.0,9885.0
40000,16,19830,38445,192.2,20170.0,19830.0
60000,16,29928,3976,19.9,30072.0,29928.0
80000,16,40062,4343,21.7,39938.0,40062.0
100000,16,49985,6928,34.6,50015.0,49985.0
2,17,1,2,0.0,1.0,1.0
3,17,2,3,0.0,1.0,2.0
100,17,51,97,0.5,49.0,51.0
200,17,80,197,1.0,120.0,80.0
2000,17,976,70,0.4,1024.0,976.0
10000,17,4997,9689,48.4,5003.0,4997.0
20000,17,9905,19454,97.3,10095.0,9905.0
40000,17,20033,5778,28.9,19967.0,20033.0
60000,17,29826,42380,211.9,30174.0,29826.0
80000,17,39917,3531,17.7,40083.0,39917.0
100000,17,50177,19138,95.7,49823.0,50177.0
2,18,1,2,0.0,1.0,1.0
3,18,1,3,0.0,2.0,1.0
100,18,47,100,0.5,53.0,47.0
200,18,104,31,0.2,96.0,104.0
2000,18,1005,243,1.2,995.0,1005.0
10000,18,4988,289,1.4,5012.0,4988.0
20000,18,9832,19498,97.5,10168.0,9832.0
40000,18,19737,38985,194.9,20263.0,19737.0
60000,18,29666,58164,290.8,30334.0,29666.0
80000,18,40120,9283,46.4,39880.0,40120.0
100000,18,49519,96376,481.9,50481.0,49519.0
2,19,1,2,0.0,1.0,1.0
3,19,2,0,0.0,1.0,2.0
100,19,53,84,0.4,47.0,53.0
200,19,95,193,1.0,105.0,95.0
2000,19,981,799,4.0,1019.0,981.0
10000,19,5010,445,2.2,4990.0,5010.0
20000,19,10038,10842,54.2,9962.0,10038.0
40000,19,19892,17034,85.2,20108.0,19892.0
60000,19,29962,2533,12.7,30038.0,29962.0
80000,19,39986,2336,11.7,40014.0,39986.0
100000,19,49807,3534,17.7,50193.0,49807.0
2,20,0,2,0.0,2.0,0.0
3,20,2,3,0.0,1.0,2.0
100,20,44,97,0.5,56.0,44.0
