Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,0.9698037017495215,1.0,0.010000000000000007,1.12,0.88
3,1.4245653511403285,2.0,0.010000000000000007,1.58,1.42
100,49.19793754813919,49.22,0.24940000000000012,50.07,49.93
200,100.20573542606893,98.55,0.49530000000000013,99.42,100.58
2000,994.6987358625124,978.59,4.890299999999999,1001.93,998.07
10000,4978.400166734386,4705.51,23.526400000000002,4997.28,5002.72
20000,9945.791773492798,9135.77,45.68129999999999,10007.5,9992.5
40000,19910.549483209088,17884.2,89.41940000000001,19995.48,20004.52
60000,29844.814213378857,26405.47,132.02479999999997,29998.5,30001.5
80000,39850.27792864428,34142.16,170.70829999999998,39978.05,40021.95
100000,49803.33281539389,41757.58,208.78490000000002,50004.26,49995.74
