Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,-0.6006551169800723,1,0.01,2,0
3,1,2.0331098525149613,2,0.01,1,2
100,1,49.50428538692528,37,0.19,50,50
200,1,98.24879627065388,104,0.52,103,97
2000,1,1001.9488846116338,1125,5.62,990,1010
10000,1,4937.169984701892,4469,22.34,5017,4983
20000,1,9984.45639286754,10545,52.73,9978,10022
40000,1,19930.597649803203,19612,98.06,20009,19991
60000,1,29656.384964365723,33313,166.56,30098,29902
80000,1,40010.8736525091,32717,163.58,39789,40211
100000,1,49702.72574624969,43048,215.24,50280,49720
2,2,1.1601697488074323,1,0.01,1,1
3,2,1.5963630655303371,2,0.01,2,1
100,2,50.159982009496716,46,0.23,47,53
200,2,109.4920682626001,121,0.61,102,98
2000,2,1013.1528723522695,917,4.58,993,1007
10000,2,4957.494005646956,5426,27.13,5003,4997
20000,2,10103.988748361557,9896,49.48,9858,10142
40000,2,19900.61194466268,14162,70.81,20098,19902
60000,2,30005.594402477214,27412,137.06,29826,30174
80000,2,39853.18752561514,42898,214.49,39902,40098
100000,2,49811.93892841613,41699,208.49,49950,50050
2,3,1.7830841096652796,1,0.01,0,2
3,3,1.5126997983544215,2,0.01,2,1
100,3,57.69076461058015,52,0.26,41,59
200,3,96.13097705487357,88,0.44,93,107
2000,3,1038.6991475725233,1144,5.72,969,1031
10000,3,4933.396180380854,4990,24.95,5022,4978
20000,3,9878.091079154401,9744,48.72,10054,9946
40000,3,19820.20989704479,18538,92.69,20089,19911
60000,3,29836.023014526327,26038,130.19,30051,29949
80000,3,39777.825492237076,29309,146.54,40026,39974
100000,3,50097.05494190434,39301,196.5,49732,50268
2,4,0.8942384158415959,1,0.01,2,0
3,4,2.1472973288862547,2,0.01,0,3
100,4,47.32064378358898,61,0.31,49,51
200,4,106.92799633585169,111,0.56,92,108
2000,4,921.957172821977,1157,5.78,1038,962
10000,4,5022.7731909622935,3715,18.58,4952,5048
20000,4,10007.265214672265,9137,45.69,9926,10074
40000,4,19870.036397938988,15995,79.97,20034,19966
60000,4,29820.18987612047,24181,120.9,29968,30032
80000,4,39771.58718734104,34899,174.49,40040,39960
100000,4,49637.744502158836,40913,204.56,50113,49887
2,5,0.4143258725106296,1,0.01,2,0
3,5,-0.28343536176655504,2,0.01,3,0
100,5,41.48546746515867,37,0.19,55,45
200,5,90.9732824153141,110,0.55,108,92
2000,5,1007.5176944032517,799,3.99,986,1014
10000,5,4979.1841701581825,4676,23.38,4995,5005
20000,5,10018.206093096549,8294,41.47,9958,10042
40000,5,19860.8634080538,20230,101.15,19961,20039
60000,5,29918.238431716232,28503,142.51,29891,30109
80000,5,39821.23114713174,33352,166.76,40084,39916
100000,5,49780.76187380792,47980,239.9,50081,49919
2,6,0.47692647884225065,1,0.01,2,0
3,6,0.2926178706221363,2,0.01,2,1
100,6,53.77239925369135,51,0.26,52,48
200,6,108.30626536375205,46,0.23,97,103
2000,6,1031.8531165203099,808,4.04,997,1003
10000,6,5009.14778506429,4557,22.78,4946,5054
20000,6,9959.968707895126,10811,54.06,10013,9987
40000,6,19884.68156613658,17172,85.86,19998,20002
60000,6,29967.375406583615,28811,144.05,29955,30045
80000,6,39659.41961794249,41978,209.89,40178,39822
100000,6,49591.3117853243,35338,176.69,50275,49725
2,7,0.5234449254803866,1,0.01,1,1
3,7,-0.29859520141571366,2,0.01,3,0
100,7,48.91575729429003,40,0.2,50,50
200,7,103.9576844910887,101,0.51,104,96
2000,7,986.1335716095516,824,4.12,993,1007
10000,7,4952.50139028277,5574,27.87,4967,5033
20000,7,10028.407101791481,8882,44.41,9910,10090
40000,7,19998.751505171393,21293,106.46,19985,20015
60000,7,29794.74488917922,21444,107.22,30093,29907
80000,7,40119.15513955541,31656,158.28,39867,40133
100000,7,49864.53238681587,45068,225.34,49981,50019
2,8,-0.24246329791909926,1,0.01,2,0
3,8,1.310017971966905,2,0.01,2,1
100,8,53.3110926890501,57,0.29,49,51
200,8,101.67707442156758,111,0.56,91,109
2000,8,1032.1257659361454,1014,5.07,991,1009
10000,8,4925.190225643414,3733,18.67,5009,4991
20000,8,9846.489900541537,9273,46.37,10053,9947
40000,8,19863.046209223143,16729,83.64,20063,19937
60000,8,29934.891769235775,24822,124.11,29928,30072
80000,8,39817.37318262298,28021,140.1,39964,40036
100000,8,49724.181840023935,33318,166.59,50168,49832
2,9,0.45543140529440795,1,0.01,1,1
3,9,2.086640615782265,2,0.01,1,2
100,9,41.53969248903972,47,0.24,65,35
200,9,91.978716380421,80,0.4,111,89
2000,9,978.6623107576905,1033,5.16,993,1007
10000,9,4967.683347235318,5444,27.22,5038,4962
20000,9,9928.897531600196,7927,39.64,10114,9886
40000,9,19843.689871990413,17939,89.69,20091,19909
60000,9,29809.680735757873,29743,148.71,30073,29927
80000,9,39966.816302743544,31055,155.27,39904,40096
100000,9,49953.487303007874,39658,198.29,49700,50300
2,10,1.8605291983639802,1,0.01,0,2
3,10,-0.25130699166644477,2,0.01,3,0
100,10,49.93611258279626,61,0.31,54,46
200,10,95.821480061699,66,0.33,103,97
2000,10,985.6871173557289,1142,5.71,987,1013
10000,10,4885.281851727395,5428,27.14,5044,4956
20000,10,9979.37991078101,8027,40.14,9939,10061
40000,10,20016.59720211983,20038,100.19,19862,20138
60000,10,29783.8614656197,29986,149.93,30037,29963
80000,10,39819.91167427714,32543,162.71,40141,39859
100000,10,49875.326233659725,45904,229.52,49912,50088
2,11,0.3608731824947127,1,0.01,2,0
3,11,1.6256554716968767,2,0.01,1,2
100,11,60.65860746197388,63,0.32,43,57
200,11,96.28804051779177,100,0.5,95,105
2000,11,996.2350861622416,1108,5.54,1029,971
10000,11,5017.502140728956,5379,26.89,4973,5027
20000,11,9893.240634974449,8372,41.86,10147,9853
40000,11,19925.83935305489,19349,96.74,19998,20002
60000,11,29610.0552302749,23997,119.98,30240,29760
80000,11,40009.09092364963,37271,186.35,39861,40139
100000,11,49866.887417660335,47240,236.2,50033,49967
2,12,0.25828607549588756,1,0.01,1,1
3,12,1.23664795211862,2,0.01,1,2
100,12,40.95740865460621,58,0.29,55,45
200,12,102.90508973988852,86,0.43,96,104
2000,12,949.6379638165082,1129,5.64,1048,952
10000,12,4930.084528392212,5617,28.08,5047,4953
20000,12,9956.745603530377,9292,46.46,10029,9971
40000,12,20009.297753201365,17985,89.92,19910,20090
60000,12,29920.74352329053,26062,130.31,29925,30075
80000,12,39689.49149415295,32122,160.61,40189,39811
100000,12,49948.210103684156,47488,237.44,49764,50236
2,13,0.5546512196552758,1,0.01,1,1
3,13,0.8056153567313442,2,0.01,2,1
100,13,46.09974521548064,37,0.19,50,50
200,13,101.21390001537684,80,0.4,96,104
2000,13,1000.9238743431997,1021,5.1,979,1021
10000,13,4959.511666854119,4644,23.22,5024,4976
20000,13,9825.062824868104,8632,43.16,10123,9877
40000,13,19872.60400002417,19464,97.32,20009,19991
