Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.1,1,1
3,1,3,2,0.2,0,3
100,1,86,47,4.7,14,86
200,1,167,77,7.7,33,167
2000,1,1759,316,31.6,241,1759
10000,1,8898,632,63.2,1102,8898
20000,1,17965,527,52.7,2035,17965
40000,1,36028,591,59.1,3972,36028
60000,1,53850,564,56.4,6150,53850
80000,1,71893,977,97.7,8107,71893
100000,1,90016,1171,117.1,9984,90016
2,2,2,1,0.1,0,2
3,2,3,2,0.2,0,3
100,2,92,48,4.8,8,92
200,2,176,86,8.6,24,176
2000,2,1756,389,38.9,244,1756
10000,2,8926,521,52.1,1074,8926
20000,2,17886,839,83.9,2114,17886
40000,2,35986,807,80.7,4014,35986
60000,2,53872,1011,101.1,6128,53872
80000,2,72019,800,80.0,7981,72019
100000,2,90056,873,87.3,9944,90056
2,3,1,1,0.1,1,1
3,3,3,2,0.2,0,3
100,3,80,41,4.1,20,80
200,3,169,97,9.7,31,169
2000,3,1746,433,43.3,254,1746
10000,3,8924,669,66.9,1076,8924
20000,3,17949,667,66.7,2051,17949
40000,3,35971,495,49.5,4029,35971
60000,3,53927,609,60.9,6073,53927
80000,3,71963,786,78.6,8037,71963
100000,3,89870,838,83.8,10130,89870
2,4,2,1,0.1,0,2
3,4,3,2,0.2,0,3
100,4,76,35,3.5,24,76
200,4,169,74,7.4,31,169
2000,4,1733,435,43.5,267,1733
10000,4,8891,751,75.1,1109,8891
20000,4,17902,778,77.8,2098,17902
40000,4,35945,774,77.4,4055,35945
60000,4,53866,751,75.1,6134,53866
80000,4,71965,855,85.5,8035,71965
100000,4,90055,617,61.7,9945,90055
2,5,2,1,0.1,0,2
3,5,3,2,0.2,0,3
100,5,82,41,4.1,18,82
200,5,166,84,8.4,34,166
2000,5,1773,431,43.1,227,1773
10000,5,9012,517,51.7,988,9012
20000,5,17939,617,61.7,2061,17939
40000,5,35882,932,93.2,4118,35882
60000,5,53944,776,77.6,6056,53944
80000,5,71914,809,80.9,8086,71914
100000,5,89854,924,92.4,10146,89854
2,6,1,1,0.1,1,1
3,6,3,2,0.2,0,3
100,6,92,50,5.0,8,92
200,6,163,79,7.9,37,163
2000,6,1768,374,37.4,232,1768
10000,6,8910,464,46.4,1090,8910
20000,6,17956,734,73.4,2044,17956
40000,6,35938,799,79.9,4062,35938
60000,6,53967,891,89.1,6033,53967
80000,6,71921,741,74.1,8079,71921
100000,6,89926,887,88.7,10074,89926
2,7,1,1,0.1,1,1
3,7,3,2,0.2,0,3
100,7,88,45,4.5,12,88
200,7,180,89,8.9,20,180
2000,7,1773,343,34.3,227,1773
10000,7,8939,612,61.2,1061,8939
20000,7,17954,790,79.0,2046,17954
40000,7,35875,769,76.9,4125,35875
60000,7,54052,849,84.9,5948,54052
80000,7,71992,800,80.0,8008,71992
100000,7,89959,746,74.6,10041,89959
2,8,2,1,0.1,0,2
3,8,3,2,0.2,0,3
100,8,89,46,4.6,11,89
200,8,166,85,8.5,34,166
2000,8,1757,415,41.5,243,1757
10000,8,8927,580,58.0,1073,8927
20000,8,17889,641,64.1,2111,17889
40000,8,35848,882,88.2,4152,35848
60000,8,53957,1018,101.8,6043,53957
80000,8,71961,771,77.1,8039,71961
100000,8,89881,943,94.3,10119,89881
2,9,1,1,0.1,1,1
3,9,3,2,0.2,0,3
100,9,90,49,4.9,10,90
200,9,170,82,8.2,30,170
2000,9,1770,342,34.2,230,1770
10000,9,8892,496,49.6,1108,8892
20000,9,17909,813,81.3,2091,17909
40000,9,35901,879,87.9,4099,35901
60000,9,53843,828,82.8,6157,53843
80000,9,71956,887,88.7,8044,71956
100000,9,89911,765,76.5,10089,89911
2,10,2,1,0.1,0,2
3,10,3,2,0.2,0,3
100,10,82,43,4.3,18,82
200,10,168,80,8.0,32,168
2000,10,1780,325,32.5,220,1780
10000,10,8950,653,65.3,1050,8950
20000,10,17932,847,84.7,2068,17932
40000,10,35845,702,70.2,4155,35845
60000,10,53937,780,78.0,6063,53937
80000,10,71856,769,76.9,8144,71856
100000,10,89907,725,72.5,10093,89907
2,11,2,1,0.1,0,2
3,11,3,2,0.2,0,3
100,11,83,46,4.6,17,83
200,11,167,76,7.6,33,167
2000,11,1742,353,35.3,258,1742
10000,11,8917,591,59.1,1083,8917
20000,11,17905,740,74.0,2095,17905
40000,11,35883,883,88.3,4117,35883
60000,11,53970,792,79.2,6030,53970
80000,11,71862,999,99.9,8138,71862
100000,11,89798,910,91.0,10202,89798
2,12,1,1,0.1,1,1
3,12,2,1,0.1,1,2
100,12,85,42,4.2,15,85
200,12,174,80,8.0,26,174
2000,12,1780,425,42.5,220,1780
10000,12,8980,595,59.5,1020,8980
20000,12,17941,635,63.5,2059,17941
40000,12,35930,684,68.4,4070,35930
60000,12,53907,916,91.6,6093,53907
80000,12,72009,750,75.0,7991,72009
100000,12,89897,874,87.4,10103,89897
2,13,2,1,0.1,0,2
3,13,3,2,0.2,0,3
100,13,93,48,4.8,7,93
200,13,169,97,9.7,31,169
2000,13,1796,358,35.8,204,1796
10000,13,8901,527,52.7,1099,8901
20000,13,17921,720,72.0,2079,17921
40000,13,35926,845,84.5,4074,35926
60000,13,53938,885,88.5,6062,53938
80000,13,71978,900,90.0,8022,71978
100000,13,89831,793,79.3,10169,89831
2,14,1,1,0.1,1,1
3,14,3,2,0.2,0,3
100,14,84,43,4.3,16,84
200,14,174,78,7.8,26,174
2000,14,1754,349,34.9,246,1754
10000,14,8943,685,68.5,1057,8943
20000,14,17988,595,59.5,2012,17988
40000,14,35958,650,65.0,4042,35958
60000,14,53974,847,84.7,6026,53974
80000,14,71868,976,97.6,8132,71868
100000,14,90091,967,96.7,9909,90091
2,15,2,1,0.1,0,2
3,15,2,2,0.2,1,2
100,15,89,46,4.6,11,89
200,15,179,90,9.0,21,179
2000,15,1770,480,48.0,230,1770
10000,15,8878,516,51.6,1122,8878
20000,15,17953,591,59.1,2047,17953
40000,15,35936,649,64.9,4064,35936
60000,15,53904,649,64.9,6096,53904
80000,15,71948,625,62.5,8052,71948
100000,15,89928,939,93.9,10072,89928
2,16,2,1,0.1,0,2
3,16,3,2,0.2,0,3
100,16,82,47,4.7,18,82
200,16,169,68,6.8,31,169
2000,16,1762,255,25.5,238,1762
10000,16,8953,845,84.5,1047,8953
20000,16,17993,740,74.0,2007,17993
40000,16,35980,552,55.2,4020,35980
60000,16,53882,847,84.7,6118,53882
80000,16,72022,867,86.7,7978,72022
100000,16,89932,835,83.5,10068,89932
2,17,2,1,0.1,0,2
3,17,3,2,0.2,0,3
100,17,80,41,4.1,20,80
200,17,165,83,8.3,35,165
2000,17,1768,410,41.0,232,1768
10000,17,8917,500,50.0,1083,8917
20000,17,17943,569,56.9,2057,17943
40000,17,35825,797,79.7,4175,35825
60000,17,53893,794,79.4,6107,53893
80000,17,71995,998,99.8,8005,71995
100000,17,89916,668,66.8,10084,89916
2,18,1,1,0.1,1,1
3,18,2,1,0.1,1,2
100,18,78,50,5.0,22,78
200,18,169,91,9.1,31,169
2000,18,1781,369,36.9,219,1781
10000,18,8957,542,54.2,1043,8957
20000,18,17930,726,72.6,2070,17930
40000,18,35980,781,78.1,4020,35980
60000,18,53831,640,64.0,6169,53831
80000,18,72020,1249,124.9,7980,72020
100000,18,89917,845,84.5,10083,89917
2,19,2,1,0.1,0,2
3,19,3,2,0.2,0,3
100,19,87,48,4.8,13,87
200,19,172,89,8.9,28,172
2000,19,1784,376,37.6,216,1784
10000,19,8918,613,61.3,1082,8918
20000,19,17952,633,63.3,2048,17952
40000,19,35923,899,89.9,4077,35923
60000,19,53855,764,76.4,6145,53855
80000,19,72063,935,93.5,7937,72063
100000,19,89967,918,91.8,10033,89967
2,20,1,1,0.1,1,1
3,20,3,2,0.2,0,3
100,20,84,43,4.3,16,84
200,20,175,72,7.2,25,175
2000,20,1757,411,41.1,243,1757
10000,20,8938,637,63.7,1062,8938
20000,20,17835,613,61.3,2165,17835
40000,20,35907,827,82.7,4093,35907
60000,20,53968,825,82.5,6032,53968
80000,20,72010,800,80.0,7990,72010
100000,20,89940,1032,103.2,10060,89940
2,21,1,1,0.1,1,1
3,21,2,1,0.1,1,2
100,21,91,47,4.7,9,91
200,21,176,81,8.1,24,176
2000,21,1742,377,37.7,258,1742
10000,21,8959,777,77.7,1041,8959
20000,21,17968,794,79.4,2032,17968
40000,21,35923,864,86.4,4077,35923
60000,21,53915,781,78.1,6085,53915
80000,21,71988,904,90.4,8012,71988
100000,21,89864,850,85.0,10136,89864
2,22,1,1,0.1,1,1
3,22,2,2,0.2,1,2
100,22,87,51,5.1,13,87
200,22,172,95,9.5,28,172
2000,22,1764,405,40.5,236,1764
10000,22,8960,588,58.8,1040,8960
20000,22,17918,578,57.8,2082,17918
40000,22,35981,709,70.9,4019,35981
60000,22,53959,504,50.4,6041,53959
80000,22,72069,956,95.6,7931,72069
100000,22,89856,894,89.4,10144,89856
2,23,2,1,0.1,0,2
3,23,3,2,0.2,0,3
100,23,85,45,4.5,15,85
200,23,174,80,8.0,26,174
2000,23,1753,330,33.0,247,1753
10000,23,8905,740,74.0,1095,8905
