Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.08,2.0,0.010000000000000007,0.92,1.08
3,1.5,3.0,0.020000000000000014,1.5,1.5
100,49.87,53.91,0.27230000000000004,50.13,49.87
200,100.37,105.92,0.5328,99.63,100.37
2000,993.49,940.18,4.7040999999999995,1006.51,993.49
10000,4980.31,4200.08,21.003399999999996,5019.69,4980.31
20000,9955.32,9400.18,47.000899999999994,10044.68,9955.32
40000,19940.73,16600.18,83.00160000000004,20059.27,19940.73
60000,29831.64,34199.59,170.99739999999997,30168.36,29831.64
80000,39834.83,32800.15,164.00140000000002,40165.17,39834.83
100000,49778.1,51000.01,254.99970000000008,50221.9,49778.1
