Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.01,1,1
3,1,2,2,0.01,1,2
100,1,45,52,0.26,55,45
200,1,88,106,0.53,112,88
2000,1,996,469,2.34,1004,996
10000,1,5021,5508,27.54,4979,5021
20000,1,10076,3845,19.23,9924,10076
40000,1,19989,19396,96.98,20011,19989
60000,1,30006,7848,39.24,29994,30006
80000,1,39700,44128,220.64,40300,39700
100000,1,49777,11794,58.97,50223,49777
2,2,1,1,0.01,1,1
3,2,2,1,0.01,1,2
100,2,54,80,0.4,46,54
200,2,95,25,0.13,105,95
2000,2,980,1389,6.94,1020,980
10000,2,4992,5164,25.82,5008,4992
20000,2,9813,10099,50.5,10187,9813
40000,2,19892,24499,122.49,20108,19892
60000,2,30191,16576,82.88,29809,30191
80000,2,39975,9896,49.48,40025,39975
100000,2,49752,23034,115.17,50248,49752
2,3,2,1,0.01,0,2
3,3,2,1,0.01,1,2
100,3,51,77,0.39,49,51
200,3,98,61,0.31,102,98
2000,3,986,818,4.09,1014,986
10000,3,4965,4223,21.12,5035,4965
20000,3,10186,2945,14.73,9814,10186
40000,3,20049,22744,113.72,19951,20049
60000,3,30034,8516,42.58,29966,30034
80000,3,39779,28734,143.67,40221,39779
100000,3,49945,24119,120.59,50055,49945
2,4,1,1,0.01,1,1
3,4,1,1,0.01,2,1
100,4,56,80,0.4,44,56
200,4,108,108,0.54,92,108
2000,4,1008,913,4.56,992,1008
10000,4,4902,6562,32.81,5098,4902
20000,4,10014,4857,24.28,9986,10014
40000,4,19868,10176,50.88,20132,19868
60000,4,29910,25054,125.27,30090,29910
80000,4,39890,22381,111.9,40110,39890
100000,4,49983,39151,195.75,50017,49983
2,5,1,1,0.01,1,1
3,5,1,2,0.01,2,1
100,5,48,62,0.31,52,48
200,5,100,15,0.08,100,100
2000,5,975,1540,7.7,1025,975
10000,5,4957,4035,20.18,5043,4957
20000,5,9952,6677,33.38,10048,9952
40000,5,19717,11909,59.55,20283,19717
60000,5,30094,4564,22.82,29906,30094
80000,5,39799,33125,165.62,40201,39799
100000,5,49614,27259,136.29,50386,49614
2,6,1,1,0.01,1,1
3,6,1,1,0.01,2,1
100,6,49,43,0.22,51,49
200,6,95,86,0.43,105,95
2000,6,972,658,3.29,1028,972
10000,6,5023,2311,11.56,4977,5023
20000,6,9978,10967,54.84,10022,9978
40000,6,19796,21242,106.21,20204,19796
