Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count,pulls complete
2,1,2,0,0.0,0,2,2.0
3,1,3,0,0.0,0,3,3.0
100,1,93,1,0.1,7,93,100.0
200,1,158,198,19.8,42,158,200.0
2000,1,1592,1998,199.8,408,1592,2000.0
2,2,2,0,0.0,0,2,2.0
3,2,3,0,0.0,0,3,3.0
100,2,87,50,5.0,13,87,100.0
200,2,185,3,0.3,15,185,200.0
2000,2,1620,1998,199.8,380,1620,2000.0
2,3,2,0,0.0,0,2,2.0
3,3,3,0,0.0,0,3,3.0
100,3,90,1,0.1,10,90,100.0
200,3,182,2,0.2,18,182,200.0
2000,3,1791,3,0.3,209,1791,2000.0
2,4,2,0,0.0,0,2,2.0
3,4,3,0,0.0,0,3,3.0
100,4,88,50,5.0,12,88,100.0
200,4,169,100,10.0,31,169,200.0
2000,4,1802,2,0.2,198,1802,2000.0
2,5,2,0,0.0,0,2,2.0
3,5,3,0,0.0,0,3,3.0
100,5,90,50,5.0,10,90,100.0
200,5,185,3,0.3,15,185,200.0
2000,5,1691,1000,100.0,309,1691,2000.0
2,6,2,0,0.0,0,2,2.0
3,6,3,0,0.0,0,3,3.0
100,6,95,2,0.2,5,95,100.0
200,6,180,3,0.3,20,180,200.0
2000,6,1803,1,0.1,197,1803,2000.0
2,7,2,0,0.0,0,2,2.0
3,7,3,0,0.0,0,3,3.0
100,7,73,50,5.0,27,73,100.0
200,7,178,1,0.1,22,178,200.0
2000,7,1800,2,0.2,200,1800,2000.0
2,8,1,0,0.0,1,1,2.0
3,8,3,0,0.0,0,3,3.0
100,8,84,50,5.0,16,84,100.0
200,8,173,100,10.0,27,173,200.0
2000,8,1785,3,0.3,215,1785,2000.0
2,9,2,0,0.0,0,2,2.0
3,9,3,0,0.0,0,3,3.0
100,9,85,1,0.1,15,85,100.0
200,9,181,1,0.1,19,181,200.0
2000,9,1689,1000,100.0,311,1689,2000.0
2,10,2,0,0.0,0,2,2.0
3,10,3,0,0.0,0,3,3.0
100,10,90,2,0.2,10,90,100.0
200,10,180,2,0.2,20,180,200.0
2000,10,1621,1999,199.9,379,1621,2000.0
2,11,2,0,0.0,0,2,2.0
3,11,3,0,0.0,0,3,3.0
100,11,82,99,9.9,18,82,100.0
200,11,190,1,0.1,10,190,200.0
2000,11,1616,1998,199.8,384,1616,2000.0
2,12,2,0,0.0,0,2,2.0
3,12,3,0,0.0,0,3,3.0
100,12,90,50,5.0,10,90,100.0
200,12,181,2,0.2,19,181,200.0
2000,12,1811,1,0.1,189,1811,2000.0
2,13,2,0,0.0,0,2,2.0
3,13,3,0,0.0,0,3,3.0
100,13,92,1,0.1,8,92,100.0
200,13,181,2,0.2,19,181,200.0
2000,13,1590,1996,199.6,410,1590,2000.0
2,14,2,0,0.0,0,2,2.0
3,14,3,0,0.0,0,3,3.0
100,14,79,50,5.0,21,79,100.0
200,14,176,2,0.2,24,176,200.0
2000,14,1787,1,0.1,213,1787,2000.0
2,15,2,0,0.0,0,2,2.0
3,15,2,0,0.0,1,2,3.0
100,15,89,50,5.0,11,89,100.0
200,15,182,1,0.1,18,182,200.0
2000,15,1826,2,0.2,174,1826,2000.0
2,16,2,0,0.0,0,2,2.0
